Ente;Candidato;Liste/Gruppi;Voti lista
CALVIZZANO;MICILLO SALVATORE;MOVIMENTO 5 STELLE;3349
CALVIZZANO;FELE PALMIRA;FORZA ITALIA;1040
CALVIZZANO;;LEGA;556
CALVIZZANO;;NOI CON L'ITALIA - UDC;177
CALVIZZANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;124
CALVIZZANO;PELLEGRINO GIUSEPPE;PARTITO DEMOCRATICO;675
CALVIZZANO;;#NOME?;48
CALVIZZANO;;ITALIA EUROPA INSIEME;27
CALVIZZANO;;CIVICA POPOLARE LORENZIN;9
CALVIZZANO;PALUMBO ARCANGELO;LIBERI E UGUALI;113
CALVIZZANO;ROMUALDO MAURO;POTERE AL POPOLO!;95
CALVIZZANO;RICCIO VINCENZO;IL POPOLO DELLA FAMIGLIA;29
CALVIZZANO;PACELLA SALVATORE;ITALIA AGLI ITALIANI;26
CALVIZZANO;CERQUA ANTONIETTA;CASAPOUND ITALIA;18
CALVIZZANO;BARBAGALLO LIVIO;PER UNA SINISTRA RIVOLUZIONARIA;3
CASANDRINO;MICILLO SALVATORE;MOVIMENTO 5 STELLE;3666
CASANDRINO;FELE PALMIRA;FORZA ITALIA;1246
CASANDRINO;;LEGA;185
CASANDRINO;;NOI CON L'ITALIA - UDC;142
CASANDRINO;;FRATELLI D'ITALIA CON GIORGIA MELONI;73
CASANDRINO;PELLEGRINO GIUSEPPE;PARTITO DEMOCRATICO;489
CASANDRINO;;#NOME?;20
CASANDRINO;;ITALIA EUROPA INSIEME;6
CASANDRINO;;CIVICA POPOLARE LORENZIN;4
CASANDRINO;PALUMBO ARCANGELO;LIBERI E UGUALI;94
CASANDRINO;ROMUALDO MAURO;POTERE AL POPOLO!;61
CASANDRINO;CERQUA ANTONIETTA;CASAPOUND ITALIA;29
CASANDRINO;PACELLA SALVATORE;ITALIA AGLI ITALIANI;21
CASANDRINO;RICCIO VINCENZO;IL POPOLO DELLA FAMIGLIA;12
CASANDRINO;BARBAGALLO LIVIO;PER UNA SINISTRA RIVOLUZIONARIA;5
GIUGLIANO IN CAMPANIA;MICILLO SALVATORE;MOVIMENTO 5 STELLE;32524
GIUGLIANO IN CAMPANIA;FELE PALMIRA;FORZA ITALIA;10535
GIUGLIANO IN CAMPANIA;;LEGA;1955
GIUGLIANO IN CAMPANIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;1164
GIUGLIANO IN CAMPANIA;;NOI CON L'ITALIA - UDC;1147
GIUGLIANO IN CAMPANIA;PELLEGRINO GIUSEPPE;PARTITO DEMOCRATICO;4969
GIUGLIANO IN CAMPANIA;;ITALIA EUROPA INSIEME;731
GIUGLIANO IN CAMPANIA;;#NOME?;379
GIUGLIANO IN CAMPANIA;;CIVICA POPOLARE LORENZIN;117
GIUGLIANO IN CAMPANIA;PALUMBO ARCANGELO;LIBERI E UGUALI;1901
GIUGLIANO IN CAMPANIA;ROMUALDO MAURO;POTERE AL POPOLO!;713
GIUGLIANO IN CAMPANIA;CERQUA ANTONIETTA;CASAPOUND ITALIA;243
GIUGLIANO IN CAMPANIA;RICCIO VINCENZO;IL POPOLO DELLA FAMIGLIA;209
GIUGLIANO IN CAMPANIA;PACELLA SALVATORE;ITALIA AGLI ITALIANI;140
GIUGLIANO IN CAMPANIA;BARBAGALLO LIVIO;PER UNA SINISTRA RIVOLUZIONARIA;54
MELITO DI NAPOLI;MICILLO SALVATORE;MOVIMENTO 5 STELLE;10860
MELITO DI NAPOLI;FELE PALMIRA;FORZA ITALIA;2957
MELITO DI NAPOLI;;LEGA;474
MELITO DI NAPOLI;;NOI CON L'ITALIA - UDC;344
MELITO DI NAPOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;211
MELITO DI NAPOLI;PELLEGRINO GIUSEPPE;PARTITO DEMOCRATICO;1181
MELITO DI NAPOLI;;#NOME?;119
MELITO DI NAPOLI;;ITALIA EUROPA INSIEME;39
MELITO DI NAPOLI;;CIVICA POPOLARE LORENZIN;27
MELITO DI NAPOLI;PALUMBO ARCANGELO;LIBERI E UGUALI;708
MELITO DI NAPOLI;ROMUALDO MAURO;POTERE AL POPOLO!;177
MELITO DI NAPOLI;RICCIO VINCENZO;IL POPOLO DELLA FAMIGLIA;71
MELITO DI NAPOLI;CERQUA ANTONIETTA;CASAPOUND ITALIA;67
MELITO DI NAPOLI;PACELLA SALVATORE;ITALIA AGLI ITALIANI;34
MELITO DI NAPOLI;BARBAGALLO LIVIO;PER UNA SINISTRA RIVOLUZIONARIA;25
MUGNANO DI NAPOLI;MICILLO SALVATORE;MOVIMENTO 5 STELLE;10495
MUGNANO DI NAPOLI;FELE PALMIRA;FORZA ITALIA;2741
MUGNANO DI NAPOLI;;LEGA;563
MUGNANO DI NAPOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;382
MUGNANO DI NAPOLI;;NOI CON L'ITALIA - UDC;176
MUGNANO DI NAPOLI;PELLEGRINO GIUSEPPE;PARTITO DEMOCRATICO;1709
MUGNANO DI NAPOLI;;#NOME?;146
MUGNANO DI NAPOLI;;ITALIA EUROPA INSIEME;72
MUGNANO DI NAPOLI;;CIVICA POPOLARE LORENZIN;18
MUGNANO DI NAPOLI;ROMUALDO MAURO;POTERE AL POPOLO!;462
