

Ente;Candidato;Liste/Gruppi;Voti lista;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;SARLI DORIANA;MOVIMENTO 5 STELLE;56753;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;SIANI PAOLO;PARTITO DEMOCRATICO;21643;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;;+EUROPA;2980;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;;ITALIA EUROPA INSIEME;542;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;;CIVICA POPOLARE LORENZIN;327;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;SORVILLO GIUSEPPINA;FORZA ITALIA;17483;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;;FRATELLI D'ITALIA CON GIORGIA MELONI;3280;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;;LEGA;3062;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;;NOI CON L'ITALIA - UDC;956;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;COPPETO MARIO;LIBERI E UGUALI;5277;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;ARAGNO GIUSEPPE;POTERE AL POPOLO!;4054;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;PUZO MARIANNA;IL POPOLO DELLA FAMIGLIA;631;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;SILVESTRI SIMONE;CASAPOUND ITALIA;560;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;DE CAPUA ARCANGELO;ITALIA AGLI ITALIANI;251;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;RONGO VINCENZO;PARTITO REPUBBLICANO ITALIANO - ALA;210;;
05 - NAPOLI - CIRCOSCRIZIONE 7 SAN CARLO ALL'ARENA;SALDUTTI VITTORIO;PER UNA SINISTRA RIVOLUZIONARIA;178;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;DE LORENZO RINA;MOVIMENTO 5 STELLE;68519;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;PASSARIELLO LUCIANO;FORZA ITALIA;18317;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;;LEGA;2384;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;2219;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;;NOI CON L'ITALIA - UDC;692;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;PALLADINO GIOVANNI;PARTITO DEMOCRATICO;11376;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;;+EUROPA;693;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;;CIVICA POPOLARE LORENZIN;240;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;;ITALIA EUROPA INSIEME;202;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;SECONDULFO CARMELA MIRELLA;LIBERI E UGUALI;2359;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;PIERRO BARBARA;POTERE AL POPOLO!;1703;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;BONETTI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;649;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;TIRINO SABRINA;CASAPOUND ITALIA;442;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;PATRUNO ADELE;ITALIA AGLI ITALIANI;328;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;ERPICE ANTONIO;PER UNA SINISTRA RIVOLUZIONARIA;134;;
06 - NAPOLI - CIRCOSCRIZIONE 28 PONTICELLI;DEL SOLE IMMACOLATA;PARTITO REPUBBLICANO ITALIANO - ALA;87;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;BRUNO RAFFAELE;MOVIMENTO 5 STELLE;45558;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;MIRAGLIA CATERINA;FORZA ITALIA;19972;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;;FRATELLI D'ITALIA CON GIORGIA MELONI;3587;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;;LEGA;3030;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;;NOI CON L'ITALIA - UDC;1716;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;ROSSI DORIA MARCO;PARTITO DEMOCRATICO;18253;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;;+EUROPA;3230;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;;ITALIA EUROPA INSIEME;503;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;;CIVICA POPOLARE LORENZIN;394;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;GAMBARDELLA ELISABETTA;LIBERI E UGUALI;3944;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;CAPRETTI CHIARA;POTERE AL POPOLO!;3913;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;CASTELLANA ANNA MARIA;IL POPOLO DELLA FAMIGLIA;755;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;FLORINO EMMANUELA;CASAPOUND ITALIA;547;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;AUFIERO DAVIDE;ITALIA AGLI ITALIANI;279;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;IPPOLITO MARZIA;PER UNA SINISTRA RIVOLUZIONARIA;159;;
07 - NAPOLI - CIRCOSCRIZIONE 9 SAN LORENZO;SOLOMBRINO SALVATORE;PARTITO REPUBBLICANO ITALIANO - ALA;105;;
08 - NAPOLI - CIRCOSCRIZIONE 19 FUORIGROTTA;FICO ROBERTO;MOVIMENTO 5 STELLE;61819;;
08 - NAPOLI - CIRCOSCRIZIONE 19 FUORIGROTTA;SCHIFONE MARTA;FORZA ITALIA;15136;;
08 - NAPOLI - CIRCOSCRIZIONE 19 FUORIGROTTA;;FRATELLI D'ITALIA CON GIORGIA MELONI;3029;;
08 - NAPOLI - CIRCOSCRIZIONE 19 FUORIGROTTA;;LEGA;2707;;
08 - NAPOLI - CIRCOSCRIZIONE 19 FUORIGROTTA;;NOI CON L'ITALIA - UDC;779;;
08 - NAPOLI - CIRCOSCRIZIONE 19 FUORIGROTTA;IACONIS DANIELA;PARTITO DEMOCRATICO;13801;;
08 - NAPOLI - CIRCOSCRIZIONE 19 FUORIGROTTA;;+EUROPA;1229;;
08 - NAPOLI - CIRCOSCRIZIONE 19 FUORIGROTTA;;CIVICA POPOLARE LORENZIN;412;;
08 - NAPOLI - CIRCOSCRIZIONE 19 FUORIGROTTA;;ITALIA EUROPA INSIEME;337;;
08 - NAPOLI - CIRCOSCRIZIONE 19 FUORIGROTTA;COSENTINO SALVATORE;POTERE AL POPOLO!;3391;;
