

Ente;Candidato;Liste/Gruppi;Voti lista;;
BOSCOREALE;GALLO LUIGI;MOVIMENTO 5 STELLE;6912;;
BOSCOREALE;CANTALAMESSA GIANLUCA;FORZA ITALIA;3093;;
BOSCOREALE;;FRATELLI D'ITALIA CON GIORGIA MELONI;504;;
BOSCOREALE;;LEGA;362;;
BOSCOREALE;;NOI CON L'ITALIA - UDC;288;;
BOSCOREALE;ARMATO TERESA;PARTITO DEMOCRATICO;1744;;
BOSCOREALE;;+EUROPA;69;;
BOSCOREALE;;CIVICA POPOLARE LORENZIN;20;;
BOSCOREALE;;ITALIA EUROPA INSIEME;17;;
BOSCOREALE;CAMPANIELLO MARIA GRAZIA;LIBERI E UGUALI;172;;
BOSCOREALE;SCARDAMAGLIO TEODORO;POTERE AL POPOLO!;91;;
BOSCOREALE;SPINA JOSEPH;IL POPOLO DELLA FAMIGLIA;61;;
BOSCOREALE;MARZANO TEODOSIO CIRO;ITALIA AGLI ITALIANI;61;;
BOSCOREALE;RAIOLA FERDINANDO;CASAPOUND ITALIA;44;;
BOSCOREALE;CIRILLO ANTONIO;PARTITO REPUBBLICANO ITALIANO - ALA;34;;
BOSCOREALE;SANTAMARIA CORRADO;PER UNA SINISTRA RIVOLUZIONARIA;24;;
BOSCOTRECASE;GALLO LUIGI;MOVIMENTO 5 STELLE;2558;;
BOSCOTRECASE;CANTALAMESSA GIANLUCA;FORZA ITALIA;1010;;
BOSCOTRECASE;;NOI CON L'ITALIA - UDC;285;;
BOSCOTRECASE;;LEGA;150;;
BOSCOTRECASE;;FRATELLI D'ITALIA CON GIORGIA MELONI;99;;
BOSCOTRECASE;ARMATO TERESA;PARTITO DEMOCRATICO;917;;
BOSCOTRECASE;;+EUROPA;39;;
BOSCOTRECASE;;CIVICA POPOLARE LORENZIN;13;;
BOSCOTRECASE;;ITALIA EUROPA INSIEME;8;;
BOSCOTRECASE;CAMPANIELLO MARIA GRAZIA;LIBERI E UGUALI;93;;
BOSCOTRECASE;SCARDAMAGLIO TEODORO;POTERE AL POPOLO!;51;;
BOSCOTRECASE;RAIOLA FERDINANDO;CASAPOUND ITALIA;19;;
BOSCOTRECASE;SPINA JOSEPH;IL POPOLO DELLA FAMIGLIA;17;;
BOSCOTRECASE;MARZANO TEODOSIO CIRO;ITALIA AGLI ITALIANI;17;;
BOSCOTRECASE;CIRILLO ANTONIO;PARTITO REPUBBLICANO ITALIANO - ALA;13;;
BOSCOTRECASE;SANTAMARIA CORRADO;PER UNA SINISTRA RIVOLUZIONARIA;7;;
ERCOLANO;GALLO LUIGI;MOVIMENTO 5 STELLE;13739;;
ERCOLANO;CANTALAMESSA GIANLUCA;FORZA ITALIA;4610;;
ERCOLANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;940;;
ERCOLANO;;LEGA;590;;
ERCOLANO;;NOI CON L'ITALIA - UDC;302;;
ERCOLANO;ARMATO TERESA;PARTITO DEMOCRATICO;3743;;
ERCOLANO;;+EUROPA;442;;
ERCOLANO;;CIVICA POPOLARE LORENZIN;90;;
ERCOLANO;;ITALIA EUROPA INSIEME;73;;
ERCOLANO;CAMPANIELLO MARIA GRAZIA;LIBERI E UGUALI;885;;
ERCOLANO;SCARDAMAGLIO TEODORO;POTERE AL POPOLO!;360;;
ERCOLANO;SPINA JOSEPH;IL POPOLO DELLA FAMIGLIA;135;;
ERCOLANO;RAIOLA FERDINANDO;CASAPOUND ITALIA;106;;
ERCOLANO;CIRILLO ANTONIO;PARTITO REPUBBLICANO ITALIANO - ALA;66;;
ERCOLANO;MARZANO TEODOSIO CIRO;ITALIA AGLI ITALIANI;87;;
ERCOLANO;SANTAMARIA CORRADO;PER UNA SINISTRA RIVOLUZIONARIA;26;;
POMPEI;GALLO LUIGI;MOVIMENTO 5 STELLE;7175;;
POMPEI;CANTALAMESSA GIANLUCA;FORZA ITALIA;2975;;
POMPEI;;LEGA;422;;
POMPEI;;NOI CON L'ITALIA - UDC;312;;
POMPEI;;FRATELLI D'ITALIA CON GIORGIA MELONI;306;;
POMPEI;ARMATO TERESA;PARTITO DEMOCRATICO;1393;;
POMPEI;;+EUROPA;138;;
POMPEI;;CIVICA POPOLARE LORENZIN;126;;
POMPEI;;ITALIA EUROPA INSIEME;32;;
POMPEI;CAMPANIELLO MARIA GRAZIA;LIBERI E UGUALI;323;;
POMPEI;SPINA JOSEPH;IL POPOLO DELLA FAMIGLIA;163;;
POMPEI;SCARDAMAGLIO TEODORO;POTERE AL POPOLO!;116;;
POMPEI;RAIOLA FERDINANDO;CASAPOUND ITALIA;47;;
POMPEI;MARZANO TEODOSIO CIRO;ITALIA AGLI ITALIANI;45;;
POMPEI;CIRILLO ANTONIO;PARTITO REPUBBLICANO ITALIANO - ALA;41;;
POMPEI;SANTAMARIA CORRADO;PER UNA SINISTRA RIVOLUZIONARIA;8;;
TORRE ANNUNZIATA;GALLO LUIGI;MOVIMENTO 5 STELLE;11190;;
TORRE ANNUNZIATA;CANTALAMESSA GIANLUCA;FORZA ITALIA;3219;;
TORRE ANNUNZIATA;;LEGA;395;;
TORRE ANNUNZIATA;;FRATELLI D'ITALIA CON GIORGIA MELONI;367;;
TORRE ANNUNZIATA;;NOI CON L'ITALIA - UDC;121;;
TORRE ANNUNZIATA;ARMATO TERESA;PARTITO DEMOCRATICO;2931;;
TORRE ANNUNZIATA;;+EUROPA;162;;
TORRE ANNUNZIATA;;ITALIA EUROPA INSIEME;56;;
TORRE ANNUNZIATA;;CIVICA POPOLARE LORENZIN;47;;
TORRE ANNUNZIATA;CAMPANIELLO MARIA GRAZIA;LIBERI E UGUALI;365;;
TORRE ANNUNZIATA;SCARDAMAGLIO TEODORO;POTERE AL POPOLO!;203;;
TORRE ANNUNZIATA;CIRILLO ANTONIO;PARTITO REPUBBLICANO ITALIANO - ALA;131;;
TORRE ANNUNZIATA;RAIOLA FERDINANDO;CASAPOUND ITALIA;70;;
TORRE ANNUNZIATA;MARZANO TEODOSIO CIRO;ITALIA AGLI ITALIANI;65;;
TORRE ANNUNZIATA;SPINA JOSEPH;IL POPOLO DELLA FAMIGLIA;44;;
TORRE ANNUNZIATA;SANTAMARIA CORRADO;PER UNA SINISTRA RIVOLUZIONARIA;19;;
