

Ente;Candidato;Liste/Gruppi;Voti lista;;
AIROLA;IANARO ANGELA;MOVIMENTO 5 STELLE;1944;;
AIROLA;ERRICO FERNANDO;FORZA ITALIA;1059;;
AIROLA;;LEGA;292;;
AIROLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;84;;
AIROLA;;NOI CON L'ITALIA - UDC;29;;
AIROLA;VALENTINO CARMINE;PARTITO DEMOCRATICO;876;;
AIROLA;;CIVICA POPOLARE LORENZIN;48;;
AIROLA;;+EUROPA;24;;
AIROLA;;ITALIA EUROPA INSIEME;8;;
AIROLA;CIERVO AMERICO;LIBERI E UGUALI;98;;
AIROLA;MAIO COSIMO;POTERE AL POPOLO!;51;;
AIROLA;MUNNO DEBORA;ITALIA AGLI ITALIANI;25;;
AIROLA;NUZZO LUIGI;PARTITO COMUNISTA;15;;
AIROLA;LANGELLOTTI MARCO;IL POPOLO DELLA FAMIGLIA;8;;
AIROLA;BOZZA ENRICO MARIA;10 VOLTE MEGLIO;7;;
AIROLA;BORZILLO GIOVANNA;CASAPOUND ITALIA;8;;
AIROLA;POLCARO MIRIAM;PARTITO VALORE UMANO;6;;
AIROLA;MOLES ANTONELLA;LISTA DEL POPOLO PER LA COSTITUZIONE;4;;
AMOROSI;IANARO ANGELA;MOVIMENTO 5 STELLE;439;;
AMOROSI;ERRICO FERNANDO;FORZA ITALIA;338;;
AMOROSI;;LEGA;112;;
AMOROSI;;FRATELLI D'ITALIA CON GIORGIA MELONI;32;;
AMOROSI;;NOI CON L'ITALIA - UDC;10;;
AMOROSI;VALENTINO CARMINE;PARTITO DEMOCRATICO;242;;
AMOROSI;;+EUROPA;34;;
AMOROSI;;CIVICA POPOLARE LORENZIN;11;;
AMOROSI;;ITALIA EUROPA INSIEME;6;;
AMOROSI;CIERVO AMERICO;LIBERI E UGUALI;25;;
AMOROSI;MAIO COSIMO;POTERE AL POPOLO!;9;;
AMOROSI;LANGELLOTTI MARCO;IL POPOLO DELLA FAMIGLIA;9;;
AMOROSI;BORZILLO GIOVANNA;CASAPOUND ITALIA;8;;
AMOROSI;MUNNO DEBORA;ITALIA AGLI ITALIANI;2;;
AMOROSI;NUZZO LUIGI;PARTITO COMUNISTA;3;;
AMOROSI;BOZZA ENRICO MARIA;10 VOLTE MEGLIO;1;;
AMOROSI;POLCARO MIRIAM;PARTITO VALORE UMANO;2;;
AMOROSI;MOLES ANTONELLA;LISTA DEL POPOLO PER LA COSTITUZIONE;0;;
APOLLOSA;IANARO ANGELA;MOVIMENTO 5 STELLE;629;;
APOLLOSA;ERRICO FERNANDO;FORZA ITALIA;323;;
APOLLOSA;;LEGA;81;;
APOLLOSA;;FRATELLI D'ITALIA CON GIORGIA MELONI;59;;
APOLLOSA;;NOI CON L'ITALIA - UDC;24;;
APOLLOSA;VALENTINO CARMINE;PARTITO DEMOCRATICO;191;;
APOLLOSA;;CIVICA POPOLARE LORENZIN;14;;
APOLLOSA;;+EUROPA;12;;
APOLLOSA;;ITALIA EUROPA INSIEME;0;;
APOLLOSA;CIERVO AMERICO;LIBERI E UGUALI;0;;
APOLLOSA;MAIO COSIMO;POTERE AL POPOLO!;14;;
APOLLOSA;MUNNO DEBORA;ITALIA AGLI ITALIANI;0;;
APOLLOSA;BORZILLO GIOVANNA;CASAPOUND ITALIA;0;;
APOLLOSA;BOZZA ENRICO MARIA;10 VOLTE MEGLIO;0;;
APOLLOSA;LANGELLOTTI MARCO;IL POPOLO DELLA FAMIGLIA;0;;
APOLLOSA;MOLES ANTONELLA;LISTA DEL POPOLO PER LA COSTITUZIONE;0;;
APOLLOSA;POLCARO MIRIAM;PARTITO VALORE UMANO;0;;
APOLLOSA;NUZZO LUIGI;PARTITO COMUNISTA;0;;
ARPAIA;IANARO ANGELA;MOVIMENTO 5 STELLE;462;;
ARPAIA;ERRICO FERNANDO;FORZA ITALIA;356;;
ARPAIA;;LEGA;47;;
ARPAIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;38;;
ARPAIA;;NOI CON L'ITALIA - UDC;1;;
ARPAIA;VALENTINO CARMINE;PARTITO DEMOCRATICO;123;;
ARPAIA;;CIVICA POPOLARE LORENZIN;10;;
