

Ente;Candidato;Liste/Gruppi;Voti lista;;
AIELLO DEL SABATO;GUBITOSA MICHELE;MOVIMENTO 5 STELLE;1112;;
AIELLO DEL SABATO;FOGLIA PIETRO;FORZA ITALIA;335;;
AIELLO DEL SABATO;;LEGA;132;;
AIELLO DEL SABATO;;FRATELLI D'ITALIA CON GIORGIA MELONI;78;;
AIELLO DEL SABATO;;NOI CON L'ITALIA - UDC;41;;
AIELLO DEL SABATO;D'AGOSTINO ANGELO ANTONIO;PARTITO DEMOCRATICO;426;;
AIELLO DEL SABATO;;+EUROPA;29;;
AIELLO DEL SABATO;;ITALIA EUROPA INSIEME;24;;
AIELLO DEL SABATO;;CIVICA POPOLARE LORENZIN;11;;
AIELLO DEL SABATO;PASCALE ANNAMARIA;LIBERI E UGUALI;62;;
AIELLO DEL SABATO;DELLA PIA ANTONIO;POTERE AL POPOLO!;56;;
AIELLO DEL SABATO;BELLO GIULIANO;CASAPOUND ITALIA;13;;
AIELLO DEL SABATO;GILIBERTI MICHELE ANTONIO;ITALIA AGLI ITALIANI;13;;
AIELLO DEL SABATO;CARBONELLI CATIA LIDIA;PARTITO COMUNISTA;12;;
AIELLO DEL SABATO;MARCOCCI GIANCARLO;IL POPOLO DELLA FAMIGLIA;4;;
AIELLO DEL SABATO;GODANO GIULIA;LISTA DEL POPOLO PER LA COSTITUZIONE;4;;
AIELLO DEL SABATO;COVIELLO GIAMMARCO;10 VOLTE MEGLIO;3;;
AIELLO DEL SABATO;BLASI GENNARO;PARTITO VALORE UMANO;3;;
ALTAVILLA IRPINA;GUBITOSA MICHELE;MOVIMENTO 5 STELLE;960;;
ALTAVILLA IRPINA;D'AGOSTINO ANGELO ANTONIO;PARTITO DEMOCRATICO;306;;
ALTAVILLA IRPINA;;CIVICA POPOLARE LORENZIN;105;;
ALTAVILLA IRPINA;;+EUROPA;28;;
ALTAVILLA IRPINA;;ITALIA EUROPA INSIEME;22;;
ALTAVILLA IRPINA;FOGLIA PIETRO;FORZA ITALIA;257;;
ALTAVILLA IRPINA;;LEGA;114;;
ALTAVILLA IRPINA;;FRATELLI D'ITALIA CON GIORGIA MELONI;59;;
ALTAVILLA IRPINA;;NOI CON L'ITALIA - UDC;32;;
ALTAVILLA IRPINA;PASCALE ANNAMARIA;LIBERI E UGUALI;73;;
