

Ente;Candidato;Liste/Gruppi;Voti lista;;
AVERSA;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;13489;;
AVERSA;CASTIELLO GIUSEPPINA;FORZA ITALIA;4508;;
AVERSA;;FRATELLI D'ITALIA CON GIORGIA MELONI;1165;;
AVERSA;;LEGA;1161;;
AVERSA;;NOI CON L'ITALIA - UDC;173;;
AVERSA;DELL'APROVITOLA MARIANNA;PARTITO DEMOCRATICO;2757;;
AVERSA;;+EUROPA;440;;
AVERSA;;CIVICA POPOLARE LORENZIN;242;;
AVERSA;;ITALIA EUROPA INSIEME;175;;
AVERSA;CORVINO CARLO;LIBERI E UGUALI;439;;
AVERSA;DI FOGGIA ANGELA;POTERE AL POPOLO!;424;;
AVERSA;BRUNO PASQUALE;ITALIA AGLI ITALIANI;141;;
AVERSA;VOTA ANNA;CASAPOUND ITALIA;76;;
AVERSA;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;69;;
AVERSA;PAOLUCCI LUCA;PARTITO COMUNISTA;53;;
AVERSA;GUIDO ANIELLO;PARTITO VALORE UMANO;34;;
AVERSA;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;20;;
AVERSA;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;16;;
CANCELLO ED ARNONE;CASTIELLO GIUSEPPINA;FORZA ITALIA;838;;
CANCELLO ED ARNONE;;LEGA;179;;
CANCELLO ED ARNONE;;FRATELLI D'ITALIA CON GIORGIA MELONI;147;;
CANCELLO ED ARNONE;;NOI CON L'ITALIA - UDC;9;;
CANCELLO ED ARNONE;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;960;;
CANCELLO ED ARNONE;DELL'APROVITOLA MARIANNA;CIVICA POPOLARE LORENZIN;367;;
CANCELLO ED ARNONE;;PARTITO DEMOCRATICO;145;;
CANCELLO ED ARNONE;;ITALIA EUROPA INSIEME;18;;
CANCELLO ED ARNONE;;+EUROPA;7;;
CANCELLO ED ARNONE;CORVINO CARLO;LIBERI E UGUALI;19;;
CANCELLO ED ARNONE;VOTA ANNA;CASAPOUND ITALIA;15;;
CANCELLO ED ARNONE;BRUNO PASQUALE;ITALIA AGLI ITALIANI;11;;
CANCELLO ED ARNONE;DI FOGGIA ANGELA;POTERE AL POPOLO!;5;;
CANCELLO ED ARNONE;GIACOBONE GIOVANNA;PER UNA SINISTRA RIVOLUZIONARIA;3;;
CANCELLO ED ARNONE;VELOTTI FILOMENA;IL POPOLO DELLA FAMIGLIA;1;;
CANCELLO ED ARNONE;MOTTOLA VALERIO;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
CANCELLO ED ARNONE;PAOLUCCI LUCA;PARTITO COMUNISTA;1;;
CANCELLO ED ARNONE;GUIDO ANIELLO;PARTITO VALORE UMANO;0;;
CARINARO;GRIMALDI NICOLA;MOVIMENTO 5 STELLE;1871;;
