

Ente;Candidato;Liste/Gruppi;Voti lista;;
ANGRI;VILLANI VIRGINIA;MOVIMENTO 5 STELLE;8221;;
ANGRI;CIRIELLI EDMONDO;FORZA ITALIA;3492;;
ANGRI;;FRATELLI D'ITALIA CON GIORGIA MELONI;1011;;
ANGRI;;LEGA;721;;
ANGRI;;NOI CON L'ITALIA - UDC;689;;
ANGRI;MACCAURO MAURO;PARTITO DEMOCRATICO;1723;;
ANGRI;;ITALIA EUROPA INSIEME;369;;
ANGRI;;+EUROPA;214;;
ANGRI;;CIVICA POPOLARE LORENZIN;111;;
ANGRI;SQUILLANTE DEA;LIBERI E UGUALI;398;;
ANGRI;MAIORINO ERMINIA;POTERE AL POPOLO!;196;;
ANGRI;DE MARTINO BASILIO;IL POPOLO DELLA FAMIGLIA;118;;
ANGRI;FORTUNATO GIUSEPPE;ITALIA AGLI ITALIANI;93;;
ANGRI;PISAPIA SALVATORE;CASAPOUND ITALIA;87;;
ANGRI;CUOCO MARCO;PARTITO COMUNISTA;41;;
ANGRI;DEL GAUDIO VINCENZO;PARTITO VALORE UMANO;21;;
ANGRI;ANNARUMMA RITA;PER UNA SINISTRA RIVOLUZIONARIA;15;;
ANGRI;AURICCHIO MARIA;10 VOLTE MEGLIO;10;;
BRACIGLIANO;VILLANI VIRGINIA;MOVIMENTO 5 STELLE;1200;;
BRACIGLIANO;CIRIELLI EDMONDO;FORZA ITALIA;434;;
BRACIGLIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;311;;
BRACIGLIANO;;LEGA;132;;
BRACIGLIANO;;NOI CON L'ITALIA - UDC;58;;
BRACIGLIANO;MACCAURO MAURO;PARTITO DEMOCRATICO;692;;
BRACIGLIANO;;+EUROPA;25;;
BRACIGLIANO;;ITALIA EUROPA INSIEME;15;;
BRACIGLIANO;;CIVICA POPOLARE LORENZIN;7;;
BRACIGLIANO;SQUILLANTE DEA;LIBERI E UGUALI;98;;
BRACIGLIANO;DE MARTINO BASILIO;IL POPOLO DELLA FAMIGLIA;47;;
