

Ente;Candidato;Liste/Gruppi;Voti lista;;
AMALFI;PROVENZA NICOLA;MOVIMENTO 5 STELLE;958;;
AMALFI;ESPOSITO GENNARO;FORZA ITALIA;468;;
AMALFI;;LEGA;171;;
AMALFI;;FRATELLI D'ITALIA CON GIORGIA MELONI;120;;
AMALFI;;NOI CON L'ITALIA - UDC;53;;
AMALFI;DE LUCA PIERO;PARTITO DEMOCRATICO;560;;
AMALFI;;+EUROPA;77;;
AMALFI;;CIVICA POPOLARE LORENZIN;18;;
AMALFI;;ITALIA EUROPA INSIEME;14;;
AMALFI;ANSALONE CARMINE;LIBERI E UGUALI;49;;
AMALFI;DE FELICE PIO ANTONIO;POTERE AL POPOLO!;38;;
AMALFI;ADINOLFI RAFFAELE;IL POPOLO DELLA FAMIGLIA;19;;
AMALFI;PICARDI GIOVANNA;ITALIA AGLI ITALIANI;18;;
AMALFI;SERGIO ALESSANDRO;PARTITO COMUNISTA;12;;
AMALFI;VOTA FRANCESCO;CASAPOUND ITALIA;11;;
AMALFI;GUARINIELLO ANNA;PARTITO VALORE UMANO;1;;
AMALFI;PETRILLO FRANCO;10 VOLTE MEGLIO;1;;
AMALFI;CURCI VALENTINA;PER UNA SINISTRA RIVOLUZIONARIA;1;;
ATRANI;ESPOSITO GENNARO;FORZA ITALIA;81;;
ATRANI;;LEGA;39;;
ATRANI;;FRATELLI D'ITALIA CON GIORGIA MELONI;28;;
ATRANI;;NOI CON L'ITALIA - UDC;9;;
ATRANI;PROVENZA NICOLA;MOVIMENTO 5 STELLE;155;;
ATRANI;DE LUCA PIERO;PARTITO DEMOCRATICO;100;;
ATRANI;;+EUROPA;4;;
ATRANI;;CIVICA POPOLARE LORENZIN;3;;
ATRANI;;ITALIA EUROPA INSIEME;1;;
ATRANI;ANSALONE CARMINE;LIBERI E UGUALI;27;;
ATRANI;PICARDI GIOVANNA;ITALIA AGLI ITALIANI;6;;
ATRANI;VOTA FRANCESCO;CASAPOUND ITALIA;2;;
ATRANI;SERGIO ALESSANDRO;PARTITO COMUNISTA;2;;
ATRANI;DE FELICE PIO ANTONIO;POTERE AL POPOLO!;1;;
ATRANI;GUARINIELLO ANNA;PARTITO VALORE UMANO;1;;
ATRANI;PETRILLO FRANCO;10 VOLTE MEGLIO;0;;
ATRANI;ADINOLFI RAFFAELE;IL POPOLO DELLA FAMIGLIA;0;;
ATRANI;CURCI VALENTINA;PER UNA SINISTRA RIVOLUZIONARIA;0;;
