

Ente;Candidato;Liste/Gruppi;Voti lista;;
ACERNO;ACUNZO NICOLA;MOVIMENTO 5 STELLE;663;;
ACERNO;CICCONE ROMANO;FORZA ITALIA;227;;
ACERNO;;LEGA;123;;
ACERNO;;FRATELLI D'ITALIA CON GIORGIA MELONI;94;;
ACERNO;;NOI CON L'ITALIA - UDC;20;;
ACERNO;VOLPE DOMENICO;PARTITO DEMOCRATICO;198;;
ACERNO;;+EUROPA;21;;
ACERNO;;ITALIA EUROPA INSIEME;18;;
ACERNO;;CIVICA POPOLARE LORENZIN;3;;
ACERNO;CONTE FEDERICO;LIBERI E UGUALI;23;;
ACERNO;MARTUCCIELLO VINCENZO;ITALIA AGLI ITALIANI;13;;
ACERNO;BALSAMO DINA ALBERTINA;POTERE AL POPOLO!;11;;
ACERNO;NENNA GENNARO;PARTITO COMUNISTA;6;;
ACERNO;ANDRIUOLO MARIAROSARIA;CASAPOUND ITALIA;5;;
ACERNO;VORIA ANTONIO;IL POPOLO DELLA FAMIGLIA;3;;
ACERNO;COPPOLA RAFFAELLA;10 VOLTE MEGLIO;1;;
ACERNO;URSI GIOVANNI;PARTITO VALORE UMANO;0;;
ACERNO;ARENA ANNA;PER UNA SINISTRA RIVOLUZIONARIA;0;;
ALBANELLA;ACUNZO NICOLA;MOVIMENTO 5 STELLE;1322;;
ALBANELLA;CICCONE ROMANO;FORZA ITALIA;686;;
ALBANELLA;;LEGA;291;;
ALBANELLA;;NOI CON L'ITALIA - UDC;135;;
ALBANELLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;96;;
ALBANELLA;VOLPE DOMENICO;PARTITO DEMOCRATICO;357;;
ALBANELLA;;ITALIA EUROPA INSIEME;117;;
ALBANELLA;;+EUROPA;29;;
ALBANELLA;;CIVICA POPOLARE LORENZIN;6;;
ALBANELLA;BALSAMO DINA ALBERTINA;POTERE AL POPOLO!;50;;
ALBANELLA;CONTE FEDERICO;LIBERI E UGUALI;48;;
ALBANELLA;MARTUCCIELLO VINCENZO;ITALIA AGLI ITALIANI;23;;
ALBANELLA;ANDRIUOLO MARIAROSARIA;CASAPOUND ITALIA;15;;
ALBANELLA;VORIA ANTONIO;IL POPOLO DELLA FAMIGLIA;13;;
ALBANELLA;NENNA GENNARO;PARTITO COMUNISTA;8;;
ALBANELLA;COPPOLA RAFFAELLA;10 VOLTE MEGLIO;5;;
ALBANELLA;ARENA ANNA;PER UNA SINISTRA RIVOLUZIONARIA;4;;
ALBANELLA;URSI GIOVANNI;PARTITO VALORE UMANO;0;;
ALTAVILLA SILENTINA;ACUNZO NICOLA;MOVIMENTO 5 STELLE;1633;;
ALTAVILLA SILENTINA;CICCONE ROMANO;FORZA ITALIA;770;;
ALTAVILLA SILENTINA;;LEGA;335;;
ALTAVILLA SILENTINA;;FRATELLI D'ITALIA CON GIORGIA MELONI;291;;
ALTAVILLA SILENTINA;;NOI CON L'ITALIA - UDC;39;;
ALTAVILLA SILENTINA;VOLPE DOMENICO;PARTITO DEMOCRATICO;341;;
ALTAVILLA SILENTINA;;+EUROPA;76;;
ALTAVILLA SILENTINA;;ITALIA EUROPA INSIEME;49;;
ALTAVILLA SILENTINA;;CIVICA POPOLARE LORENZIN;14;;
ALTAVILLA SILENTINA;CONTE FEDERICO;LIBERI E UGUALI;118;;
ALTAVILLA SILENTINA;MARTUCCIELLO VINCENZO;ITALIA AGLI ITALIANI;41;;
ALTAVILLA SILENTINA;BALSAMO DINA ALBERTINA;POTERE AL POPOLO!;25;;
ALTAVILLA SILENTINA;ANDRIUOLO MARIAROSARIA;CASAPOUND ITALIA;18;;
ALTAVILLA SILENTINA;NENNA GENNARO;PARTITO COMUNISTA;10;;
ALTAVILLA SILENTINA;VORIA ANTONIO;IL POPOLO DELLA FAMIGLIA;9;;
ALTAVILLA SILENTINA;COPPOLA RAFFAELLA;10 VOLTE MEGLIO;8;;
ALTAVILLA SILENTINA;URSI GIOVANNI;PARTITO VALORE UMANO;6;;
ALTAVILLA SILENTINA;ARENA ANNA;PER UNA SINISTRA RIVOLUZIONARIA;6;;
BATTIPAGLIA;ACUNZO NICOLA;MOVIMENTO 5 STELLE;10546;;
BATTIPAGLIA;CICCONE ROMANO;FORZA ITALIA;5205;;
BATTIPAGLIA;;LEGA;1897;;
BATTIPAGLIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;1144;;
BATTIPAGLIA;;NOI CON L'ITALIA - UDC;288;;
BATTIPAGLIA;VOLPE DOMENICO;PARTITO DEMOCRATICO;2894;;
BATTIPAGLIA;;+EUROPA;304;;
BATTIPAGLIA;;CIVICA POPOLARE LORENZIN;184;;
BATTIPAGLIA;;ITALIA EUROPA INSIEME;148;;
BATTIPAGLIA;CONTE FEDERICO;LIBERI E UGUALI;673;;
BATTIPAGLIA;VORIA ANTONIO;IL POPOLO DELLA FAMIGLIA;442;;
BATTIPAGLIA;BALSAMO DINA ALBERTINA;POTERE AL POPOLO!;283;;
BATTIPAGLIA;MARTUCCIELLO VINCENZO;ITALIA AGLI ITALIANI;163;;
BATTIPAGLIA;ANDRIUOLO MARIAROSARIA;CASAPOUND ITALIA;152;;
BATTIPAGLIA;NENNA GENNARO;PARTITO COMUNISTA;51;;
BATTIPAGLIA;URSI GIOVANNI;PARTITO VALORE UMANO;39;;
BATTIPAGLIA;COPPOLA RAFFAELLA;10 VOLTE MEGLIO;27;;
BATTIPAGLIA;ARENA ANNA;PER UNA SINISTRA RIVOLUZIONARIA;12;;
BELLIZZI;ACUNZO NICOLA;MOVIMENTO 5 STELLE;2818;;
BELLIZZI;CICCONE ROMANO;FORZA ITALIA;1464;;
BELLIZZI;;LEGA;413;;
BELLIZZI;;FRATELLI D'ITALIA CON GIORGIA MELONI;198;;
BELLIZZI;;NOI CON L'ITALIA - UDC;175;;
BELLIZZI;VOLPE DOMENICO;PARTITO DEMOCRATICO;995;;
BELLIZZI;;ITALIA EUROPA INSIEME;114;;
BELLIZZI;;+EUROPA;67;;
BELLIZZI;;CIVICA POPOLARE LORENZIN;24;;
BELLIZZI;CONTE FEDERICO;LIBERI E UGUALI;91;;
BELLIZZI;VORIA ANTONIO;IL POPOLO DELLA FAMIGLIA;78;;
BELLIZZI;MARTUCCIELLO VINCENZO;ITALIA AGLI ITALIANI;39;;
BELLIZZI;BALSAMO DINA ALBERTINA;POTERE AL POPOLO!;30;;
BELLIZZI;ANDRIUOLO MARIAROSARIA;CASAPOUND ITALIA;28;;
BELLIZZI;NENNA GENNARO;PARTITO COMUNISTA;12;;
BELLIZZI;URSI GIOVANNI;PARTITO VALORE UMANO;12;;
BELLIZZI;ARENA ANNA;PER UNA SINISTRA RIVOLUZIONARIA;12;;
BELLIZZI;COPPOLA RAFFAELLA;10 VOLTE MEGLIO;2;;
CALVANICO;ACUNZO NICOLA;MOVIMENTO 5 STELLE;322;;
CALVANICO;CICCONE ROMANO;FORZA ITALIA;170;;
CALVANICO;;LEGA;37;;
CALVANICO;;FRATELLI D'ITALIA CON GIORGIA MELONI;20;;
CALVANICO;;NOI CON L'ITALIA - UDC;5;;
CALVANICO;VOLPE DOMENICO;PARTITO DEMOCRATICO;158;;
CALVANICO;;ITALIA EUROPA INSIEME;33;;
CALVANICO;;+EUROPA;6;;
CALVANICO;;CIVICA POPOLARE LORENZIN;5;;
CALVANICO;CONTE FEDERICO;LIBERI E UGUALI;29;;
CALVANICO;BALSAMO DINA ALBERTINA;POTERE AL POPOLO!;6;;
CALVANICO;VORIA ANTONIO;IL POPOLO DELLA FAMIGLIA;5;;
CALVANICO;ARENA ANNA;PER UNA SINISTRA RIVOLUZIONARIA;5;;
CALVANICO;NENNA GENNARO;PARTITO COMUNISTA;4;;
CALVANICO;MARTUCCIELLO VINCENZO;ITALIA AGLI ITALIANI;3;;
CALVANICO;COPPOLA RAFFAELLA;10 VOLTE MEGLIO;2;;
