

Ente;Candidato;Liste/Gruppi;Voti lista;;
AGROPOLI;ALFIERI FRANCESCO;PARTITO DEMOCRATICO;2686;;
AGROPOLI;;+EUROPA;207;;
AGROPOLI;;ITALIA EUROPA INSIEME;95;;
AGROPOLI;;CIVICA POPOLARE LORENZIN;52;;
AGROPOLI;D'ALESSANDRO ALESSIA;MOVIMENTO 5 STELLE;3156;;
AGROPOLI;FERRAIOLI MARZIA;FORZA ITALIA;1745;;
AGROPOLI;;LEGA;786;;
AGROPOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;368;;
AGROPOLI;;NOI CON L'ITALIA - UDC;50;;
AGROPOLI;GIORDANO LUIGI;LIBERI E UGUALI;196;;
AGROPOLI;ISOLDI FILIPPO;POTERE AL POPOLO!;143;;
AGROPOLI;RISPOLI DANIELA;ITALIA AGLI ITALIANI;54;;
AGROPOLI;FAIELLA VITO;CASAPOUND ITALIA;33;;
AGROPOLI;FOCARILE MICHELINA;IL POPOLO DELLA FAMIGLIA;28;;
AGROPOLI;VULLO IVANA;PARTITO COMUNISTA;21;;
AGROPOLI;RUSSO FEDERICA;PER UNA SINISTRA RIVOLUZIONARIA;8;;
AGROPOLI;CAMPOCHIARO BRUNO;PARTITO VALORE UMANO;7;;
AGROPOLI;COPPOLA ENZO;10 VOLTE MEGLIO;5;;
ALFANO;FERRAIOLI MARZIA;FRATELLI D'ITALIA CON GIORGIA MELONI;115;;
ALFANO;;FORZA ITALIA;66;;
ALFANO;;LEGA;45;;
ALFANO;;NOI CON L'ITALIA - UDC;4;;
ALFANO;D'ALESSANDRO ALESSIA;MOVIMENTO 5 STELLE;160;;
ALFANO;ALFIERI FRANCESCO;CIVICA POPOLARE LORENZIN;76;;
ALFANO;;PARTITO DEMOCRATICO;41;;
ALFANO;;ITALIA EUROPA INSIEME;4;;
ALFANO;;+EUROPA;1;;
ALFANO;GIORDANO LUIGI;LIBERI E UGUALI;7;;
ALFANO;RISPOLI DANIELA;ITALIA AGLI ITALIANI;5;;
ALFANO;ISOLDI FILIPPO;POTERE AL POPOLO!;5;;
ALFANO;VULLO IVANA;PARTITO COMUNISTA;2;;
ALFANO;CAMPOCHIARO BRUNO;PARTITO VALORE UMANO;2;;
ALFANO;COPPOLA ENZO;10 VOLTE MEGLIO;1;;
ALFANO;RUSSO FEDERICA;PER UNA SINISTRA RIVOLUZIONARIA;1;;
ALFANO;FAIELLA VITO;CASAPOUND ITALIA;0;;
ALFANO;FOCARILE MICHELINA;IL POPOLO DELLA FAMIGLIA;0;;
AQUARA;D'ALESSANDRO ALESSIA;MOVIMENTO 5 STELLE;256;;
AQUARA;ALFIERI FRANCESCO;PARTITO DEMOCRATICO;199;;
