

Ente;Liste/Gruppi;Voti;
AILANO;LEGA SALVINI PREMIER;256;;
AILANO;MOVIMENTO 5 STELLE;192;;
AILANO;FORZA ITALIA;169;;
AILANO;PARTITO DEMOCRATICO;101;;
AILANO;FRATELLI D'ITALIA;37;;
AILANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;13;;
AILANO;EUROPA VERDE;13;;
AILANO;PARTITO ANIMALISTA;11;;
AILANO;PARTITO COMUNISTA;9;;
AILANO;LA SINISTRA;9;;
AILANO;FORZA NUOVA;3;;
AILANO;CASAPOUND ITALIA - DESTRE UNITE;3;;
AILANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
AILANO;POPOLARI PER L'ITALIA;1;;
AILANO;PARTITO PIRATA;0;;
ALIFE;MOVIMENTO 5 STELLE;814;;
ALIFE;LEGA SALVINI PREMIER;676;;
ALIFE;FORZA ITALIA;490;;
ALIFE;PARTITO DEMOCRATICO;427;;
ALIFE;FRATELLI D'ITALIA;83;;
ALIFE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;38;;
ALIFE;LA SINISTRA;32;;
ALIFE;EUROPA VERDE;24;;
ALIFE;PARTITO COMUNISTA;18;;
ALIFE;PARTITO ANIMALISTA;11;;
ALIFE;CASAPOUND ITALIA - DESTRE UNITE;8;;
ALIFE;POPOLARI PER L'ITALIA;6;;
ALIFE;PARTITO PIRATA;5;;
ALIFE;FORZA NUOVA;4;;
ALIFE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;3;;
ALVIGNANO;MOVIMENTO 5 STELLE;439;;
ALVIGNANO;PARTITO DEMOCRATICO;391;;
ALVIGNANO;LEGA SALVINI PREMIER;345;;
ALVIGNANO;FORZA ITALIA;252;;
ALVIGNANO;FRATELLI D'ITALIA;71;;
ALVIGNANO;PARTITO ANIMALISTA;15;;
ALVIGNANO;LA SINISTRA;13;;
ALVIGNANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;13;;
ALVIGNANO;EUROPA VERDE;9;;
ALVIGNANO;CASAPOUND ITALIA - DESTRE UNITE;7;;
ALVIGNANO;FORZA NUOVA;4;;
ALVIGNANO;PARTITO COMUNISTA;3;;
ALVIGNANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
ALVIGNANO;POPOLARI PER L'ITALIA;2;;
ALVIGNANO;PARTITO PIRATA;1;;
ARIENZO;MOVIMENTO 5 STELLE;613;;
ARIENZO;LEGA SALVINI PREMIER;557;;
ARIENZO;FORZA ITALIA;435;;
ARIENZO;PARTITO DEMOCRATICO;200;;
ARIENZO;FRATELLI D'ITALIA;100;;
ARIENZO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;26;;
ARIENZO;LA SINISTRA;22;;
ARIENZO;PARTITO COMUNISTA;12;;
ARIENZO;EUROPA VERDE;11;;
ARIENZO;POPOLARI PER L'ITALIA;5;;
ARIENZO;PARTITO ANIMALISTA;5;;
ARIENZO;FORZA NUOVA;4;;
ARIENZO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;4;;
ARIENZO;PARTITO PIRATA;3;;
ARIENZO;CASAPOUND ITALIA - DESTRE UNITE;2;;
AVERSA;MOVIMENTO 5 STELLE;9161;;
AVERSA;PARTITO DEMOCRATICO;5518;;
AVERSA;LEGA SALVINI PREMIER;5435;;
AVERSA;FORZA ITALIA;3698;;
AVERSA;FRATELLI D'ITALIA;978;;
AVERSA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;517;;
AVERSA;EUROPA VERDE;368;;
AVERSA;LA SINISTRA;270;;
AVERSA;PARTITO ANIMALISTA;199;;
AVERSA;PARTITO COMUNISTA;146;;
AVERSA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;76;;
AVERSA;POPOLARI PER L'ITALIA;70;;
AVERSA;CASAPOUND ITALIA - DESTRE UNITE;45;;
AVERSA;PARTITO PIRATA;29;;
AVERSA;FORZA NUOVA;21;;
BAIA E LATINA;MOVIMENTO 5 STELLE;252;;
BAIA E LATINA;FORZA ITALIA;204;;
BAIA E LATINA;LEGA SALVINI PREMIER;172;;
BAIA E LATINA;PARTITO DEMOCRATICO;133;;
BAIA E LATINA;FRATELLI D'ITALIA;41;;
BAIA E LATINA;LA SINISTRA;16;;
BAIA E LATINA;PARTITO COMUNISTA;9;;
BAIA E LATINA;EUROPA VERDE;9;;
BAIA E LATINA;PARTITO ANIMALISTA;5;;
BAIA E LATINA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;4;;
BAIA E LATINA;FORZA NUOVA;1;;
BAIA E LATINA;CASAPOUND ITALIA - DESTRE UNITE;1;;
BAIA E LATINA;PARTITO PIRATA;0;;
BAIA E LATINA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
BAIA E LATINA;POPOLARI PER L'ITALIA;0;;
BELLONA;MOVIMENTO 5 STELLE;665;;
BELLONA;LEGA SALVINI PREMIER;536;;
BELLONA;FORZA ITALIA;369;;
BELLONA;PARTITO DEMOCRATICO;271;;
BELLONA;FRATELLI D'ITALIA;64;;
BELLONA;LA SINISTRA;31;;
BELLONA;EUROPA VERDE;24;;
BELLONA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;14;;
BELLONA;PARTITO ANIMALISTA;5;;
BELLONA;CASAPOUND ITALIA - DESTRE UNITE;5;;
BELLONA;PARTITO COMUNISTA;3;;
BELLONA;PARTITO PIRATA;3;;
BELLONA;POPOLARI PER L'ITALIA;2;;
BELLONA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
BELLONA;FORZA NUOVA;1;;
CAIANELLO;LEGA SALVINI PREMIER;329;;
CAIANELLO;MOVIMENTO 5 STELLE;311;;
CAIANELLO;FORZA ITALIA;190;;
CAIANELLO;PARTITO DEMOCRATICO;144;;
CAIANELLO;FRATELLI D'ITALIA;49;;
CAIANELLO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;26;;
CAIANELLO;PARTITO COMUNISTA;9;;
CAIANELLO;PARTITO ANIMALISTA;7;;
CAIANELLO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;7;;
CAIANELLO;EUROPA VERDE;5;;
CAIANELLO;LA SINISTRA;5;;
CAIANELLO;FORZA NUOVA;1;;
CAIANELLO;POPOLARI PER L'ITALIA;1;;
CAIANELLO;CASAPOUND ITALIA - DESTRE UNITE;0;;
CAIANELLO;PARTITO PIRATA;0;;
CAIAZZO;MOVIMENTO 5 STELLE;648;;
CAIAZZO;LEGA SALVINI PREMIER;550;;
CAIAZZO;PARTITO DEMOCRATICO;346;;
CAIAZZO;FORZA ITALIA;302;;
CAIAZZO;FRATELLI D'ITALIA;82;;
CAIAZZO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;53;;
CAIAZZO;EUROPA VERDE;29;;
CAIAZZO;LA SINISTRA;23;;
CAIAZZO;PARTITO ANIMALISTA;10;;
CAIAZZO;PARTITO COMUNISTA;9;;
CAIAZZO;PARTITO PIRATA;6;;
CAIAZZO;CASAPOUND ITALIA - DESTRE UNITE;5;;
CAIAZZO;FORZA NUOVA;3;;
CAIAZZO;POPOLARI PER L'ITALIA;2;;
CAIAZZO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
CALVI RISORTA;LEGA SALVINI PREMIER;677;;
CALVI RISORTA;MOVIMENTO 5 STELLE;538;;
CALVI RISORTA;FORZA ITALIA;370;;
CALVI RISORTA;PARTITO DEMOCRATICO;339;;
CALVI RISORTA;FRATELLI D'ITALIA;187;;
CALVI RISORTA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;76;;
CALVI RISORTA;LA SINISTRA;30;;
CALVI RISORTA;EUROPA VERDE;24;;
CALVI RISORTA;PARTITO COMUNISTA;21;;
CALVI RISORTA;PARTITO ANIMALISTA;8;;
CALVI RISORTA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;8;;
CALVI RISORTA;POPOLARI PER L'ITALIA;7;;
CALVI RISORTA;CASAPOUND ITALIA - DESTRE UNITE;6;;
CALVI RISORTA;PARTITO PIRATA;5;;
CALVI RISORTA;FORZA NUOVA;0;;
CAMIGLIANO;MOVIMENTO 5 STELLE;238;;
CAMIGLIANO;LEGA SALVINI PREMIER;187;;
CAMIGLIANO;FORZA ITALIA;170;;
CAMIGLIANO;PARTITO DEMOCRATICO;83;;
CAMIGLIANO;FRATELLI D'ITALIA;36;;
CAMIGLIANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;10;;
CAMIGLIANO;LA SINISTRA;9;;
CAMIGLIANO;EUROPA VERDE;7;;
CAMIGLIANO;PARTITO ANIMALISTA;7;;
CAMIGLIANO;PARTITO COMUNISTA;4;;
CAMIGLIANO;FORZA NUOVA;1;;
CAMIGLIANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
CAMIGLIANO;POPOLARI PER L'ITALIA;0;;
CAMIGLIANO;PARTITO PIRATA;0;;
CAMIGLIANO;CASAPOUND ITALIA - DESTRE UNITE;0;;
CANCELLO ED ARNONE;LEGA SALVINI PREMIER;492;;
CANCELLO ED ARNONE;MOVIMENTO 5 STELLE;381;;
CANCELLO ED ARNONE;FORZA ITALIA;244;;
CANCELLO ED ARNONE;FRATELLI D'ITALIA;239;;
CANCELLO ED ARNONE;PARTITO DEMOCRATICO;207;;
CANCELLO ED ARNONE;LA SINISTRA;21;;
CANCELLO ED ARNONE;EUROPA VERDE;14;;
CANCELLO ED ARNONE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;10;;
CANCELLO ED ARNONE;PARTITO COMUNISTA;9;;
CANCELLO ED ARNONE;CASAPOUND ITALIA - DESTRE UNITE;5;;
CANCELLO ED ARNONE;POPOLARI PER L'ITALIA;4;;
CANCELLO ED ARNONE;PARTITO ANIMALISTA;4;;
CANCELLO ED ARNONE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2;;
CANCELLO ED ARNONE;FORZA NUOVA;1;;
CANCELLO ED ARNONE;PARTITO PIRATA;0;;
CAPODRISE;MOVIMENTO 5 STELLE;1153;;
CAPODRISE;PARTITO DEMOCRATICO;703;;
