

Ente;Liste/Gruppi;Voti;
ACERNO;MOVIMENTO 5 STELLE;334;;
ACERNO;LEGA SALVINI PREMIER;270;;
ACERNO;PARTITO DEMOCRATICO;156;;
ACERNO;FORZA ITALIA;117;;
ACERNO;FRATELLI D'ITALIA;68;;
ACERNO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;26;;
ACERNO;EUROPA VERDE;17;;
ACERNO;PARTITO COMUNISTA;6;;
ACERNO;PARTITO ANIMALISTA;4;;
ACERNO;LA SINISTRA;3;;
ACERNO;FORZA NUOVA;2;;
ACERNO;POPOLARI PER L'ITALIA;1;;
ACERNO;CASAPOUND ITALIA - DESTRE UNITE;0;;
ACERNO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
ACERNO;PARTITO PIRATA;0;;
AGROPOLI;LEGA SALVINI PREMIER;2420;;
AGROPOLI;MOVIMENTO 5 STELLE;1825;;
AGROPOLI;PARTITO DEMOCRATICO;1721;;
AGROPOLI;FORZA ITALIA;795;;
AGROPOLI;FRATELLI D'ITALIA;460;;
AGROPOLI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;210;;
AGROPOLI;LA SINISTRA;117;;
AGROPOLI;EUROPA VERDE;109;;
AGROPOLI;PARTITO COMUNISTA;58;;
AGROPOLI;PARTITO ANIMALISTA;46;;
AGROPOLI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;18;;
AGROPOLI;POPOLARI PER L'ITALIA;17;;
AGROPOLI;CASAPOUND ITALIA - DESTRE UNITE;16;;
AGROPOLI;FORZA NUOVA;12;;
AGROPOLI;PARTITO PIRATA;10;;
ALBANELLA;LEGA SALVINI PREMIER;1220;;
ALBANELLA;MOVIMENTO 5 STELLE;993;;
ALBANELLA;FORZA ITALIA;477;;
ALBANELLA;PARTITO DEMOCRATICO;433;;
ALBANELLA;FRATELLI D'ITALIA;268;;
ALBANELLA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;161;;
ALBANELLA;LA SINISTRA;97;;
ALBANELLA;EUROPA VERDE;43;;
ALBANELLA;PARTITO ANIMALISTA;27;;
ALBANELLA;PARTITO COMUNISTA;25;;
ALBANELLA;FORZA NUOVA;14;;
ALBANELLA;CASAPOUND ITALIA - DESTRE UNITE;9;;
ALBANELLA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;8;;
ALBANELLA;POPOLARI PER L'ITALIA;7;;
ALBANELLA;PARTITO PIRATA;5;;
ALFANO;LEGA SALVINI PREMIER;167;;
ALFANO;MOVIMENTO 5 STELLE;59;;
ALFANO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;52;;
ALFANO;FRATELLI D'ITALIA;40;;
ALFANO;PARTITO DEMOCRATICO;27;;
ALFANO;FORZA ITALIA;21;;
ALFANO;EUROPA VERDE;4;;
ALFANO;LA SINISTRA;3;;
ALFANO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
ALFANO;POPOLARI PER L'ITALIA;1;;
ALFANO;PARTITO PIRATA;0;;
ALFANO;PARTITO ANIMALISTA;0;;
ALFANO;CASAPOUND ITALIA - DESTRE UNITE;0;;
ALFANO;FORZA NUOVA;0;;
