

Ente;Candidato;Liste/Gruppi;Voti lista;;
ARIENZO;MORONESE VILMA;MOVIMENTO 5 STELLE;1323;;
ARIENZO;PETRENGA GIOVANNA;FORZA ITALIA;540;;
ARIENZO;;LEGA;116;;
ARIENZO;;FRATELLI D'ITALIA CON GIORGIA MELONI;97;;
ARIENZO;;NOI CON L'ITALIA - UDC;27;;
ARIENZO;CAPUTO NICOLA;PARTITO DEMOCRATICO;315;;
ARIENZO;;ITALIA EUROPA INSIEME;43;;
ARIENZO;;CIVICA POPOLARE LORENZIN;13;;
ARIENZO;;+EUROPA;11;;
ARIENZO;FABROCILE ANTONELLO;LIBERI E UGUALI;28;;
ARIENZO;BOCCHINI PATRIZIA;ITALIA AGLI ITALIANI;24;;
ARIENZO;RASCATO ERNESTO;POTERE AL POPOLO!;15;;
ARIENZO;DEBLASIO MARIA STELLA;CASAPOUND ITALIA;15;;
ARIENZO;CANDALINO FABIO;IL POPOLO DELLA FAMIGLIA;9;;
ARIENZO;GADOLA ARNALDO;PARTITO REPUBBLICANO ITALIANO - ALA;4;;
ARIENZO;MONTELEONE GUIDO;PARTITO COMUNISTA;4;;
ARIENZO;ZIGNONE PAOLO;PER UNA SINISTRA RIVOLUZIONARIA;2;;
ARIENZO;ORLANDO ANTONIO;PARTITO VALORE UMANO;1;;
AVERSA;MORONESE VILMA;MOVIMENTO 5 STELLE;11626;;
AVERSA;PETRENGA GIOVANNA;FORZA ITALIA;4067;;
AVERSA;;FRATELLI D'ITALIA CON GIORGIA MELONI;1143;;
AVERSA;;LEGA;1061;;
AVERSA;;NOI CON L'ITALIA - UDC;165;;
AVERSA;CAPUTO NICOLA;PARTITO DEMOCRATICO;2737;;
AVERSA;;+EUROPA;254;;
AVERSA;;CIVICA POPOLARE LORENZIN;168;;
AVERSA;;ITALIA EUROPA INSIEME;72;;
AVERSA;RASCATO ERNESTO;POTERE AL POPOLO!;346;;
AVERSA;FABROCILE ANTONELLO;LIBERI E UGUALI;354;;
AVERSA;DEBLASIO MARIA STELLA;CASAPOUND ITALIA;88;;
AVERSA;BOCCHINI PATRIZIA;ITALIA AGLI ITALIANI;74;;
AVERSA;CANDALINO FABIO;IL POPOLO DELLA FAMIGLIA;67;;
AVERSA;MONTELEONE GUIDO;PARTITO COMUNISTA;62;;
AVERSA;ORLANDO ANTONIO;PARTITO VALORE UMANO;19;;
AVERSA;ZIGNONE PAOLO;PER UNA SINISTRA RIVOLUZIONARIA;12;;
AVERSA;GADOLA ARNALDO;PARTITO REPUBBLICANO ITALIANO - ALA;11;;
CANCELLO ED ARNONE;PETRENGA GIOVANNA;FORZA ITALIA;817;;
CANCELLO ED ARNONE;;LEGA;172;;
CANCELLO ED ARNONE;;FRATELLI D'ITALIA CON GIORGIA MELONI;125;;
CANCELLO ED ARNONE;;NOI CON L'ITALIA - UDC;6;;
CANCELLO ED ARNONE;MORONESE VILMA;MOVIMENTO 5 STELLE;888;;
CANCELLO ED ARNONE;CAPUTO NICOLA;PARTITO DEMOCRATICO;210;;
CANCELLO ED ARNONE;;CIVICA POPOLARE LORENZIN;122;;
CANCELLO ED ARNONE;;ITALIA EUROPA INSIEME;14;;
CANCELLO ED ARNONE;;+EUROPA;6;;
CANCELLO ED ARNONE;FABROCILE ANTONELLO;LIBERI E UGUALI;18;;
CANCELLO ED ARNONE;DEBLASIO MARIA STELLA;CASAPOUND ITALIA;7;;
CANCELLO ED ARNONE;BOCCHINI PATRIZIA;ITALIA AGLI ITALIANI;7;;
CANCELLO ED ARNONE;CANDALINO FABIO;IL POPOLO DELLA FAMIGLIA;6;;
CANCELLO ED ARNONE;RASCATO ERNESTO;POTERE AL POPOLO!;4;;
CANCELLO ED ARNONE;MONTELEONE GUIDO;PARTITO COMUNISTA;4;;
CANCELLO ED ARNONE;ZIGNONE PAOLO;PER UNA SINISTRA RIVOLUZIONARIA;3;;
CANCELLO ED ARNONE;GADOLA ARNALDO;PARTITO REPUBBLICANO ITALIANO - ALA;2;;
CANCELLO ED ARNONE;ORLANDO ANTONIO;PARTITO VALORE UMANO;0;;
CAPODRISE;MORONESE VILMA;MOVIMENTO 5 STELLE;2689;;
CAPODRISE;PETRENGA GIOVANNA;FORZA ITALIA;674;;
CAPODRISE;;LEGA;165;;
CAPODRISE;;FRATELLI D'ITALIA CON GIORGIA MELONI;87;;
CAPODRISE;;NOI CON L'ITALIA - UDC;26;;
CAPODRISE;CAPUTO NICOLA;PARTITO DEMOCRATICO;415;;
CAPODRISE;;ITALIA EUROPA INSIEME;66;;
CAPODRISE;;+EUROPA;30;;
CAPODRISE;;CIVICA POPOLARE LORENZIN;29;;
CAPODRISE;FABROCILE ANTONELLO;LIBERI E UGUALI;62;;
CAPODRISE;RASCATO ERNESTO;POTERE AL POPOLO!;32;;
CAPODRISE;ZIGNONE PAOLO;PER UNA SINISTRA RIVOLUZIONARIA;30;;
CAPODRISE;GADOLA ARNALDO;PARTITO REPUBBLICANO ITALIANO - ALA;27;;
CAPODRISE;DEBLASIO MARIA STELLA;CASAPOUND ITALIA;24;;
CAPODRISE;CANDALINO FABIO;IL POPOLO DELLA FAMIGLIA;16;;
CAPODRISE;BOCCHINI PATRIZIA;ITALIA AGLI ITALIANI;16;;
CAPODRISE;MONTELEONE GUIDO;PARTITO COMUNISTA;14;;
CAPODRISE;ORLANDO ANTONIO;PARTITO VALORE UMANO;5;;
CARINARO;MORONESE VILMA;MOVIMENTO 5 STELLE;1789;;
CARINARO;PETRENGA GIOVANNA;FORZA ITALIA;570;;
CARINARO;;LEGA;152;;
CARINARO;;FRATELLI D'ITALIA CON GIORGIA MELONI;125;;
CARINARO;;NOI CON L'ITALIA - UDC;27;;
