

Ente;Candidato;Liste/Gruppi;Voti lista;;
BACOLI;CASTELLONE MARIA DOMENICA;MOVIMENTO 5 STELLE;5521;;
BACOLI;BENEDUCE FLORA;FORZA ITALIA;2803;;
BACOLI;;LEGA;529;;
BACOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;354;;
BACOLI;;NOI CON L'ITALIA - UDC;82;;
BACOLI;PALMA GIOVANNA;PARTITO DEMOCRATICO;1682;;
BACOLI;;+EUROPA;132;;
BACOLI;;ITALIA EUROPA INSIEME;36;;
BACOLI;;CIVICA POPOLARE LORENZIN;32;;
BACOLI;MORRA CARLO;LIBERI E UGUALI;448;;
BACOLI;REGA ANTONIO;POTERE AL POPOLO!;204;;
BACOLI;LUBRANO BENITO;CASAPOUND ITALIA;68;;
BACOLI;AMATO IRENE;ITALIA AGLI ITALIANI;58;;
BACOLI;CASALE BENIAMINO;IL POPOLO DELLA FAMIGLIA;50;;
BACOLI;BARBAGALLO ANTONIO;PER UNA SINISTRA RIVOLUZIONARIA;21;;
BACOLI;SPAVONE ANNA;PARTITO REPUBBLICANO ITALIANO - ALA;6;;
BARANO D'ISCHIA;BENEDUCE FLORA;FORZA ITALIA;1410;;
BARANO D'ISCHIA;;LEGA;231;;
BARANO D'ISCHIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;116;;
BARANO D'ISCHIA;;NOI CON L'ITALIA - UDC;26;;
BARANO D'ISCHIA;CASTELLONE MARIA DOMENICA;MOVIMENTO 5 STELLE;1711;;
BARANO D'ISCHIA;PALMA GIOVANNA;PARTITO DEMOCRATICO;479;;
BARANO D'ISCHIA;;+EUROPA;55;;
BARANO D'ISCHIA;;ITALIA EUROPA INSIEME;20;;
BARANO D'ISCHIA;;CIVICA POPOLARE LORENZIN;18;;
BARANO D'ISCHIA;CASALE BENIAMINO;IL POPOLO DELLA FAMIGLIA;80;;
BARANO D'ISCHIA;MORRA CARLO;LIBERI E UGUALI;74;;
BARANO D'ISCHIA;REGA ANTONIO;POTERE AL POPOLO!;53;;
BARANO D'ISCHIA;LUBRANO BENITO;CASAPOUND ITALIA;36;;
BARANO D'ISCHIA;AMATO IRENE;ITALIA AGLI ITALIANI;17;;
BARANO D'ISCHIA;BARBAGALLO ANTONIO;PER UNA SINISTRA RIVOLUZIONARIA;7;;
BARANO D'ISCHIA;SPAVONE ANNA;PARTITO REPUBBLICANO ITALIANO - ALA;1;;
CALVIZZANO;CASTELLONE MARIA DOMENICA;MOVIMENTO 5 STELLE;3242;;
CALVIZZANO;BENEDUCE FLORA;FORZA ITALIA;926;;
CALVIZZANO;;LEGA;382;;
CALVIZZANO;;NOI CON L'ITALIA - UDC;207;;
CALVIZZANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;127;;
CALVIZZANO;PALMA GIOVANNA;PARTITO DEMOCRATICO;658;;
CALVIZZANO;;+EUROPA;44;;
CALVIZZANO;;CIVICA POPOLARE LORENZIN;12;;
CALVIZZANO;;ITALIA EUROPA INSIEME;10;;
CALVIZZANO;MORRA CARLO;LIBERI E UGUALI;99;;
CALVIZZANO;REGA ANTONIO;POTERE AL POPOLO!;72;;
CALVIZZANO;CASALE BENIAMINO;IL POPOLO DELLA FAMIGLIA;35;;
