

Ente;Candidato;Liste/Gruppi;Voti lista;;
NAPOLI;ORTOLANI FRANCO;MOVIMENTO 5 STELLE;104496;;
NAPOLI;GUANGI SALVATORE;FORZA ITALIA;33454;;
NAPOLI;;LEGA;5375;;
NAPOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;5249;;
NAPOLI;;NOI CON L'ITALIA - UDC;1209;;
NAPOLI;ALFANO GIOACCHINO;PARTITO DEMOCRATICO;28188;;
NAPOLI;;+EUROPA;2974;;
NAPOLI;;CIVICA POPOLARE LORENZIN;749;;
NAPOLI;;ITALIA EUROPA INSIEME;601;;
NAPOLI;NOCCHETTI ANTONIO;LIBERI E UGUALI;7193;;
NAPOLI;TURCHI PATRIZIA;POTERE AL POPOLO!;4373;;
NAPOLI;DI MARINO SALVATORE;IL POPOLO DELLA FAMIGLIA;1254;;
NAPOLI;PANZERA ALESSANDRA;CASAPOUND ITALIA;832;;
NAPOLI;ARPAIA ANNAMARIA;ITALIA AGLI ITALIANI;480;;
NAPOLI;PALUMBO ALFREDO;PARTITO REPUBBLICANO ITALIANO - ALA;395;;
NAPOLI;FOSSATI FIAMMETTA;PER UNA SINISTRA RIVOLUZIONARIA;231;;
