

Ente;Candidato;Liste/Gruppi;Voti lista;;
NAPOLI;NUGNES PAOLA;MOVIMENTO 5 STELLE;90391;;
NAPOLI;RUSSO ANGELA;FORZA ITALIA;32948;;
NAPOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;6151;;
NAPOLI;;LEGA;5400;;
NAPOLI;;NOI CON L'ITALIA - UDC;1279;;
NAPOLI;MARCIANO ANTONIO;PARTITO DEMOCRATICO;28809;;
NAPOLI;;+EUROPA;3966;;
NAPOLI;;ITALIA EUROPA INSIEME;717;;
NAPOLI;;CIVICA POPOLARE LORENZIN;629;;
NAPOLI;MATURO CARMINE;LIBERI E UGUALI;6416;;
NAPOLI;FRANCO MICHELE;POTERE AL POPOLO!;5525;;
NAPOLI;DE SANCTIS FRANCESCA;IL POPOLO DELLA FAMIGLIA;1316;;
NAPOLI;SCHIAVO VINCENZO;CASAPOUND ITALIA;895;;
NAPOLI;D'ESPOSITO ALESSANDRO;ITALIA AGLI ITALIANI;491;;
NAPOLI;PIRO MASSIMILIANA;PER UNA SINISTRA RIVOLUZIONARIA;269;;
NAPOLI;MOSCARELLA ANTONIETTA;PARTITO REPUBBLICANO ITALIANO - ALA;200;;
