

Ente;Candidato;Liste/Gruppi;Voti lista;;
AGEROLA;RIVELLINI CRESCENZIO;FORZA ITALIA;1050;;
AGEROLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;163;;
AGEROLA;;LEGA;158;;
AGEROLA;;NOI CON L'ITALIA - UDC;105;;
AGEROLA;LA MURA VIRGINIA;MOVIMENTO 5 STELLE;1162;;
AGEROLA;MANNIELLO FRANCESCO;PARTITO DEMOCRATICO;808;;
AGEROLA;;+EUROPA;24;;
AGEROLA;;ITALIA EUROPA INSIEME;15;;
AGEROLA;;CIVICA POPOLARE LORENZIN;7;;
AGEROLA;CIRILLO VINCENZO;LIBERI E UGUALI;63;;
AGEROLA;ESPOSITO ALESSANDRO;CASAPOUND ITALIA;28;;
AGEROLA;FARDELLI DIANA RITA;POTERE AL POPOLO!;27;;
AGEROLA;ANDRETTI CIRO;ITALIA AGLI ITALIANI;12;;
AGEROLA;ERRICO JESSICA;IL POPOLO DELLA FAMIGLIA;8;;
AGEROLA;LIGUORO RAFFAELLA;PARTITO VALORE UMANO;8;;
AGEROLA;TASSI ALESSANDRA;PARTITO COMUNISTA;5;;
AGEROLA;FARO CIRO;PARTITO REPUBBLICANO ITALIANO - ALA;6;;
AGEROLA;PEZZA LUCA GABRIELE MARIO;PER UNA SINISTRA RIVOLUZIONARIA;0;;
ANACAPRI;RIVELLINI CRESCENZIO;FORZA ITALIA;796;;
ANACAPRI;;LEGA;185;;
ANACAPRI;;FRATELLI D'ITALIA CON GIORGIA MELONI;144;;
ANACAPRI;;NOI CON L'ITALIA - UDC;33;;
ANACAPRI;LA MURA VIRGINIA;MOVIMENTO 5 STELLE;1069;;
ANACAPRI;MANNIELLO FRANCESCO;PARTITO DEMOCRATICO;420;;
ANACAPRI;;+EUROPA;63;;
ANACAPRI;;CIVICA POPOLARE LORENZIN;10;;
ANACAPRI;;ITALIA EUROPA INSIEME;5;;
ANACAPRI;CIRILLO VINCENZO;LIBERI E UGUALI;41;;
ANACAPRI;ESPOSITO ALESSANDRO;CASAPOUND ITALIA;26;;
ANACAPRI;FARDELLI DIANA RITA;POTERE AL POPOLO!;15;;
ANACAPRI;ANDRETTI CIRO;ITALIA AGLI ITALIANI;14;;
ANACAPRI;ERRICO JESSICA;IL POPOLO DELLA FAMIGLIA;14;;
ANACAPRI;TASSI ALESSANDRA;PARTITO COMUNISTA;5;;
ANACAPRI;LIGUORO RAFFAELLA;PARTITO VALORE UMANO;2;;
ANACAPRI;PEZZA LUCA GABRIELE MARIO;PER UNA SINISTRA RIVOLUZIONARIA;2;;
ANACAPRI;FARO CIRO;PARTITO REPUBBLICANO ITALIANO - ALA;2;;
BOSCOREALE;LA MURA VIRGINIA;MOVIMENTO 5 STELLE;5877;;
BOSCOREALE;RIVELLINI CRESCENZIO;FORZA ITALIA;2894;;
BOSCOREALE;;FRATELLI D'ITALIA CON GIORGIA MELONI;458;;
BOSCOREALE;;LEGA;309;;
BOSCOREALE;;NOI CON L'ITALIA - UDC;253;;
BOSCOREALE;MANNIELLO FRANCESCO;PARTITO DEMOCRATICO;1575;;
BOSCOREALE;;+EUROPA;45;;
BOSCOREALE;;CIVICA POPOLARE LORENZIN;22;;
BOSCOREALE;;ITALIA EUROPA INSIEME;11;;
BOSCOREALE;CIRILLO VINCENZO;LIBERI E UGUALI;139;;
BOSCOREALE;FARDELLI DIANA RITA;POTERE AL POPOLO!;90;;
BOSCOREALE;ERRICO JESSICA;IL POPOLO DELLA FAMIGLIA;48;;
BOSCOREALE;ESPOSITO ALESSANDRO;CASAPOUND ITALIA;36;;
BOSCOREALE;TASSI ALESSANDRA;PARTITO COMUNISTA;31;;
BOSCOREALE;ANDRETTI CIRO;ITALIA AGLI ITALIANI;26;;
