

Ente;Candidato;Liste/Gruppi;Voti lista;;
AMALFI;CIOFFI ANDREA;MOVIMENTO 5 STELLE;832;;
AMALFI;MARRAZZO PASQUALE;FORZA ITALIA;490;;
AMALFI;;LEGA;152;;
AMALFI;;FRATELLI D'ITALIA CON GIORGIA MELONI;107;;
AMALFI;;NOI CON L'ITALIA - UDC;32;;
AMALFI;IANNUZZI BARBATO;PARTITO DEMOCRATICO;568;;
AMALFI;;+EUROPA;44;;
AMALFI;;CIVICA POPOLARE LORENZIN;12;;
AMALFI;;ITALIA EUROPA INSIEME;5;;
AMALFI;RESTAINO VALENTINA;POTERE AL POPOLO!;41;;
AMALFI;LAMBIASE GIOVANNI;LIBERI E UGUALI;34;;
AMALFI;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;17;;
AMALFI;PANICCI STEFANO;PARTITO COMUNISTA;12;;
AMALFI;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;11;;
AMALFI;GERARDI GIOVANNA;CASAPOUND ITALIA;11;;
AMALFI;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;5;;
AMALFI;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;2;;
AMALFI;MORINELLI ROSALBA;PARTITO VALORE UMANO;0;;
ANGRI;CIOFFI ANDREA;MOVIMENTO 5 STELLE;7172;;
ANGRI;MARRAZZO PASQUALE;FORZA ITALIA;3464;;
ANGRI;;LEGA;933;;
ANGRI;;FRATELLI D'ITALIA CON GIORGIA MELONI;749;;
ANGRI;;NOI CON L'ITALIA - UDC;305;;
ANGRI;IANNUZZI BARBATO;PARTITO DEMOCRATICO;1693;;
ANGRI;;ITALIA EUROPA INSIEME;162;;
ANGRI;;+EUROPA;115;;
ANGRI;;CIVICA POPOLARE LORENZIN;113;;
ANGRI;LAMBIASE GIOVANNI;LIBERI E UGUALI;330;;
ANGRI;RESTAINO VALENTINA;POTERE AL POPOLO!;152;;
ANGRI;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;105;;
ANGRI;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;81;;
ANGRI;GERARDI GIOVANNA;CASAPOUND ITALIA;77;;
ANGRI;PANICCI STEFANO;PARTITO COMUNISTA;43;;
ANGRI;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;14;;
ANGRI;MORINELLI ROSALBA;PARTITO VALORE UMANO;11;;
ANGRI;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;6;;
ATRANI;MARRAZZO PASQUALE;FORZA ITALIA;77;;
ATRANI;;LEGA;45;;
ATRANI;;FRATELLI D'ITALIA CON GIORGIA MELONI;20;;
ATRANI;;NOI CON L'ITALIA - UDC;7;;
ATRANI;CIOFFI ANDREA;MOVIMENTO 5 STELLE;147;;
ATRANI;IANNUZZI BARBATO;PARTITO DEMOCRATICO;94;;
ATRANI;;+EUROPA;5;;
ATRANI;;CIVICA POPOLARE LORENZIN;1;;
ATRANI;;ITALIA EUROPA INSIEME;0;;
ATRANI;LAMBIASE GIOVANNI;LIBERI E UGUALI;25;;
ATRANI;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;3;;
ATRANI;RESTAINO VALENTINA;POTERE AL POPOLO!;1;;
ATRANI;PANICCI STEFANO;PARTITO COMUNISTA;2;;
ATRANI;GERARDI GIOVANNA;CASAPOUND ITALIA;1;;
ATRANI;MORINELLI ROSALBA;PARTITO VALORE UMANO;1;;
ATRANI;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;0;;
ATRANI;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;0;;
ATRANI;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
BARONISSI;CIOFFI ANDREA;MOVIMENTO 5 STELLE;3866;;
BARONISSI;MARRAZZO PASQUALE;FORZA ITALIA;1258;;
BARONISSI;;FRATELLI D'ITALIA CON GIORGIA MELONI;462;;
BARONISSI;;LEGA;436;;
BARONISSI;;NOI CON L'ITALIA - UDC;126;;
BARONISSI;IANNUZZI BARBATO;PARTITO DEMOCRATICO;1614;;
BARONISSI;;+EUROPA;106;;
BARONISSI;;ITALIA EUROPA INSIEME;66;;
BARONISSI;;CIVICA POPOLARE LORENZIN;16;;
BARONISSI;LAMBIASE GIOVANNI;LIBERI E UGUALI;265;;
BARONISSI;RESTAINO VALENTINA;POTERE AL POPOLO!;126;;
BARONISSI;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;62;;
BARONISSI;GERARDI GIOVANNA;CASAPOUND ITALIA;53;;
BARONISSI;PANICCI STEFANO;PARTITO COMUNISTA;30;;
BARONISSI;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;31;;
BARONISSI;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;12;;
BARONISSI;MORINELLI ROSALBA;PARTITO VALORE UMANO;7;;
BARONISSI;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;8;;
BRACIGLIANO;CIOFFI ANDREA;MOVIMENTO 5 STELLE;976;;
BRACIGLIANO;MARRAZZO PASQUALE;FORZA ITALIA;562;;
BRACIGLIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;101;;
BRACIGLIANO;;LEGA;98;;
BRACIGLIANO;;NOI CON L'ITALIA - UDC;37;;
BRACIGLIANO;IANNUZZI BARBATO;PARTITO DEMOCRATICO;684;;
BRACIGLIANO;;ITALIA EUROPA INSIEME;15;;
BRACIGLIANO;;+EUROPA;11;;
BRACIGLIANO;;CIVICA POPOLARE LORENZIN;1;;
BRACIGLIANO;LAMBIASE GIOVANNI;LIBERI E UGUALI;102;;
BRACIGLIANO;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;35;;
BRACIGLIANO;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;21;;
BRACIGLIANO;RESTAINO VALENTINA;POTERE AL POPOLO!;13;;
BRACIGLIANO;GERARDI GIOVANNA;CASAPOUND ITALIA;7;;
BRACIGLIANO;PANICCI STEFANO;PARTITO COMUNISTA;7;;
BRACIGLIANO;MORINELLI ROSALBA;PARTITO VALORE UMANO;2;;
BRACIGLIANO;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;1;;
BRACIGLIANO;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;1;;
CASTEL SAN GIORGIO;CIOFFI ANDREA;MOVIMENTO 5 STELLE;3084;;
CASTEL SAN GIORGIO;MARRAZZO PASQUALE;FORZA ITALIA;1418;;
CASTEL SAN GIORGIO;;FRATELLI D'ITALIA CON GIORGIA MELONI;470;;
CASTEL SAN GIORGIO;;LEGA;328;;
CASTEL SAN GIORGIO;;NOI CON L'ITALIA - UDC;85;;
CASTEL SAN GIORGIO;IANNUZZI BARBATO;PARTITO DEMOCRATICO;1101;;
CASTEL SAN GIORGIO;;+EUROPA;74;;
CASTEL SAN GIORGIO;;CIVICA POPOLARE LORENZIN;73;;
CASTEL SAN GIORGIO;;ITALIA EUROPA INSIEME;14;;
CASTEL SAN GIORGIO;LAMBIASE GIOVANNI;LIBERI E UGUALI;277;;
CASTEL SAN GIORGIO;RESTAINO VALENTINA;POTERE AL POPOLO!;66;;
CASTEL SAN GIORGIO;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;46;;
CASTEL SAN GIORGIO;GERARDI GIOVANNA;CASAPOUND ITALIA;36;;
CASTEL SAN GIORGIO;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;36;;
CASTEL SAN GIORGIO;PANICCI STEFANO;PARTITO COMUNISTA;27;;
CASTEL SAN GIORGIO;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;13;;
CASTEL SAN GIORGIO;MORINELLI ROSALBA;PARTITO VALORE UMANO;7;;
CASTEL SAN GIORGIO;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;6;;
CAVA DE' TIRRENI;CIOFFI ANDREA;MOVIMENTO 5 STELLE;11543;;
CAVA DE' TIRRENI;MARRAZZO PASQUALE;FORZA ITALIA;5325;;
CAVA DE' TIRRENI;;FRATELLI D'ITALIA CON GIORGIA MELONI;1484;;
CAVA DE' TIRRENI;;LEGA;1202;;
CAVA DE' TIRRENI;;NOI CON L'ITALIA - UDC;464;;
CAVA DE' TIRRENI;IANNUZZI BARBATO;PARTITO DEMOCRATICO;3604;;
CAVA DE' TIRRENI;;+EUROPA;332;;
CAVA DE' TIRRENI;;ITALIA EUROPA INSIEME;184;;
CAVA DE' TIRRENI;;CIVICA POPOLARE LORENZIN;89;;
CAVA DE' TIRRENI;LAMBIASE GIOVANNI;LIBERI E UGUALI;634;;
CAVA DE' TIRRENI;RESTAINO VALENTINA;POTERE AL POPOLO!;485;;
CAVA DE' TIRRENI;GERARDI GIOVANNA;CASAPOUND ITALIA;244;;
CAVA DE' TIRRENI;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;212;;
CAVA DE' TIRRENI;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;152;;
CAVA DE' TIRRENI;PANICCI STEFANO;PARTITO COMUNISTA;137;;
CAVA DE' TIRRENI;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;21;;
CAVA DE' TIRRENI;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;22;;
CAVA DE' TIRRENI;MORINELLI ROSALBA;PARTITO VALORE UMANO;15;;
CETARA;IANNUZZI BARBATO;PARTITO DEMOCRATICO;339;;
CETARA;;ITALIA EUROPA INSIEME;11;;
CETARA;;+EUROPA;11;;
CETARA;;CIVICA POPOLARE LORENZIN;4;;
CETARA;CIOFFI ANDREA;MOVIMENTO 5 STELLE;290;;
CETARA;MARRAZZO PASQUALE;FORZA ITALIA;166;;
CETARA;;FRATELLI D'ITALIA CON GIORGIA MELONI;65;;
CETARA;;LEGA;33;;
CETARA;;NOI CON L'ITALIA - UDC;25;;
CETARA;LAMBIASE GIOVANNI;LIBERI E UGUALI;20;;
CETARA;GAMBARDELLA ALFONSO;IL POPOLO DELLA FAMIGLIA;9;;
CETARA;NACCHIA ANNA MARIA;ITALIA AGLI ITALIANI;9;;
CETARA;GERARDI GIOVANNA;CASAPOUND ITALIA;6;;
CETARA;RESTAINO VALENTINA;POTERE AL POPOLO!;5;;
CETARA;PANICCI STEFANO;PARTITO COMUNISTA;3;;
CETARA;MORINELLI ROSALBA;PARTITO VALORE UMANO;1;;
CETARA;TORRE VALERIO;PER UNA SINISTRA RIVOLUZIONARIA;1;;
CETARA;FALANGA CAROLINA;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
CONCA DEI MARINI;CIOFFI ANDREA;MOVIMENTO 5 STELLE;122;;
CONCA DEI MARINI;MARRAZZO PASQUALE;FORZA ITALIA;71;;
CONCA DEI MARINI;;LEGA;21;;
CONCA DEI MARINI;;FRATELLI D'ITALIA CON GIORGIA MELONI;12;;
CONCA DEI MARINI;;NOI CON L'ITALIA - UDC;12;;
CONCA DEI MARINI;IANNUZZI BARBATO;PARTITO DEMOCRATICO;66;;
CONCA DEI MARINI;;CIVICA POPOLARE LORENZIN;15;;
CONCA DEI MARINI;;+EUROPA;6;;
CONCA DEI MARINI;;ITALIA EUROPA INSIEME;0;;
