

Ente;Candidato;Liste/Gruppi;Voti lista;;
ACERNO;CASTIELLO FRANCESCO;MOVIMENTO 5 STELLE;582;;
ACERNO;SPINELLI COSTABILE;FORZA ITALIA;236;;
ACERNO;;LEGA;112;;
ACERNO;;FRATELLI D'ITALIA CON GIORGIA MELONI;79;;
ACERNO;;NOI CON L'ITALIA - UDC;14;;
ACERNO;GALLO FILOMENA;PARTITO DEMOCRATICO;163;;
ACERNO;;ITALIA EUROPA INSIEME;35;;
ACERNO;;+EUROPA;7;;
ACERNO;;CIVICA POPOLARE LORENZIN;3;;
ACERNO;BOFFA MARIA ANTONIETTA;LIBERI E UGUALI;22;;
ACERNO;MANDARINO ERMANNO;ITALIA AGLI ITALIANI;7;;
ACERNO;LORENZI RICCARDO;PARTITO COMUNISTA;6;;
ACERNO;CARAFFA CLAUDIO;POTERE AL POPOLO!;6;;
ACERNO;LUONGO SALVATORE;CASAPOUND ITALIA;5;;
ACERNO;CERSOSIMO RICCARDO MARIA ANTONIO BIAGIO;IL POPOLO DELLA FAMIGLIA;2;;
ACERNO;MAIESE FRANCESCO;PARTITO VALORE UMANO;2;;
ACERNO;ANCESCHI SABRINA;PER UNA SINISTRA RIVOLUZIONARIA;0;;
ACERNO;PLAITANO FRANCESCO;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
AGROPOLI;SPINELLI COSTABILE;FORZA ITALIA;2191;;
AGROPOLI;;LEGA;1093;;
AGROPOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;383;;
AGROPOLI;;NOI CON L'ITALIA - UDC;64;;
AGROPOLI;CASTIELLO FRANCESCO;MOVIMENTO 5 STELLE;3289;;
AGROPOLI;GALLO FILOMENA;PARTITO DEMOCRATICO;1917;;
AGROPOLI;;+EUROPA;137;;
AGROPOLI;;ITALIA EUROPA INSIEME;31;;
AGROPOLI;;CIVICA POPOLARE LORENZIN;26;;
AGROPOLI;BOFFA MARIA ANTONIETTA;LIBERI E UGUALI;189;;
AGROPOLI;CARAFFA CLAUDIO;POTERE AL POPOLO!;111;;
AGROPOLI;MANDARINO ERMANNO;ITALIA AGLI ITALIANI;57;;
AGROPOLI;CERSOSIMO RICCARDO MARIA ANTONIO BIAGIO;IL POPOLO DELLA FAMIGLIA;44;;
AGROPOLI;LUONGO SALVATORE;CASAPOUND ITALIA;38;;
AGROPOLI;LORENZI RICCARDO;PARTITO COMUNISTA;29;;
AGROPOLI;MAIESE FRANCESCO;PARTITO VALORE UMANO;22;;
AGROPOLI;PLAITANO FRANCESCO;PARTITO REPUBBLICANO ITALIANO - ALA;21;;
AGROPOLI;ANCESCHI SABRINA;PER UNA SINISTRA RIVOLUZIONARIA;7;;
ALBANELLA;CASTIELLO FRANCESCO;MOVIMENTO 5 STELLE;1244;;
ALBANELLA;SPINELLI COSTABILE;FORZA ITALIA;676;;
ALBANELLA;;LEGA;292;;
ALBANELLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;102;;
ALBANELLA;;NOI CON L'ITALIA - UDC;68;;
ALBANELLA;GALLO FILOMENA;PARTITO DEMOCRATICO;352;;
ALBANELLA;;ITALIA EUROPA INSIEME;92;;
ALBANELLA;;+EUROPA;22;;
ALBANELLA;;CIVICA POPOLARE LORENZIN;6;;
