

Ente;Candidato;Liste/Gruppi;Voti lista;;
ACERRA;DI MAIO LUIGI;MOVIMENTO 5 STELLE;16823;;
ACERRA;SGARBI VITTORIO;FORZA ITALIA;4237;;
ACERRA;;LEGA;651;;
ACERRA;;FRATELLI D'ITALIA CON GIORGIA MELONI;487;;
ACERRA;;NOI CON L'ITALIA - UDC;59;;
ACERRA;FALCONE ANTONIO;PARTITO DEMOCRATICO;2361;;
ACERRA;;+EUROPA;139;;
ACERRA;;CIVICA POPOLARE LORENZIN;35;;
ACERRA;;ITALIA EUROPA INSIEME;29;;
ACERRA;IASEVOLI VINCENZA;LIBERI E UGUALI;533;;
ACERRA;LA MARCA GIACOMO;POTERE AL POPOLO!;332;;
ACERRA;ESPOSITO GABRIELE;CASAPOUND ITALIA;117;;
ACERRA;LOFFREDO DOMENICO;PER UNA SINISTRA RIVOLUZIONARIA;79;;
ACERRA;MAROTTA GABRIELLA;IL POPOLO DELLA FAMIGLIA;73;;
ACERRA;ACUNZO GIOVANNI;ITALIA AGLI ITALIANI;50;;
BRUSCIANO;DI MAIO LUIGI;MOVIMENTO 5 STELLE;5834;;
BRUSCIANO;SGARBI VITTORIO;FORZA ITALIA;1541;;
BRUSCIANO;;LEGA;173;;
BRUSCIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;139;;
BRUSCIANO;;NOI CON L'ITALIA - UDC;53;;
BRUSCIANO;FALCONE ANTONIO;PARTITO DEMOCRATICO;769;;
BRUSCIANO;;+EUROPA;42;;
BRUSCIANO;;CIVICA POPOLARE LORENZIN;10;;
BRUSCIANO;;ITALIA EUROPA INSIEME;7;;
BRUSCIANO;IASEVOLI VINCENZA;LIBERI E UGUALI;129;;
BRUSCIANO;LA MARCA GIACOMO;POTERE AL POPOLO!;93;;
BRUSCIANO;ESPOSITO GABRIELE;CASAPOUND ITALIA;46;;
BRUSCIANO;MAROTTA GABRIELLA;IL POPOLO DELLA FAMIGLIA;22;;
BRUSCIANO;ACUNZO GIOVANNI;ITALIA AGLI ITALIANI;23;;
BRUSCIANO;LOFFREDO DOMENICO;PER UNA SINISTRA RIVOLUZIONARIA;6;;
CAIVANO;DI MAIO LUIGI;MOVIMENTO 5 STELLE;10980;;
CAIVANO;SGARBI VITTORIO;FORZA ITALIA;3800;;
CAIVANO;;LEGA;523;;
CAIVANO;;NOI CON L'ITALIA - UDC;198;;
CAIVANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;189;;
CAIVANO;FALCONE ANTONIO;PARTITO DEMOCRATICO;1418;;
CAIVANO;;+EUROPA;90;;
CAIVANO;;ITALIA EUROPA INSIEME;69;;
CAIVANO;;CIVICA POPOLARE LORENZIN;26;;
CAIVANO;IASEVOLI VINCENZA;LIBERI E UGUALI;303;;
CAIVANO;LA MARCA GIACOMO;POTERE AL POPOLO!;146;;
CAIVANO;MAROTTA GABRIELLA;IL POPOLO DELLA FAMIGLIA;49;;
CAIVANO;ACUNZO GIOVANNI;ITALIA AGLI ITALIANI;44;;
CAIVANO;ESPOSITO GABRIELE;CASAPOUND ITALIA;31;;
CAIVANO;LOFFREDO DOMENICO;PER UNA SINISTRA RIVOLUZIONARIA;28;;
CASALNUOVO DI NAPOLI;DI MAIO LUIGI;MOVIMENTO 5 STELLE;17561;;
CASALNUOVO DI NAPOLI;SGARBI VITTORIO;FORZA ITALIA;3489;;
CASALNUOVO DI NAPOLI;;LEGA;587;;
CASALNUOVO DI NAPOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;587;;
CASALNUOVO DI NAPOLI;;NOI CON L'ITALIA - UDC;207;;
