

Ente;Candidato;Liste/Gruppi;Voti lista;;
AFRAGOLA;SPADAFORA VINCENZO;MOVIMENTO 5 STELLE;15921;;
AFRAGOLA;SCANCARIELLO LUCA;FORZA ITALIA;5346;;
AFRAGOLA;;LEGA;1408;;
AFRAGOLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;767;;
AFRAGOLA;;NOI CON L'ITALIA - UDC;531;;
AFRAGOLA;MARRAZZO NICOLA;PARTITO DEMOCRATICO;2271;;
AFRAGOLA;;+EUROPA;200;;
AFRAGOLA;;ITALIA EUROPA INSIEME;53;;
AFRAGOLA;;CIVICA POPOLARE LORENZIN;50;;
AFRAGOLA;CAPASSO ELPIDIO;LIBERI E UGUALI;375;;
AFRAGOLA;CERBONE ORIANA;POTERE AL POPOLO!;282;;
AFRAGOLA;VACCARO ERICA;CASAPOUND ITALIA;174;;
AFRAGOLA;LOBELLO ALESSANDRO;IL POPOLO DELLA FAMIGLIA;114;;
AFRAGOLA;SINISCALCHI MARIA;ITALIA AGLI ITALIANI;78;;
AFRAGOLA;LIMATOLA GIOVANNI;PER UNA SINISTRA RIVOLUZIONARIA;28;;
ARZANO;SPADAFORA VINCENZO;MOVIMENTO 5 STELLE;10632;;
ARZANO;SCANCARIELLO LUCA;FORZA ITALIA;2403;;
ARZANO;;LEGA;459;;
ARZANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;208;;
ARZANO;;NOI CON L'ITALIA - UDC;207;;
ARZANO;MARRAZZO NICOLA;PARTITO DEMOCRATICO;1393;;
ARZANO;;+EUROPA;85;;
ARZANO;;ITALIA EUROPA INSIEME;65;;
ARZANO;;CIVICA POPOLARE LORENZIN;36;;
ARZANO;CAPASSO ELPIDIO;LIBERI E UGUALI;764;;
ARZANO;CERBONE ORIANA;POTERE AL POPOLO!;210;;
ARZANO;LOBELLO ALESSANDRO;IL POPOLO DELLA FAMIGLIA;66;;
ARZANO;SINISCALCHI MARIA;ITALIA AGLI ITALIANI;45;;
ARZANO;VACCARO ERICA;CASAPOUND ITALIA;27;;
ARZANO;LIMATOLA GIOVANNI;PER UNA SINISTRA RIVOLUZIONARIA;14;;
CARDITO;SPADAFORA VINCENZO;MOVIMENTO 5 STELLE;6595;;
CARDITO;SCANCARIELLO LUCA;FORZA ITALIA;1905;;
CARDITO;;LEGA;333;;
CARDITO;;NOI CON L'ITALIA - UDC;304;;
CARDITO;;FRATELLI D'ITALIA CON GIORGIA MELONI;271;;
CARDITO;MARRAZZO NICOLA;PARTITO DEMOCRATICO;1116;;
CARDITO;;ITALIA EUROPA INSIEME;312;;
CARDITO;;+EUROPA;58;;
CARDITO;;CIVICA POPOLARE LORENZIN;22;;
CARDITO;CAPASSO ELPIDIO;LIBERI E UGUALI;420;;
CARDITO;CERBONE ORIANA;POTERE AL POPOLO!;109;;
CARDITO;LOBELLO ALESSANDRO;IL POPOLO DELLA FAMIGLIA;35;;
CARDITO;SINISCALCHI MARIA;ITALIA AGLI ITALIANI;32;;
