

Ente;Candidato;Liste/Gruppi;Voti lista;;
BACOLI;CASO ANDREA;MOVIMENTO 5 STELLE;5557;;
BACOLI;NAPPI SEVERINO;FORZA ITALIA;2740;;
BACOLI;;LEGA;481;;
BACOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;362;;
BACOLI;;NOI CON L'ITALIA - UDC;104;;
BACOLI;DELLA RAGIONE JOSI GERARDO;LIBERI E UGUALI;1667;;
BACOLI;TUMIATTI MARIA CARMINE;PARTITO DEMOCRATICO;1571;;
BACOLI;;+EUROPA;131;;
BACOLI;;ITALIA EUROPA INSIEME;32;;
BACOLI;;CIVICA POPOLARE LORENZIN;29;;
BACOLI;NASTI ANIELLO;POTERE AL POPOLO!;242;;
BACOLI;FARESE GIOVANGIUSEPPE;CASAPOUND ITALIA;74;;
BACOLI;FAUCI LILIANA;ITALIA AGLI ITALIANI;49;;
BACOLI;DE CRESCENZO ANTIMO;IL POPOLO DELLA FAMIGLIA;34;;
BACOLI;STARVAGGI MARA;PER UNA SINISTRA RIVOLUZIONARIA;24;;
BARANO D'ISCHIA;CASO ANDREA;MOVIMENTO 5 STELLE;1994;;
BARANO D'ISCHIA;NAPPI SEVERINO;FORZA ITALIA;1506;;
BARANO D'ISCHIA;;LEGA;251;;
BARANO D'ISCHIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;119;;
BARANO D'ISCHIA;;NOI CON L'ITALIA - UDC;34;;
BARANO D'ISCHIA;TUMIATTI MARIA CARMINE;PARTITO DEMOCRATICO;506;;
BARANO D'ISCHIA;;+EUROPA;67;;
BARANO D'ISCHIA;;CIVICA POPOLARE LORENZIN;42;;
BARANO D'ISCHIA;;ITALIA EUROPA INSIEME;27;;
BARANO D'ISCHIA;DELLA RAGIONE JOSI GERARDO;LIBERI E UGUALI;93;;
BARANO D'ISCHIA;DE CRESCENZO ANTIMO;IL POPOLO DELLA FAMIGLIA;97;;
BARANO D'ISCHIA;NASTI ANIELLO;POTERE AL POPOLO!;60;;
BARANO D'ISCHIA;FARESE GIOVANGIUSEPPE;CASAPOUND ITALIA;42;;
BARANO D'ISCHIA;FAUCI LILIANA;ITALIA AGLI ITALIANI;19;;
BARANO D'ISCHIA;STARVAGGI MARA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
CASAMICCIOLA TERME;CASO ANDREA;MOVIMENTO 5 STELLE;1613;;
CASAMICCIOLA TERME;NAPPI SEVERINO;FORZA ITALIA;1112;;
CASAMICCIOLA TERME;;LEGA;137;;
CASAMICCIOLA TERME;;FRATELLI D'ITALIA CON GIORGIA MELONI;94;;
CASAMICCIOLA TERME;;NOI CON L'ITALIA - UDC;44;;
CASAMICCIOLA TERME;TUMIATTI MARIA CARMINE;PARTITO DEMOCRATICO;380;;
CASAMICCIOLA TERME;;CIVICA POPOLARE LORENZIN;111;;
CASAMICCIOLA TERME;;+EUROPA;38;;
CASAMICCIOLA TERME;;ITALIA EUROPA INSIEME;26;;
CASAMICCIOLA TERME;DE CRESCENZO ANTIMO;IL POPOLO DELLA FAMIGLIA;132;;
CASAMICCIOLA TERME;DELLA RAGIONE JOSI GERARDO;LIBERI E UGUALI;73;;
CASAMICCIOLA TERME;FARESE GIOVANGIUSEPPE;CASAPOUND ITALIA;47;;
CASAMICCIOLA TERME;NASTI ANIELLO;POTERE AL POPOLO!;34;;
CASAMICCIOLA TERME;FAUCI LILIANA;ITALIA AGLI ITALIANI;7;;
CASAMICCIOLA TERME;STARVAGGI MARA;PER UNA SINISTRA RIVOLUZIONARIA;4;;
FORIO;CASO ANDREA;MOVIMENTO 5 STELLE;3507;;
FORIO;NAPPI SEVERINO;FORZA ITALIA;2105;;
FORIO;;LEGA;375;;
FORIO;;FRATELLI D'ITALIA CON GIORGIA MELONI;258;;
FORIO;;NOI CON L'ITALIA - UDC;198;;
FORIO;TUMIATTI MARIA CARMINE;PARTITO DEMOCRATICO;741;;
FORIO;;+EUROPA;90;;
FORIO;;CIVICA POPOLARE LORENZIN;64;;
FORIO;;ITALIA EUROPA INSIEME;48;;
FORIO;DE CRESCENZO ANTIMO;IL POPOLO DELLA FAMIGLIA;286;;
FORIO;DELLA RAGIONE JOSI GERARDO;LIBERI E UGUALI;125;;
FORIO;FARESE GIOVANGIUSEPPE;CASAPOUND ITALIA;70;;
FORIO;NASTI ANIELLO;POTERE AL POPOLO!;58;;
FORIO;FAUCI LILIANA;ITALIA AGLI ITALIANI;31;;
FORIO;STARVAGGI MARA;PER UNA SINISTRA RIVOLUZIONARIA;11;;
ISCHIA;CASO ANDREA;MOVIMENTO 5 STELLE;3815;;
ISCHIA;NAPPI SEVERINO;FORZA ITALIA;2603;;
ISCHIA;;LEGA;545;;
ISCHIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;378;;
ISCHIA;;NOI CON L'ITALIA - UDC;254;;
ISCHIA;TUMIATTI MARIA CARMINE;PARTITO DEMOCRATICO;1183;;
ISCHIA;;+EUROPA;171;;
ISCHIA;;CIVICA POPOLARE LORENZIN;81;;
ISCHIA;;ITALIA EUROPA INSIEME;22;;
ISCHIA;DE CRESCENZO ANTIMO;IL POPOLO DELLA FAMIGLIA;319;;
ISCHIA;DELLA RAGIONE JOSI GERARDO;LIBERI E UGUALI;202;;
ISCHIA;FARESE GIOVANGIUSEPPE;CASAPOUND ITALIA;130;;
ISCHIA;NASTI ANIELLO;POTERE AL POPOLO!;124;;
ISCHIA;FAUCI LILIANA;ITALIA AGLI ITALIANI;24;;
ISCHIA;STARVAGGI MARA;PER UNA SINISTRA RIVOLUZIONARIA;11;;
LACCO AMENO;CASO ANDREA;MOVIMENTO 5 STELLE;1025;;
LACCO AMENO;NAPPI SEVERINO;FORZA ITALIA;788;;
LACCO AMENO;;LEGA;91;;
LACCO AMENO;;FRATELLI D'ITALIA CON GIORGIA MELONI;29;;
LACCO AMENO;;NOI CON L'ITALIA - UDC;16;;
LACCO AMENO;TUMIATTI MARIA CARMINE;PARTITO DEMOCRATICO;153;;
LACCO AMENO;;CIVICA POPOLARE LORENZIN;25;;
LACCO AMENO;;+EUROPA;22;;
LACCO AMENO;;ITALIA EUROPA INSIEME;5;;
LACCO AMENO;DE CRESCENZO ANTIMO;IL POPOLO DELLA FAMIGLIA;74;;
LACCO AMENO;DELLA RAGIONE JOSI GERARDO;LIBERI E UGUALI;50;;
LACCO AMENO;FARESE GIOVANGIUSEPPE;CASAPOUND ITALIA;23;;
LACCO AMENO;STARVAGGI MARA;PER UNA SINISTRA RIVOLUZIONARIA;15;;
LACCO AMENO;NASTI ANIELLO;POTERE AL POPOLO!;12;;
LACCO AMENO;FAUCI LILIANA;ITALIA AGLI ITALIANI;8;;
MARANO DI NAPOLI;CASO ANDREA;MOVIMENTO 5 STELLE;16306;;
MARANO DI NAPOLI;NAPPI SEVERINO;FORZA ITALIA;5139;;
MARANO DI NAPOLI;;LEGA;1065;;
MARANO DI NAPOLI;;NOI CON L'ITALIA - UDC;815;;
MARANO DI NAPOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;758;;
MARANO DI NAPOLI;TUMIATTI MARIA CARMINE;PARTITO DEMOCRATICO;2363;;
MARANO DI NAPOLI;;+EUROPA;225;;
MARANO DI NAPOLI;;CIVICA POPOLARE LORENZIN;126;;
MARANO DI NAPOLI;;ITALIA EUROPA INSIEME;48;;
MARANO DI NAPOLI;DELLA RAGIONE JOSI GERARDO;LIBERI E UGUALI;767;;
MARANO DI NAPOLI;NASTI ANIELLO;POTERE AL POPOLO!;554;;
MARANO DI NAPOLI;DE CRESCENZO ANTIMO;IL POPOLO DELLA FAMIGLIA;146;;
MARANO DI NAPOLI;FARESE GIOVANGIUSEPPE;CASAPOUND ITALIA;108;;
MARANO DI NAPOLI;FAUCI LILIANA;ITALIA AGLI ITALIANI;66;;
MARANO DI NAPOLI;STARVAGGI MARA;PER UNA SINISTRA RIVOLUZIONARIA;43;;
MONTE DI PROCIDA;CASO ANDREA;MOVIMENTO 5 STELLE;2761;;
MONTE DI PROCIDA;NAPPI SEVERINO;FORZA ITALIA;1311;;
MONTE DI PROCIDA;;LEGA;238;;
MONTE DI PROCIDA;;FRATELLI D'ITALIA CON GIORGIA MELONI;174;;
MONTE DI PROCIDA;;NOI CON L'ITALIA - UDC;49;;
MONTE DI PROCIDA;TUMIATTI MARIA CARMINE;PARTITO DEMOCRATICO;702;;
MONTE DI PROCIDA;;+EUROPA;78;;
MONTE DI PROCIDA;;ITALIA EUROPA INSIEME;13;;
MONTE DI PROCIDA;;CIVICA POPOLARE LORENZIN;9;;
MONTE DI PROCIDA;DELLA RAGIONE JOSI GERARDO;LIBERI E UGUALI;373;;
MONTE DI PROCIDA;NASTI ANIELLO;POTERE AL POPOLO!;107;;
MONTE DI PROCIDA;FARESE GIOVANGIUSEPPE;CASAPOUND ITALIA;29;;
MONTE DI PROCIDA;DE CRESCENZO ANTIMO;IL POPOLO DELLA FAMIGLIA;19;;
MONTE DI PROCIDA;FAUCI LILIANA;ITALIA AGLI ITALIANI;19;;
MONTE DI PROCIDA;STARVAGGI MARA;PER UNA SINISTRA RIVOLUZIONARIA;8;;
POZZUOLI;CASO ANDREA;MOVIMENTO 5 STELLE;21423;;
POZZUOLI;NAPPI SEVERINO;FORZA ITALIA;6706;;
POZZUOLI;;LEGA;983;;
POZZUOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;908;;
POZZUOLI;;NOI CON L'ITALIA - UDC;366;;
POZZUOLI;TUMIATTI MARIA CARMINE;PARTITO DEMOCRATICO;4794;;
POZZUOLI;;+EUROPA;479;;
POZZUOLI;;CIVICA POPOLARE LORENZIN;81;;
POZZUOLI;;ITALIA EUROPA INSIEME;78;;
POZZUOLI;DELLA RAGIONE JOSI GERARDO;LIBERI E UGUALI;1760;;
POZZUOLI;NASTI ANIELLO;POTERE AL POPOLO!;824;;
POZZUOLI;FARESE GIOVANGIUSEPPE;CASAPOUND ITALIA;155;;
POZZUOLI;DE CRESCENZO ANTIMO;IL POPOLO DELLA FAMIGLIA;113;;
POZZUOLI;FAUCI LILIANA;ITALIA AGLI ITALIANI;88;;
POZZUOLI;STARVAGGI MARA;PER UNA SINISTRA RIVOLUZIONARIA;65;;
PROCIDA;NAPPI SEVERINO;FORZA ITALIA;1695;;
PROCIDA;;LEGA;163;;
PROCIDA;;FRATELLI D'ITALIA CON GIORGIA MELONI;111;;
PROCIDA;;NOI CON L'ITALIA - UDC;43;;
PROCIDA;CASO ANDREA;MOVIMENTO 5 STELLE;1687;;
PROCIDA;TUMIATTI MARIA CARMINE;PARTITO DEMOCRATICO;899;;
PROCIDA;;+EUROPA;131;;
PROCIDA;;ITALIA EUROPA INSIEME;26;;
PROCIDA;;CIVICA POPOLARE LORENZIN;5;;
PROCIDA;DELLA RAGIONE JOSI GERARDO;LIBERI E UGUALI;165;;
PROCIDA;NASTI ANIELLO;POTERE AL POPOLO!;82;;
PROCIDA;DE CRESCENZO ANTIMO;IL POPOLO DELLA FAMIGLIA;36;;
PROCIDA;FAUCI LILIANA;ITALIA AGLI ITALIANI;10;;
PROCIDA;FARESE GIOVANGIUSEPPE;CASAPOUND ITALIA;11;;
PROCIDA;STARVAGGI MARA;PER UNA SINISTRA RIVOLUZIONARIA;5;;
QUARTO;CASO ANDREA;MOVIMENTO 5 STELLE;10866;;
QUARTO;NAPPI SEVERINO;FORZA ITALIA;5071;;
QUARTO;;LEGA;711;;
QUARTO;;FRATELLI D'ITALIA CON GIORGIA MELONI;403;;
QUARTO;;NOI CON L'ITALIA - UDC;186;;
QUARTO;TUMIATTI MARIA CARMINE;PARTITO DEMOCRATICO;1622;;
QUARTO;;+EUROPA;153;;
QUARTO;;ITALIA EUROPA INSIEME;40;;
QUARTO;;CIVICA POPOLARE LORENZIN;39;;
QUARTO;DELLA RAGIONE JOSI GERARDO;LIBERI E UGUALI;600;;
QUARTO;NASTI ANIELLO;POTERE AL POPOLO!;404;;
