

Ente;Candidato;Liste/Gruppi;Voti lista;;
CAMPOSANO;NAPPI SILVANA;MOVIMENTO 5 STELLE;1468;;
CAMPOSANO;CESA LORENZO;FRATELLI D'ITALIA CON GIORGIA MELONI;453;;
CAMPOSANO;;FORZA ITALIA;451;;
CAMPOSANO;;LEGA;102;;
CAMPOSANO;;NOI CON L'ITALIA - UDC;80;;
CAMPOSANO;MANZI ANDREA;PARTITO DEMOCRATICO;318;;
CAMPOSANO;;+EUROPA;21;;
CAMPOSANO;;CIVICA POPOLARE LORENZIN;9;;
CAMPOSANO;;ITALIA EUROPA INSIEME;4;;
CAMPOSANO;MONTANINO NICOLA;LIBERI E UGUALI;68;;
CAMPOSANO;TURCHETTI FRANCESCO;POTERE AL POPOLO!;18;;
CAMPOSANO;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;17;;
CAMPOSANO;PETROCCO GERMANA;CASAPOUND ITALIA;11;;
CAMPOSANO;MAURO GIOVANNI;PARTITO REPUBBLICANO ITALIANO - ALA;7;;
CAMPOSANO;VELTRE STOLFI GIUSEPPE;IL POPOLO DELLA FAMIGLIA;5;;
CAMPOSANO;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;3;;
CARBONARA DI NOLA;NAPPI SILVANA;MOVIMENTO 5 STELLE;601;;
CARBONARA DI NOLA;CESA LORENZO;FORZA ITALIA;320;;
CARBONARA DI NOLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;68;;
CARBONARA DI NOLA;;LEGA;52;;
CARBONARA DI NOLA;;NOI CON L'ITALIA - UDC;28;;
CARBONARA DI NOLA;MANZI ANDREA;PARTITO DEMOCRATICO;124;;
CARBONARA DI NOLA;;+EUROPA;7;;
CARBONARA DI NOLA;;ITALIA EUROPA INSIEME;4;;
CARBONARA DI NOLA;;CIVICA POPOLARE LORENZIN;0;;
CARBONARA DI NOLA;MONTANINO NICOLA;LIBERI E UGUALI;52;;
CARBONARA DI NOLA;TURCHETTI FRANCESCO;POTERE AL POPOLO!;10;;
CARBONARA DI NOLA;DELLA ROCCA MARIA;ITALIA AGLI ITALIANI;7;;
CARBONARA DI NOLA;PETROCCO GERMANA;CASAPOUND ITALIA;2;;
CARBONARA DI NOLA;PIRO OLGA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
