

Ente;Candidato;Liste/Gruppi;Voti lista;;
CERCOLA;DI SARNO GIANFRANCO;MOVIMENTO 5 STELLE;5599;;
CERCOLA;RUSSO ELISA;FORZA ITALIA;1752;;
CERCOLA;;LEGA;217;;
CERCOLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;128;;
CERCOLA;;NOI CON L'ITALIA - UDC;35;;
CERCOLA;BORRELLI FRANCESCO EMILIO;PARTITO DEMOCRATICO;1015;;
CERCOLA;;ITALIA EUROPA INSIEME;139;;
CERCOLA;;+EUROPA;121;;
CERCOLA;;CIVICA POPOLARE LORENZIN;14;;
CERCOLA;MICERA MASSIMO;LIBERI E UGUALI;248;;
CERCOLA;MADDALONI MARIO;POTERE AL POPOLO!;180;;
CERCOLA;CIMMARUTA ILARIA;IL POPOLO DELLA FAMIGLIA;37;;
CERCOLA;ANCESCHI SERGIO;ITALIA AGLI ITALIANI;32;;
CERCOLA;GARGIULO ADELE;CASAPOUND ITALIA;30;;
CERCOLA;D'URSO STEFANIA;PER UNA SINISTRA RIVOLUZIONARIA;14;;
CERCOLA;BORRELLO ANTONIO;PARTITO REPUBBLICANO ITALIANO - ALA;9;;
MASSA DI SOMMA;DI SARNO GIANFRANCO;MOVIMENTO 5 STELLE;1574;;
MASSA DI SOMMA;RUSSO ELISA;FORZA ITALIA;727;;
MASSA DI SOMMA;;LEGA;46;;
MASSA DI SOMMA;;FRATELLI D'ITALIA CON GIORGIA MELONI;40;;
MASSA DI SOMMA;;NOI CON L'ITALIA - UDC;7;;
MASSA DI SOMMA;BORRELLI FRANCESCO EMILIO;PARTITO DEMOCRATICO;295;;
MASSA DI SOMMA;;ITALIA EUROPA INSIEME;93;;
MASSA DI SOMMA;;+EUROPA;18;;
MASSA DI SOMMA;;CIVICA POPOLARE LORENZIN;3;;
MASSA DI SOMMA;MICERA MASSIMO;LIBERI E UGUALI;56;;
MASSA DI SOMMA;MADDALONI MARIO;POTERE AL POPOLO!;31;;
MASSA DI SOMMA;CIMMARUTA ILARIA;IL POPOLO DELLA FAMIGLIA;8;;
MASSA DI SOMMA;ANCESCHI SERGIO;ITALIA AGLI ITALIANI;6;;
MASSA DI SOMMA;GARGIULO ADELE;CASAPOUND ITALIA;4;;
MASSA DI SOMMA;BORRELLO ANTONIO;PARTITO REPUBBLICANO ITALIANO - ALA;2;;
MASSA DI SOMMA;D'URSO STEFANIA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
POLLENA TROCCHIA;DI SARNO GIANFRANCO;MOVIMENTO 5 STELLE;4387;;
POLLENA TROCCHIA;RUSSO ELISA;FORZA ITALIA;1414;;
POLLENA TROCCHIA;;LEGA;184;;
POLLENA TROCCHIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;160;;
POLLENA TROCCHIA;;NOI CON L'ITALIA - UDC;72;;
POLLENA TROCCHIA;BORRELLI FRANCESCO EMILIO;PARTITO DEMOCRATICO;841;;
POLLENA TROCCHIA;;+EUROPA;64;;
POLLENA TROCCHIA;;ITALIA EUROPA INSIEME;61;;
POLLENA TROCCHIA;;CIVICA POPOLARE LORENZIN;11;;
POLLENA TROCCHIA;MICERA MASSIMO;LIBERI E UGUALI;131;;
POLLENA TROCCHIA;MADDALONI MARIO;POTERE AL POPOLO!;131;;
POLLENA TROCCHIA;GARGIULO ADELE;CASAPOUND ITALIA;60;;
POLLENA TROCCHIA;CIMMARUTA ILARIA;IL POPOLO DELLA FAMIGLIA;52;;
POLLENA TROCCHIA;ANCESCHI SERGIO;ITALIA AGLI ITALIANI;38;;
POLLENA TROCCHIA;D'URSO STEFANIA;PER UNA SINISTRA RIVOLUZIONARIA;12;;
POLLENA TROCCHIA;BORRELLO ANTONIO;PARTITO REPUBBLICANO ITALIANO - ALA;3;;
PORTICI;DI SARNO GIANFRANCO;MOVIMENTO 5 STELLE;15306;;
PORTICI;RUSSO ELISA;FORZA ITALIA;3561;;
PORTICI;;LEGA;781;;
PORTICI;;FRATELLI D'ITALIA CON GIORGIA MELONI;651;;
PORTICI;;NOI CON L'ITALIA - UDC;306;;
PORTICI;BORRELLI FRANCESCO EMILIO;PARTITO DEMOCRATICO;4258;;
PORTICI;;+EUROPA;551;;
PORTICI;;ITALIA EUROPA INSIEME;268;;
PORTICI;;CIVICA POPOLARE LORENZIN;75;;
PORTICI;MICERA MASSIMO;LIBERI E UGUALI;1362;;
PORTICI;MADDALONI MARIO;POTERE AL POPOLO!;662;;
PORTICI;CIMMARUTA ILARIA;IL POPOLO DELLA FAMIGLIA;187;;
PORTICI;GARGIULO ADELE;CASAPOUND ITALIA;123;;
PORTICI;ANCESCHI SERGIO;ITALIA AGLI ITALIANI;92;;
PORTICI;D'URSO STEFANIA;PER UNA SINISTRA RIVOLUZIONARIA;57;;
PORTICI;BORRELLO ANTONIO;PARTITO REPUBBLICANO ITALIANO - ALA;55;;
SAN GIORGIO A CREMANO;DI SARNO GIANFRANCO;MOVIMENTO 5 STELLE;13891;;
SAN GIORGIO A CREMANO;RUSSO ELISA;FORZA ITALIA;3473;;
