

Ente;Candidato;Liste/Gruppi;Voti lista;;
AGEROLA;VESSELLA PISACANE ANNALISA;FORZA ITALIA;1100;;
AGEROLA;;LEGA;170;;
AGEROLA;;NOI CON L'ITALIA - UDC;168;;
AGEROLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;154;;
AGEROLA;VITIELLO CATELLO;MOVIMENTO 5 STELLE;1409;;
AGEROLA;SOMMA SILVANA;PARTITO DEMOCRATICO;910;;
AGEROLA;;+EUROPA;37;;
AGEROLA;;CIVICA POPOLARE LORENZIN;21;;
AGEROLA;;ITALIA EUROPA INSIEME;16;;
AGEROLA;DELLA MONICA LAURA;LIBERI E UGUALI;88;;
AGEROLA;DE CARLO SARA;POTERE AL POPOLO!;46;;
AGEROLA;PRISCO MARIA;ITALIA AGLI ITALIANI;25;;
AGEROLA;GUARRACINO TOMMASO;CASAPOUND ITALIA;21;;
AGEROLA;FONTANAROSA GIOVANNI;IL POPOLO DELLA FAMIGLIA;9;;
AGEROLA;FARO ALESSIA;PARTITO REPUBBLICANO ITALIANO - ALA;2;;
AGEROLA;FIORENTINO EMANUELA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
ANACAPRI;VESSELLA PISACANE ANNALISA;FORZA ITALIA;848;;
ANACAPRI;;LEGA;204;;
ANACAPRI;;FRATELLI D'ITALIA CON GIORGIA MELONI;146;;
ANACAPRI;;NOI CON L'ITALIA - UDC;55;;
ANACAPRI;VITIELLO CATELLO;MOVIMENTO 5 STELLE;1185;;
ANACAPRI;SOMMA SILVANA;PARTITO DEMOCRATICO;451;;
ANACAPRI;;+EUROPA;72;;
ANACAPRI;;CIVICA POPOLARE LORENZIN;23;;
ANACAPRI;;ITALIA EUROPA INSIEME;10;;
ANACAPRI;DELLA MONICA LAURA;LIBERI E UGUALI;42;;
ANACAPRI;GUARRACINO TOMMASO;CASAPOUND ITALIA;25;;
ANACAPRI;DE CARLO SARA;POTERE AL POPOLO!;23;;
ANACAPRI;PRISCO MARIA;ITALIA AGLI ITALIANI;18;;
ANACAPRI;FONTANAROSA GIOVANNI;IL POPOLO DELLA FAMIGLIA;17;;
ANACAPRI;FIORENTINO EMANUELA;PER UNA SINISTRA RIVOLUZIONARIA;8;;
ANACAPRI;FARO ALESSIA;PARTITO REPUBBLICANO ITALIANO - ALA;4;;
CAPRI;VESSELLA PISACANE ANNALISA;FORZA ITALIA;810;;
CAPRI;;LEGA;251;;
CAPRI;;NOI CON L'ITALIA - UDC;140;;
CAPRI;;FRATELLI D'ITALIA CON GIORGIA MELONI;127;;
CAPRI;VITIELLO CATELLO;MOVIMENTO 5 STELLE;997;;
CAPRI;SOMMA SILVANA;PARTITO DEMOCRATICO;630;;
CAPRI;;+EUROPA;86;;
CAPRI;;CIVICA POPOLARE LORENZIN;17;;
CAPRI;;ITALIA EUROPA INSIEME;12;;
CAPRI;DELLA MONICA LAURA;LIBERI E UGUALI;88;;
CAPRI;DE CARLO SARA;POTERE AL POPOLO!;40;;
CAPRI;GUARRACINO TOMMASO;CASAPOUND ITALIA;33;;
CAPRI;FONTANAROSA GIOVANNI;IL POPOLO DELLA FAMIGLIA;16;;
CAPRI;PRISCO MARIA;ITALIA AGLI ITALIANI;13;;
CAPRI;FIORENTINO EMANUELA;PER UNA SINISTRA RIVOLUZIONARIA;4;;
CAPRI;FARO ALESSIA;PARTITO REPUBBLICANO ITALIANO - ALA;3;;
CASOLA DI NAPOLI;VITIELLO CATELLO;MOVIMENTO 5 STELLE;765;;
CASOLA DI NAPOLI;SOMMA SILVANA;CIVICA POPOLARE LORENZIN;618;;
CASOLA DI NAPOLI;;PARTITO DEMOCRATICO;75;;
CASOLA DI NAPOLI;;+EUROPA;14;;
CASOLA DI NAPOLI;;ITALIA EUROPA INSIEME;3;;
