

Ente;Candidato;Liste/Gruppi;Voti lista;;
ANDRETTA;MARAIA GENEROSO;MOVIMENTO 5 STELLE;344;;
ANDRETTA;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;193;;
ANDRETTA;;CIVICA POPOLARE LORENZIN;106;;
ANDRETTA;;ITALIA EUROPA INSIEME;13;;
ANDRETTA;;+EUROPA;9;;
ANDRETTA;GRASSO CARMELA;FORZA ITALIA;146;;
ANDRETTA;;LEGA;61;;
ANDRETTA;;FRATELLI D'ITALIA CON GIORGIA MELONI;26;;
ANDRETTA;;NOI CON L'ITALIA - UDC;10;;
ANDRETTA;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;19;;
ANDRETTA;IANNUZZELLI ELISENA;POTERE AL POPOLO!;16;;
ANDRETTA;COSENZA COSIMINA;ITALIA AGLI ITALIANI;7;;
ANDRETTA;ZOCCOLINI MARTINA;PARTITO COMUNISTA;7;;
ANDRETTA;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;6;;
ANDRETTA;GENZALE GERARDO;CASAPOUND ITALIA;5;;
ANDRETTA;DI MARIA ELENA;10 VOLTE MEGLIO;1;;
ANDRETTA;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;1;;
ANDRETTA;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;0;;
APICE;MARAIA GENEROSO;MOVIMENTO 5 STELLE;1321;;
APICE;GRASSO CARMELA;FORZA ITALIA;811;;
APICE;;LEGA;272;;
APICE;;FRATELLI D'ITALIA CON GIORGIA MELONI;78;;
APICE;;NOI CON L'ITALIA - UDC;29;;
APICE;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;373;;
APICE;;+EUROPA;21;;
APICE;;CIVICA POPOLARE LORENZIN;10;;
APICE;;ITALIA EUROPA INSIEME;6;;
APICE;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;66;;
APICE;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;26;;
APICE;IANNUZZELLI ELISENA;POTERE AL POPOLO!;25;;
APICE;COSENZA COSIMINA;ITALIA AGLI ITALIANI;24;;
APICE;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;19;;
APICE;GENZALE GERARDO;CASAPOUND ITALIA;12;;
APICE;ZOCCOLINI MARTINA;PARTITO COMUNISTA;9;;
APICE;DI MARIA ELENA;10 VOLTE MEGLIO;8;;
APICE;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;4;;
AQUILONIA;MARAIA GENEROSO;MOVIMENTO 5 STELLE;358;;
AQUILONIA;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;156;;
AQUILONIA;;CIVICA POPOLARE LORENZIN;50;;
AQUILONIA;;+EUROPA;12;;
AQUILONIA;;ITALIA EUROPA INSIEME;5;;
AQUILONIA;GRASSO CARMELA;NOI CON L'ITALIA - UDC;83;;
AQUILONIA;;FORZA ITALIA;67;;
AQUILONIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;18;;
AQUILONIA;;LEGA;17;;
AQUILONIA;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;74;;
AQUILONIA;IANNUZZELLI ELISENA;POTERE AL POPOLO!;13;;
AQUILONIA;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;12;;
AQUILONIA;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;7;;
AQUILONIA;GENZALE GERARDO;CASAPOUND ITALIA;4;;
AQUILONIA;COSENZA COSIMINA;ITALIA AGLI ITALIANI;4;;
AQUILONIA;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
AQUILONIA;ZOCCOLINI MARTINA;PARTITO COMUNISTA;2;;
AQUILONIA;DI MARIA ELENA;10 VOLTE MEGLIO;1;;
ARIANO IRPINO;MARAIA GENEROSO;MOVIMENTO 5 STELLE;5614;;
ARIANO IRPINO;GRASSO CARMELA;FORZA ITALIA;2344;;
ARIANO IRPINO;;NOI CON L'ITALIA - UDC;889;;
ARIANO IRPINO;;LEGA;802;;
ARIANO IRPINO;;FRATELLI D'ITALIA CON GIORGIA MELONI;252;;
ARIANO IRPINO;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;1423;;
ARIANO IRPINO;;CIVICA POPOLARE LORENZIN;412;;
ARIANO IRPINO;;ITALIA EUROPA INSIEME;154;;
ARIANO IRPINO;;+EUROPA;98;;
ARIANO IRPINO;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;287;;
ARIANO IRPINO;IANNUZZELLI ELISENA;POTERE AL POPOLO!;120;;
ARIANO IRPINO;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;79;;
ARIANO IRPINO;GENZALE GERARDO;CASAPOUND ITALIA;60;;
ARIANO IRPINO;COSENZA COSIMINA;ITALIA AGLI ITALIANI;43;;
ARIANO IRPINO;ZOCCOLINI MARTINA;PARTITO COMUNISTA;42;;
ARIANO IRPINO;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;10;;
ARIANO IRPINO;DI MARIA ELENA;10 VOLTE MEGLIO;10;;
ARIANO IRPINO;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;9;;
BAGNOLI IRPINO;MARAIA GENEROSO;MOVIMENTO 5 STELLE;661;;
BAGNOLI IRPINO;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;266;;
BAGNOLI IRPINO;;CIVICA POPOLARE LORENZIN;264;;
BAGNOLI IRPINO;;ITALIA EUROPA INSIEME;11;;
BAGNOLI IRPINO;;+EUROPA;10;;
BAGNOLI IRPINO;GRASSO CARMELA;FORZA ITALIA;171;;
BAGNOLI IRPINO;;LEGA;113;;
BAGNOLI IRPINO;;FRATELLI D'ITALIA CON GIORGIA MELONI;81;;
BAGNOLI IRPINO;;NOI CON L'ITALIA - UDC;14;;
BAGNOLI IRPINO;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;62;;
BAGNOLI IRPINO;IANNUZZELLI ELISENA;POTERE AL POPOLO!;47;;
BAGNOLI IRPINO;ZOCCOLINI MARTINA;PARTITO COMUNISTA;10;;
BAGNOLI IRPINO;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;5;;
BAGNOLI IRPINO;DI MARIA ELENA;10 VOLTE MEGLIO;2;;
BAGNOLI IRPINO;GENZALE GERARDO;CASAPOUND ITALIA;2;;
BAGNOLI IRPINO;COSENZA COSIMINA;ITALIA AGLI ITALIANI;2;;
BAGNOLI IRPINO;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;2;;
BAGNOLI IRPINO;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
BASELICE;MARAIA GENEROSO;MOVIMENTO 5 STELLE;719;;
BASELICE;GRASSO CARMELA;FORZA ITALIA;113;;
BASELICE;;LEGA;90;;
BASELICE;;FRATELLI D'ITALIA CON GIORGIA MELONI;24;;
BASELICE;;NOI CON L'ITALIA - UDC;15;;
BASELICE;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;188;;
BASELICE;;+EUROPA;13;;
BASELICE;;ITALIA EUROPA INSIEME;7;;
BASELICE;;CIVICA POPOLARE LORENZIN;5;;
BASELICE;GENZALE GERARDO;CASAPOUND ITALIA;26;;
BASELICE;IANNUZZELLI ELISENA;POTERE AL POPOLO!;19;;
BASELICE;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;17;;
BASELICE;COSENZA COSIMINA;ITALIA AGLI ITALIANI;13;;
BASELICE;ZOCCOLINI MARTINA;PARTITO COMUNISTA;5;;
BASELICE;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;6;;
BASELICE;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;3;;
BASELICE;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
BASELICE;DI MARIA ELENA;10 VOLTE MEGLIO;0;;
BISACCIA;MARAIA GENEROSO;MOVIMENTO 5 STELLE;773;;
BISACCIA;GRASSO CARMELA;FORZA ITALIA;289;;
BISACCIA;;LEGA;147;;
BISACCIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;104;;
BISACCIA;;NOI CON L'ITALIA - UDC;63;;
BISACCIA;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;321;;
BISACCIA;;CIVICA POPOLARE LORENZIN;83;;
BISACCIA;;+EUROPA;28;;
BISACCIA;;ITALIA EUROPA INSIEME;10;;
BISACCIA;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;71;;
BISACCIA;IANNUZZELLI ELISENA;POTERE AL POPOLO!;38;;
BISACCIA;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;34;;
BISACCIA;ZOCCOLINI MARTINA;PARTITO COMUNISTA;9;;
BISACCIA;GENZALE GERARDO;CASAPOUND ITALIA;6;;
BISACCIA;COSENZA COSIMINA;ITALIA AGLI ITALIANI;5;;
BISACCIA;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;3;;
BISACCIA;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;3;;
BISACCIA;DI MARIA ELENA;10 VOLTE MEGLIO;0;;
BONITO;MARAIA GENEROSO;MOVIMENTO 5 STELLE;609;;
BONITO;GRASSO CARMELA;FORZA ITALIA;303;;
BONITO;;LEGA;101;;
BONITO;;FRATELLI D'ITALIA CON GIORGIA MELONI;40;;
BONITO;;NOI CON L'ITALIA - UDC;15;;
BONITO;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;194;;
BONITO;;ITALIA EUROPA INSIEME;5;;
BONITO;;+EUROPA;4;;
BONITO;;CIVICA POPOLARE LORENZIN;3;;
BONITO;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;82;;
BONITO;IANNUZZELLI ELISENA;POTERE AL POPOLO!;20;;
BONITO;COSENZA COSIMINA;ITALIA AGLI ITALIANI;16;;
BONITO;GENZALE GERARDO;CASAPOUND ITALIA;15;;
BONITO;ZOCCOLINI MARTINA;PARTITO COMUNISTA;4;;
BONITO;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
BONITO;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;1;;
BONITO;DI MARIA ELENA;10 VOLTE MEGLIO;0;;
BONITO;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;0;;
BUONALBERGO;MARAIA GENEROSO;MOVIMENTO 5 STELLE;383;;
BUONALBERGO;GRASSO CARMELA;FORZA ITALIA;162;;
BUONALBERGO;;FRATELLI D'ITALIA CON GIORGIA MELONI;70;;
BUONALBERGO;;LEGA;54;;
BUONALBERGO;;NOI CON L'ITALIA - UDC;11;;
BUONALBERGO;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;223;;
BUONALBERGO;;CIVICA POPOLARE LORENZIN;16;;
BUONALBERGO;;+EUROPA;9;;
BUONALBERGO;;ITALIA EUROPA INSIEME;1;;
BUONALBERGO;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;12;;
BUONALBERGO;COSENZA COSIMINA;ITALIA AGLI ITALIANI;9;;
BUONALBERGO;IANNUZZELLI ELISENA;POTERE AL POPOLO!;7;;
BUONALBERGO;GENZALE GERARDO;CASAPOUND ITALIA;6;;
BUONALBERGO;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;6;;
BUONALBERGO;ZOCCOLINI MARTINA;PARTITO COMUNISTA;2;;
BUONALBERGO;DI MARIA ELENA;10 VOLTE MEGLIO;1;;
BUONALBERGO;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
BUONALBERGO;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;0;;
CAIRANO;DE MITA GIUSEPPE;CIVICA POPOLARE LORENZIN;61;;
CAIRANO;;PARTITO DEMOCRATICO;16;;
CAIRANO;;+EUROPA;1;;
CAIRANO;;ITALIA EUROPA INSIEME;0;;
CAIRANO;GRASSO CARMELA;FORZA ITALIA;29;;
CAIRANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;9;;
CAIRANO;;NOI CON L'ITALIA - UDC;8;;
CAIRANO;;LEGA;3;;
CAIRANO;MARAIA GENEROSO;MOVIMENTO 5 STELLE;39;;
CAIRANO;IANNUZZELLI ELISENA;POTERE AL POPOLO!;4;;
CAIRANO;COSENZA COSIMINA;ITALIA AGLI ITALIANI;2;;
CAIRANO;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;1;;
CAIRANO;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
CAIRANO;DI MARIA ELENA;10 VOLTE MEGLIO;0;;
CAIRANO;GENZALE GERARDO;CASAPOUND ITALIA;0;;
CAIRANO;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;0;;
CAIRANO;ZOCCOLINI MARTINA;PARTITO COMUNISTA;0;;
CAIRANO;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;0;;
CALABRITTO;GRASSO CARMELA;FORZA ITALIA;186;;
CALABRITTO;;LEGA;177;;
CALABRITTO;;FRATELLI D'ITALIA CON GIORGIA MELONI;34;;
CALABRITTO;;NOI CON L'ITALIA - UDC;7;;
CALABRITTO;MARAIA GENEROSO;MOVIMENTO 5 STELLE;396;;
CALABRITTO;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;167;;
CALABRITTO;;CIVICA POPOLARE LORENZIN;68;;
CALABRITTO;;ITALIA EUROPA INSIEME;14;;
CALABRITTO;;+EUROPA;5;;
CALABRITTO;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;30;;
CALABRITTO;IANNUZZELLI ELISENA;POTERE AL POPOLO!;30;;
CALABRITTO;GENZALE GERARDO;CASAPOUND ITALIA;7;;
CALABRITTO;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;8;;
CALABRITTO;ZOCCOLINI MARTINA;PARTITO COMUNISTA;3;;
CALABRITTO;DI MARIA ELENA;10 VOLTE MEGLIO;2;;
CALABRITTO;COSENZA COSIMINA;ITALIA AGLI ITALIANI;1;;
CALABRITTO;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
CALABRITTO;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;1;;
CALITRI;MARAIA GENEROSO;MOVIMENTO 5 STELLE;1068;;
CALITRI;GRASSO CARMELA;FORZA ITALIA;318;;
CALITRI;;LEGA;220;;
CALITRI;;FRATELLI D'ITALIA CON GIORGIA MELONI;162;;
CALITRI;;NOI CON L'ITALIA - UDC;162;;
CALITRI;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;395;;
CALITRI;;CIVICA POPOLARE LORENZIN;60;;
CALITRI;;+EUROPA;18;;
CALITRI;;ITALIA EUROPA INSIEME;9;;
CALITRI;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;73;;
CALITRI;IANNUZZELLI ELISENA;POTERE AL POPOLO!;56;;
CALITRI;GENZALE GERARDO;CASAPOUND ITALIA;16;;
CALITRI;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;12;;
CALITRI;COSENZA COSIMINA;ITALIA AGLI ITALIANI;12;;
CALITRI;ZOCCOLINI MARTINA;PARTITO COMUNISTA;11;;
CALITRI;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;7;;
CALITRI;DI MARIA ELENA;10 VOLTE MEGLIO;2;;
CALITRI;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;0;;
CAPOSELE;MARAIA GENEROSO;MOVIMENTO 5 STELLE;939;;
CAPOSELE;GRASSO CARMELA;FORZA ITALIA;250;;
CAPOSELE;;FRATELLI D'ITALIA CON GIORGIA MELONI;160;;
CAPOSELE;;LEGA;127;;
CAPOSELE;;NOI CON L'ITALIA - UDC;20;;
CAPOSELE;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;315;;
CAPOSELE;;CIVICA POPOLARE LORENZIN;14;;
CAPOSELE;;+EUROPA;9;;
CAPOSELE;;ITALIA EUROPA INSIEME;3;;
CAPOSELE;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;50;;
CAPOSELE;IANNUZZELLI ELISENA;POTERE AL POPOLO!;29;;
CAPOSELE;GENZALE GERARDO;CASAPOUND ITALIA;14;;
CAPOSELE;COSENZA COSIMINA;ITALIA AGLI ITALIANI;14;;
CAPOSELE;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;11;;
CAPOSELE;ZOCCOLINI MARTINA;PARTITO COMUNISTA;10;;
CAPOSELE;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;5;;
CAPOSELE;DI MARIA ELENA;10 VOLTE MEGLIO;3;;
CAPOSELE;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;0;;
CARIFE;MARAIA GENEROSO;MOVIMENTO 5 STELLE;309;;
CARIFE;GRASSO CARMELA;FORZA ITALIA;107;;
CARIFE;;LEGA;73;;
CARIFE;;NOI CON L'ITALIA - UDC;31;;
CARIFE;;FRATELLI D'ITALIA CON GIORGIA MELONI;13;;
CARIFE;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;120;;
CARIFE;;ITALIA EUROPA INSIEME;16;;
CARIFE;;CIVICA POPOLARE LORENZIN;13;;
CARIFE;;+EUROPA;5;;
CARIFE;IANNUZZELLI ELISENA;POTERE AL POPOLO!;49;;
CARIFE;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;15;;
CARIFE;ZOCCOLINI MARTINA;PARTITO COMUNISTA;5;;
CARIFE;COSENZA COSIMINA;ITALIA AGLI ITALIANI;2;;
CARIFE;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;2;;
CARIFE;DI MARIA ELENA;10 VOLTE MEGLIO;1;;
CARIFE;GENZALE GERARDO;CASAPOUND ITALIA;1;;
CARIFE;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;1;;
CARIFE;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;1;;
CASALBORE;MARAIA GENEROSO;MOVIMENTO 5 STELLE;500;;
CASALBORE;GRASSO CARMELA;FORZA ITALIA;188;;
CASALBORE;;LEGA;51;;
CASALBORE;;NOI CON L'ITALIA - UDC;21;;
CASALBORE;;FRATELLI D'ITALIA CON GIORGIA MELONI;15;;
CASALBORE;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;164;;
CASALBORE;;CIVICA POPOLARE LORENZIN;14;;
CASALBORE;;ITALIA EUROPA INSIEME;11;;
CASALBORE;;+EUROPA;5;;
CASALBORE;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;9;;
CASALBORE;COSENZA COSIMINA;ITALIA AGLI ITALIANI;8;;
CASALBORE;IANNUZZELLI ELISENA;POTERE AL POPOLO!;7;;
CASALBORE;GENZALE GERARDO;CASAPOUND ITALIA;6;;
CASALBORE;ZOCCOLINI MARTINA;PARTITO COMUNISTA;5;;
CASALBORE;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;4;;
CASALBORE;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;4;;
CASALBORE;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;1;;
CASALBORE;DI MARIA ELENA;10 VOLTE MEGLIO;0;;
CASSANO IRPINO;MARAIA GENEROSO;MOVIMENTO 5 STELLE;206;;
CASSANO IRPINO;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;72;;
CASSANO IRPINO;;CIVICA POPOLARE LORENZIN;54;;
CASSANO IRPINO;;ITALIA EUROPA INSIEME;14;;
CASSANO IRPINO;;+EUROPA;4;;
CASSANO IRPINO;GRASSO CARMELA;FORZA ITALIA;60;;
CASSANO IRPINO;;LEGA;30;;
CASSANO IRPINO;;FRATELLI D'ITALIA CON GIORGIA MELONI;27;;
CASSANO IRPINO;;NOI CON L'ITALIA - UDC;1;;
CASSANO IRPINO;CAGGIANO ANTONIO EMILIO;LIBERI E UGUALI;7;;
CASSANO IRPINO;GENZALE GERARDO;CASAPOUND ITALIA;6;;
CASSANO IRPINO;COSENZA COSIMINA;ITALIA AGLI ITALIANI;1;;
CASSANO IRPINO;RUSSO STEFANIA;IL POPOLO DELLA FAMIGLIA;1;;
CASSANO IRPINO;IANNUZZELLI ELISENA;POTERE AL POPOLO!;1;;
CASSANO IRPINO;DI MARIA ELENA;10 VOLTE MEGLIO;0;;
CASSANO IRPINO;GRAZIOSI MARCELLO;LISTA DEL POPOLO PER LA COSTITUZIONE;0;;
CASSANO IRPINO;ZOCCOLINI MARTINA;PARTITO COMUNISTA;0;;
CASSANO IRPINO;PAGLIARULO GERARDO MICHELE;PARTITO VALORE UMANO;0;;
CASTEL BARONIA;MARAIA GENEROSO;MOVIMENTO 5 STELLE;271;;
CASTEL BARONIA;GRASSO CARMELA;FORZA ITALIA;92;;
CASTEL BARONIA;;NOI CON L'ITALIA - UDC;44;;
CASTEL BARONIA;;LEGA;37;;
CASTEL BARONIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;11;;
CASTEL BARONIA;DE MITA GIUSEPPE;PARTITO DEMOCRATICO;81;;
