

Ente;Candidato;Liste/Gruppi;Voti lista;;
ARIENZO;DEL MONACO ANTONIO;MOVIMENTO 5 STELLE;1454;;
ARIENZO;CICIA LUCREZIA;FORZA ITALIA;549;;
ARIENZO;;LEGA;124;;
ARIENZO;;FRATELLI D'ITALIA CON GIORGIA MELONI;115;;
ARIENZO;;NOI CON L'ITALIA - UDC;21;;
ARIENZO;LETIZIA ANGELA;PARTITO DEMOCRATICO;323;;
ARIENZO;;ITALIA EUROPA INSIEME;237;;
ARIENZO;;+EUROPA;19;;
ARIENZO;;CIVICA POPOLARE LORENZIN;7;;
ARIENZO;MATERAZZO FRANCESCO;ITALIA AGLI ITALIANI;36;;
ARIENZO;DIODATO FILOMENA;LIBERI E UGUALI;30;;
ARIENZO;CLEMENTE ROSA MARIA;POTERE AL POPOLO!;24;;
ARIENZO;BISOGNO TIZIANA;CASAPOUND ITALIA;9;;
ARIENZO;ROMANELLI MARIO;IL POPOLO DELLA FAMIGLIA;9;;
ARIENZO;CHILELLI GIANMARCO;PARTITO COMUNISTA;3;;
ARIENZO;COLELLA GIUSEPPE;PARTITO VALORE UMANO;3;;
ARIENZO;SANTORO ROSANNA;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
ARIENZO;PETRACCO GIROLAMO;PER UNA SINISTRA RIVOLUZIONARIA;1;;
CAPODRISE;DEL MONACO ANTONIO;MOVIMENTO 5 STELLE;3161;;
CAPODRISE;CICIA LUCREZIA;FORZA ITALIA;639;;
CAPODRISE;;FRATELLI D'ITALIA CON GIORGIA MELONI;204;;
CAPODRISE;;LEGA;184;;
CAPODRISE;;NOI CON L'ITALIA - UDC;24;;
CAPODRISE;LETIZIA ANGELA;PARTITO DEMOCRATICO;474;;
CAPODRISE;;ITALIA EUROPA INSIEME;56;;
CAPODRISE;;+EUROPA;39;;
CAPODRISE;;CIVICA POPOLARE LORENZIN;24;;
CAPODRISE;DIODATO FILOMENA;LIBERI E UGUALI;84;;
CAPODRISE;PETRACCO GIROLAMO;PER UNA SINISTRA RIVOLUZIONARIA;42;;
CAPODRISE;CLEMENTE ROSA MARIA;POTERE AL POPOLO!;34;;
CAPODRISE;MATERAZZO FRANCESCO;ITALIA AGLI ITALIANI;32;;
CAPODRISE;BISOGNO TIZIANA;CASAPOUND ITALIA;21;;
