

Ente;Candidato;Liste/Gruppi;Voti lista;;
AILANO;GRIMALDI MASSIMO;FORZA ITALIA;146;;
AILANO;;LEGA;87;;
AILANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;20;;
AILANO;;NOI CON L'ITALIA - UDC;3;;
AILANO;BUOMPANE GIUSEPPE;MOVIMENTO 5 STELLE;246;;
AILANO;OLIVIERO GENNARO;PARTITO DEMOCRATICO;66;;
AILANO;;ITALIA EUROPA INSIEME;13;;
AILANO;;+EUROPA;6;;
AILANO;;CIVICA POPOLARE LORENZIN;6;;
AILANO;PATALANO ANTONIO;LIBERI E UGUALI;25;;
AILANO;DI LILLO GIOVANNI;IL POPOLO DELLA FAMIGLIA;9;;
AILANO;GUARDABASCIO ANGELO;PARTITO VALORE UMANO;8;;
AILANO;DELLA VALLE VINCENZO;ITALIA AGLI ITALIANI;7;;
AILANO;MALLINI MANCINO GIOVANNI;CASAPOUND ITALIA;5;;
AILANO;GRASSO REMO;POTERE AL POPOLO!;5;;
AILANO;PONZO ANTONIO;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
AILANO;ARENA CINZIA;PARTITO COMUNISTA;1;;
AILANO;BEATO FULVIO;PER UNA SINISTRA RIVOLUZIONARIA;0;;
ALIFE;BUOMPANE GIUSEPPE;MOVIMENTO 5 STELLE;2060;;
ALIFE;GRIMALDI MASSIMO;FORZA ITALIA;863;;
ALIFE;;LEGA;243;;
ALIFE;;FRATELLI D'ITALIA CON GIORGIA MELONI;97;;
ALIFE;;NOI CON L'ITALIA - UDC;24;;
ALIFE;OLIVIERO GENNARO;PARTITO DEMOCRATICO;336;;
ALIFE;;+EUROPA;48;;
ALIFE;;CIVICA POPOLARE LORENZIN;20;;
ALIFE;;ITALIA EUROPA INSIEME;15;;
ALIFE;GRASSO REMO;POTERE AL POPOLO!;35;;
ALIFE;PATALANO ANTONIO;LIBERI E UGUALI;30;;
ALIFE;DELLA VALLE VINCENZO;ITALIA AGLI ITALIANI;27;;
ALIFE;MALLINI MANCINO GIOVANNI;CASAPOUND ITALIA;23;;
ALIFE;ARENA CINZIA;PARTITO COMUNISTA;15;;
ALIFE;DI LILLO GIOVANNI;IL POPOLO DELLA FAMIGLIA;6;;
ALIFE;PONZO ANTONIO;LISTA DEL POPOLO PER LA COSTITUZIONE;3;;
ALIFE;BEATO FULVIO;PER UNA SINISTRA RIVOLUZIONARIA;3;;
ALIFE;GUARDABASCIO ANGELO;PARTITO VALORE UMANO;2;;
ALVIGNANO;BUOMPANE GIUSEPPE;MOVIMENTO 5 STELLE;1117;;
ALVIGNANO;GRIMALDI MASSIMO;FORZA ITALIA;417;;
ALVIGNANO;;LEGA;165;;
ALVIGNANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;155;;
ALVIGNANO;;NOI CON L'ITALIA - UDC;25;;
ALVIGNANO;OLIVIERO GENNARO;PARTITO DEMOCRATICO;319;;
ALVIGNANO;;+EUROPA;28;;
ALVIGNANO;;CIVICA POPOLARE LORENZIN;27;;
ALVIGNANO;;ITALIA EUROPA INSIEME;8;;
ALVIGNANO;GRASSO REMO;POTERE AL POPOLO!;38;;
ALVIGNANO;PATALANO ANTONIO;LIBERI E UGUALI;33;;
ALVIGNANO;MALLINI MANCINO GIOVANNI;CASAPOUND ITALIA;20;;
ALVIGNANO;GUARDABASCIO ANGELO;PARTITO VALORE UMANO;15;;
ALVIGNANO;DELLA VALLE VINCENZO;ITALIA AGLI ITALIANI;11;;
ALVIGNANO;DI LILLO GIOVANNI;IL POPOLO DELLA FAMIGLIA;10;;
ALVIGNANO;ARENA CINZIA;PARTITO COMUNISTA;7;;
ALVIGNANO;PONZO ANTONIO;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
ALVIGNANO;BEATO FULVIO;PER UNA SINISTRA RIVOLUZIONARIA;1;;
BAIA E LATINA;BUOMPANE GIUSEPPE;MOVIMENTO 5 STELLE;609;;
BAIA E LATINA;GRIMALDI MASSIMO;FORZA ITALIA;198;;
BAIA E LATINA;;LEGA;79;;
BAIA E LATINA;;FRATELLI D'ITALIA CON GIORGIA MELONI;46;;
BAIA E LATINA;;NOI CON L'ITALIA - UDC;5;;
BAIA E LATINA;OLIVIERO GENNARO;PARTITO DEMOCRATICO;120;;
BAIA E LATINA;;+EUROPA;29;;
BAIA E LATINA;;ITALIA EUROPA INSIEME;7;;
BAIA E LATINA;;CIVICA POPOLARE LORENZIN;6;;
BAIA E LATINA;GRASSO REMO;POTERE AL POPOLO!;34;;
BAIA E LATINA;GUARDABASCIO ANGELO;PARTITO VALORE UMANO;18;;
BAIA E LATINA;PATALANO ANTONIO;LIBERI E UGUALI;13;;
BAIA E LATINA;DELLA VALLE VINCENZO;ITALIA AGLI ITALIANI;8;;
BAIA E LATINA;MALLINI MANCINO GIOVANNI;CASAPOUND ITALIA;5;;
BAIA E LATINA;DI LILLO GIOVANNI;IL POPOLO DELLA FAMIGLIA;4;;
BAIA E LATINA;ARENA CINZIA;PARTITO COMUNISTA;4;;
BAIA E LATINA;PONZO ANTONIO;LISTA DEL POPOLO PER LA COSTITUZIONE;3;;
BAIA E LATINA;BEATO FULVIO;PER UNA SINISTRA RIVOLUZIONARIA;1;;
BELLONA;BUOMPANE GIUSEPPE;MOVIMENTO 5 STELLE;1502;;
BELLONA;GRIMALDI MASSIMO;FORZA ITALIA;686;;
BELLONA;;LEGA;204;;
BELLONA;;FRATELLI D'ITALIA CON GIORGIA MELONI;90;;
BELLONA;;NOI CON L'ITALIA - UDC;14;;
BELLONA;OLIVIERO GENNARO;PARTITO DEMOCRATICO;351;;
BELLONA;;CIVICA POPOLARE LORENZIN;31;;
BELLONA;;+EUROPA;19;;
BELLONA;;ITALIA EUROPA INSIEME;10;;
BELLONA;PATALANO ANTONIO;LIBERI E UGUALI;27;;
BELLONA;DI LILLO GIOVANNI;IL POPOLO DELLA FAMIGLIA;21;;
BELLONA;MALLINI MANCINO GIOVANNI;CASAPOUND ITALIA;19;;
BELLONA;DELLA VALLE VINCENZO;ITALIA AGLI ITALIANI;16;;
BELLONA;GRASSO REMO;POTERE AL POPOLO!;10;;
BELLONA;GUARDABASCIO ANGELO;PARTITO VALORE UMANO;5;;
BELLONA;PONZO ANTONIO;LISTA DEL POPOLO PER LA COSTITUZIONE;2;;
BELLONA;ARENA CINZIA;PARTITO COMUNISTA;2;;
BELLONA;BEATO FULVIO;PER UNA SINISTRA RIVOLUZIONARIA;1;;
CAIANELLO;BUOMPANE GIUSEPPE;MOVIMENTO 5 STELLE;479;;
CAIANELLO;GRIMALDI MASSIMO;FORZA ITALIA;186;;
CAIANELLO;;LEGA;122;;
CAIANELLO;;FRATELLI D'ITALIA CON GIORGIA MELONI;36;;
CAIANELLO;;NOI CON L'ITALIA - UDC;7;;
CAIANELLO;OLIVIERO GENNARO;PARTITO DEMOCRATICO;107;;
CAIANELLO;;+EUROPA;25;;
CAIANELLO;;ITALIA EUROPA INSIEME;1;;
CAIANELLO;;CIVICA POPOLARE LORENZIN;0;;
CAIANELLO;PATALANO ANTONIO;LIBERI E UGUALI;19;;
CAIANELLO;GRASSO REMO;POTERE AL POPOLO!;13;;
CAIANELLO;DELLA VALLE VINCENZO;ITALIA AGLI ITALIANI;7;;
CAIANELLO;DI LILLO GIOVANNI;IL POPOLO DELLA FAMIGLIA;5;;
CAIANELLO;GUARDABASCIO ANGELO;PARTITO VALORE UMANO;4;;
CAIANELLO;ARENA CINZIA;PARTITO COMUNISTA;3;;
CAIANELLO;MALLINI MANCINO GIOVANNI;CASAPOUND ITALIA;2;;
CAIANELLO;BEATO FULVIO;PER UNA SINISTRA RIVOLUZIONARIA;1;;
CAIANELLO;PONZO ANTONIO;LISTA DEL POPOLO PER LA COSTITUZIONE;0;;
CAIAZZO;BUOMPANE GIUSEPPE;MOVIMENTO 5 STELLE;1467;;
CAIAZZO;GRIMALDI MASSIMO;FORZA ITALIA;580;;
CAIAZZO;;LEGA;161;;
CAIAZZO;;FRATELLI D'ITALIA CON GIORGIA MELONI;100;;
CAIAZZO;;NOI CON L'ITALIA - UDC;26;;
CAIAZZO;OLIVIERO GENNARO;PARTITO DEMOCRATICO;294;;
CAIAZZO;;+EUROPA;53;;
CAIAZZO;;ITALIA EUROPA INSIEME;24;;
CAIAZZO;;CIVICA POPOLARE LORENZIN;17;;
CAIAZZO;PATALANO ANTONIO;LIBERI E UGUALI;50;;
CAIAZZO;GRASSO REMO;POTERE AL POPOLO!;39;;
CAIAZZO;DI LILLO GIOVANNI;IL POPOLO DELLA FAMIGLIA;19;;
CAIAZZO;DELLA VALLE VINCENZO;ITALIA AGLI ITALIANI;16;;
CAIAZZO;MALLINI MANCINO GIOVANNI;CASAPOUND ITALIA;14;;
CAIAZZO;ARENA CINZIA;PARTITO COMUNISTA;8;;
CAIAZZO;GUARDABASCIO ANGELO;PARTITO VALORE UMANO;5;;
CAIAZZO;BEATO FULVIO;PER UNA SINISTRA RIVOLUZIONARIA;5;;
CAIAZZO;PONZO ANTONIO;LISTA DEL POPOLO PER LA COSTITUZIONE;1;;
CALVI RISORTA;BUOMPANE GIUSEPPE;MOVIMENTO 5 STELLE;1237;;
CALVI RISORTA;GRIMALDI MASSIMO;FORZA ITALIA;511;;
CALVI RISORTA;;LEGA;252;;
CALVI RISORTA;;FRATELLI D'ITALIA CON GIORGIA MELONI;203;;
CALVI RISORTA;;NOI CON L'ITALIA - UDC;109;;
CALVI RISORTA;OLIVIERO GENNARO;PARTITO DEMOCRATICO;254;;
CALVI RISORTA;;+EUROPA;156;;
CALVI RISORTA;;ITALIA EUROPA INSIEME;99;;
CALVI RISORTA;;CIVICA POPOLARE LORENZIN;15;;
CALVI RISORTA;GRASSO REMO;POTERE AL POPOLO!;119;;
CALVI RISORTA;PATALANO ANTONIO;LIBERI E UGUALI;75;;
CALVI RISORTA;DI LILLO GIOVANNI;IL POPOLO DELLA FAMIGLIA;19;;
CALVI RISORTA;DELLA VALLE VINCENZO;ITALIA AGLI ITALIANI;18;;
CALVI RISORTA;GUARDABASCIO ANGELO;PARTITO VALORE UMANO;15;;
CALVI RISORTA;MALLINI MANCINO GIOVANNI;CASAPOUND ITALIA;12;;
CALVI RISORTA;ARENA CINZIA;PARTITO COMUNISTA;9;;
CALVI RISORTA;PONZO ANTONIO;LISTA DEL POPOLO PER LA COSTITUZIONE;2;;
CALVI RISORTA;BEATO FULVIO;PER UNA SINISTRA RIVOLUZIONARIA;0;;
CAMIGLIANO;BUOMPANE GIUSEPPE;MOVIMENTO 5 STELLE;558;;
CAMIGLIANO;GRIMALDI MASSIMO;FORZA ITALIA;205;;
CAMIGLIANO;;LEGA;59;;
