

Ente;Liste/Gruppi;Voti;
AIELLO DEL SABATO;MOVIMENTO 5 STELLE;475;;
AIELLO DEL SABATO;PARTITO DEMOCRATICO;439;;
AIELLO DEL SABATO;LEGA SALVINI PREMIER;379;;
AIELLO DEL SABATO;FORZA ITALIA;120;;
AIELLO DEL SABATO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;115;;
AIELLO DEL SABATO;FRATELLI D'ITALIA;64;;
AIELLO DEL SABATO;LA SINISTRA;32;;
AIELLO DEL SABATO;EUROPA VERDE;28;;
AIELLO DEL SABATO;PARTITO ANIMALISTA;13;;
AIELLO DEL SABATO;PARTITO COMUNISTA;12;;
AIELLO DEL SABATO;POPOLARI PER L'ITALIA;4;;
AIELLO DEL SABATO;FORZA NUOVA;2;;
AIELLO DEL SABATO;PARTITO PIRATA;2;;
AIELLO DEL SABATO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
AIELLO DEL SABATO;CASAPOUND ITALIA - DESTRE UNITE;0;;
ALTAVILLA IRPINA;MOVIMENTO 5 STELLE;812;;
ALTAVILLA IRPINA;LEGA SALVINI PREMIER;544;;
ALTAVILLA IRPINA;PARTITO DEMOCRATICO;446;;
ALTAVILLA IRPINA;FORZA ITALIA;270;;
ALTAVILLA IRPINA;FRATELLI D'ITALIA;105;;
ALTAVILLA IRPINA;LA SINISTRA;67;;
ALTAVILLA IRPINA;EUROPA VERDE;45;;
ALTAVILLA IRPINA;PARTITO ANIMALISTA;41;;
ALTAVILLA IRPINA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;41;;
ALTAVILLA IRPINA;PARTITO COMUNISTA;38;;
ALTAVILLA IRPINA;POPOLARI PER L'ITALIA;17;;
ALTAVILLA IRPINA;CASAPOUND ITALIA - DESTRE UNITE;11;;
ALTAVILLA IRPINA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;10;;
ALTAVILLA IRPINA;FORZA NUOVA;9;;
ALTAVILLA IRPINA;PARTITO PIRATA;6;;
ANDRETTA;PARTITO DEMOCRATICO;173;;
ANDRETTA;MOVIMENTO 5 STELLE;149;;
ANDRETTA;LEGA SALVINI PREMIER;136;;
ANDRETTA;FORZA ITALIA;67;;
ANDRETTA;FRATELLI D'ITALIA;35;;
ANDRETTA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;13;;
ANDRETTA;PARTITO COMUNISTA;11;;
ANDRETTA;EUROPA VERDE;9;;
ANDRETTA;LA SINISTRA;7;;
ANDRETTA;POPOLARI PER L'ITALIA;6;;
ANDRETTA;CASAPOUND ITALIA - DESTRE UNITE;4;;
ANDRETTA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;3;;
ANDRETTA;PARTITO ANIMALISTA;3;;
ANDRETTA;FORZA NUOVA;1;;
ANDRETTA;PARTITO PIRATA;0;;
AQUILONIA;PARTITO DEMOCRATICO;279;;
AQUILONIA;MOVIMENTO 5 STELLE;191;;
AQUILONIA;LEGA SALVINI PREMIER;69;;
AQUILONIA;FRATELLI D'ITALIA;53;;
AQUILONIA;FORZA ITALIA;32;;
AQUILONIA;LA SINISTRA;19;;
AQUILONIA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;14;;
AQUILONIA;EUROPA VERDE;5;;
AQUILONIA;POPOLARI PER L'ITALIA;3;;
AQUILONIA;PARTITO PIRATA;2;;
AQUILONIA;FORZA NUOVA;2;;
AQUILONIA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
AQUILONIA;PARTITO ANIMALISTA;1;;
AQUILONIA;PARTITO COMUNISTA;1;;
AQUILONIA;CASAPOUND ITALIA - DESTRE UNITE;1;;
ARIANO IRPINO;MOVIMENTO 5 STELLE;4153;;
ARIANO IRPINO;LEGA SALVINI PREMIER;3261;;
ARIANO IRPINO;FORZA ITALIA;2271;;
ARIANO IRPINO;PARTITO DEMOCRATICO;1977;;
ARIANO IRPINO;FRATELLI D'ITALIA;973;;
ARIANO IRPINO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;293;;
ARIANO IRPINO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;262;;
ARIANO IRPINO;LA SINISTRA;175;;
ARIANO IRPINO;EUROPA VERDE;135;;
ARIANO IRPINO;PARTITO COMUNISTA;96;;
ARIANO IRPINO;PARTITO ANIMALISTA;94;;
ARIANO IRPINO;POPOLARI PER L'ITALIA;50;;
ARIANO IRPINO;PARTITO PIRATA;27;;
ARIANO IRPINO;CASAPOUND ITALIA - DESTRE UNITE;25;;
ARIANO IRPINO;FORZA NUOVA;16;;
ATRIPALDA;MOVIMENTO 5 STELLE;1172;;
ATRIPALDA;PARTITO DEMOCRATICO;994;;
ATRIPALDA;LEGA SALVINI PREMIER;859;;
ATRIPALDA;FORZA ITALIA;433;;
ATRIPALDA;FRATELLI D'ITALIA;171;;
ATRIPALDA;LA SINISTRA;120;;
ATRIPALDA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;113;;
ATRIPALDA;EUROPA VERDE;71;;
ATRIPALDA;PARTITO COMUNISTA;54;;
ATRIPALDA;POPOLARI PER L'ITALIA;46;;
ATRIPALDA;PARTITO ANIMALISTA;24;;
ATRIPALDA;PARTITO PIRATA;16;;
ATRIPALDA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;14;;
ATRIPALDA;CASAPOUND ITALIA - DESTRE UNITE;13;;
ATRIPALDA;FORZA NUOVA;2;;
AVELLA;MOVIMENTO 5 STELLE;949;;
AVELLA;FORZA ITALIA;803;;
AVELLA;LEGA SALVINI PREMIER;375;;
AVELLA;PARTITO DEMOCRATICO;273;;
AVELLA;FRATELLI D'ITALIA;230;;
AVELLA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;86;;
AVELLA;EUROPA VERDE;32;;
AVELLA;LA SINISTRA;28;;
AVELLA;PARTITO ANIMALISTA;26;;
AVELLA;POPOLARI PER L'ITALIA;20;;
AVELLA;PARTITO COMUNISTA;15;;
AVELLA;PARTITO PIRATA;6;;
AVELLA;FORZA NUOVA;4;;
AVELLA;CASAPOUND ITALIA - DESTRE UNITE;3;;
AVELLA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
AVELLINO;MOVIMENTO 5 STELLE;8158;;
AVELLINO;PARTITO DEMOCRATICO;7823;;
AVELLINO;LEGA SALVINI PREMIER;6342;;
AVELLINO;FORZA ITALIA;3351;;
AVELLINO;FRATELLI D'ITALIA;1394;;
AVELLINO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;1147;;
AVELLINO;LA SINISTRA;1082;;
AVELLINO;EUROPA VERDE;637;;
AVELLINO;PARTITO ANIMALISTA;357;;
AVELLINO;PARTITO COMUNISTA;326;;
AVELLINO;POPOLARI PER L'ITALIA;140;;
AVELLINO;CASAPOUND ITALIA - DESTRE UNITE;96;;
AVELLINO;PARTITO PIRATA;81;;
AVELLINO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;61;;
AVELLINO;FORZA NUOVA;54;;
BAGNOLI IRPINO;MOVIMENTO 5 STELLE;332;;
BAGNOLI IRPINO;LEGA SALVINI PREMIER;332;;
BAGNOLI IRPINO;PARTITO DEMOCRATICO;214;;
BAGNOLI IRPINO;FORZA ITALIA;114;;
BAGNOLI IRPINO;LA SINISTRA;89;;
BAGNOLI IRPINO;FRATELLI D'ITALIA;57;;
BAGNOLI IRPINO;EUROPA VERDE;30;;
BAGNOLI IRPINO;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;20;;
BAGNOLI IRPINO;PARTITO COMUNISTA;19;;
BAGNOLI IRPINO;PARTITO ANIMALISTA;16;;
BAGNOLI IRPINO;POPOLARI PER L'ITALIA;6;;
BAGNOLI IRPINO;CASAPOUND ITALIA - DESTRE UNITE;5;;
BAGNOLI IRPINO;PARTITO PIRATA;3;;
BAGNOLI IRPINO;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1;;
