

Ente;Liste/Gruppi;Voti;
AIROLA;MOVIMENTO 5 STELLE;1070;;
AIROLA;LEGA SALVINI PREMIER;763;;
AIROLA;FORZA ITALIA;641;;
AIROLA;PARTITO DEMOCRATICO;625;;
AIROLA;FRATELLI D'ITALIA;177;;
AIROLA;LA SINISTRA;38;;
AIROLA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;31;;
AIROLA;EUROPA VERDE;26;;
AIROLA;PARTITO COMUNISTA;17;;
AIROLA;POPOLARI PER L'ITALIA;15;;
AIROLA;PARTITO ANIMALISTA;10;;
AIROLA;CASAPOUND ITALIA - DESTRE UNITE;9;;
AIROLA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;6;;
AIROLA;PARTITO PIRATA;5;;
AIROLA;FORZA NUOVA;5;;
AMOROSI;LEGA SALVINI PREMIER;528;;
AMOROSI;MOVIMENTO 5 STELLE;511;;
AMOROSI;PARTITO DEMOCRATICO;264;;
AMOROSI;FORZA ITALIA;257;;
AMOROSI;FRATELLI D'ITALIA;59;;
AMOROSI;LA SINISTRA;58;;
AMOROSI;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;28;;
AMOROSI;EUROPA VERDE;21;;
AMOROSI;PARTITO ANIMALISTA;19;;
AMOROSI;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;9;;
AMOROSI;PARTITO COMUNISTA;8;;
AMOROSI;CASAPOUND ITALIA - DESTRE UNITE;6;;
AMOROSI;POPOLARI PER L'ITALIA;4;;
AMOROSI;FORZA NUOVA;2;;
AMOROSI;PARTITO PIRATA;1;;
APICE;LEGA SALVINI PREMIER;1180;;
APICE;MOVIMENTO 5 STELLE;761;;
APICE;FORZA ITALIA;634;;
APICE;PARTITO DEMOCRATICO;436;;
APICE;FRATELLI D'ITALIA;149;;
APICE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;38;;
APICE;PARTITO ANIMALISTA;38;;
APICE;EUROPA VERDE;36;;
APICE;LA SINISTRA;36;;
APICE;PARTITO COMUNISTA;30;;
APICE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;23;;
APICE;POPOLARI PER L'ITALIA;19;;
APICE;FORZA NUOVA;6;;
APICE;PARTITO PIRATA;4;;
APICE;CASAPOUND ITALIA - DESTRE UNITE;2;;
APOLLOSA;MOVIMENTO 5 STELLE;374;;
APOLLOSA;FORZA ITALIA;252;;
APOLLOSA;LEGA SALVINI PREMIER;249;;
APOLLOSA;PARTITO DEMOCRATICO;123;;
APOLLOSA;FRATELLI D'ITALIA;36;;
APOLLOSA;LA SINISTRA;27;;
APOLLOSA;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;21;;
APOLLOSA;EUROPA VERDE;11;;
APOLLOSA;PARTITO COMUNISTA;11;;
APOLLOSA;PARTITO PIRATA;5;;
APOLLOSA;PARTITO ANIMALISTA;4;;
APOLLOSA;FORZA NUOVA;3;;
APOLLOSA;CASAPOUND ITALIA - DESTRE UNITE;3;;
APOLLOSA;POPOLARI PER L'ITALIA;2;;
APOLLOSA;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0;;
ARPAIA;LEGA SALVINI PREMIER;202;;
ARPAIA;MOVIMENTO 5 STELLE;182;;
