

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
AIELLO DEL SABATO;DE LUCA VINCENZO;;;;;1090
AIELLO DEL SABATO;;;PARTITO DEMOCRATICO;629;;
AIELLO DEL SABATO;;;DE LUCA PRESIDENTE;209;;
AIELLO DEL SABATO;;;DAVVERO-VERDI;124;;
AIELLO DEL SABATO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;35;;
AIELLO DEL SABATO;;;UNIONE DI CENTRO;31;;
AIELLO DEL SABATO;;;CAMPANIA LIBERA;17;;
AIELLO DEL SABATO;;;CAMPANIA IN RETE;12;;
AIELLO DEL SABATO;;;PARTITO SOCIALISTA ITALIANO;12;;
AIELLO DEL SABATO;;;ITALIA DEI VALORI;7;;
AIELLO DEL SABATO;CALDORO STEFANO;;;;;393
AIELLO DEL SABATO;;;NCD - CAMPANIA POPOLARE;138;;
AIELLO DEL SABATO;;;FORZA ITALIA;135;;
AIELLO DEL SABATO;;;CALDORO PRESIDENTE;41;;
AIELLO DEL SABATO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;37;;
AIELLO DEL SABATO;;;NOI SUD;28;;
AIELLO DEL SABATO;;;POPOLARI PER L'ITALIA;4;;
AIELLO DEL SABATO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;4;;
AIELLO DEL SABATO;;;MAI PIU' LA TERRA DEI FUOCHI;1;;
AIELLO DEL SABATO;CIARAMBINO VALERIA;;;;;234
AIELLO DEL SABATO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;216;;
AIELLO DEL SABATO;VOZZA SALVATORE;;;;;33
AIELLO DEL SABATO;;;SINISTRA AL LAVORO;27;;
AIELLO DEL SABATO;ESPOSITO MARCO;;;;;3
AIELLO DEL SABATO;;
ALTAVILLA IRPINA;DE LUCA VINCENZO;;;;;927
ALTAVILLA IRPINA;;;UNIONE DI CENTRO;262;;
ALTAVILLA IRPINA;;;PARTITO DEMOCRATICO;227;;
ALTAVILLA IRPINA;;;DE LUCA PRESIDENTE;180;;
ALTAVILLA IRPINA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;120;;
ALTAVILLA IRPINA;;;DAVVERO-VERDI;31;;
ALTAVILLA IRPINA;;;CAMPANIA LIBERA;18;;
ALTAVILLA IRPINA;;;ITALIA DEI VALORI;14;;
ALTAVILLA IRPINA;;;PARTITO SOCIALISTA ITALIANO;13;;
ALTAVILLA IRPINA;;;CAMPANIA IN RETE;8;;
ALTAVILLA IRPINA;CALDORO STEFANO;;;;;418
ALTAVILLA IRPINA;;;FORZA ITALIA;228;;
ALTAVILLA IRPINA;;;NOI SUD;69;;
ALTAVILLA IRPINA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;45;;
ALTAVILLA IRPINA;;;NCD - CAMPANIA POPOLARE;39;;
ALTAVILLA IRPINA;;;CALDORO PRESIDENTE;33;;
ALTAVILLA IRPINA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;5;;
ALTAVILLA IRPINA;;;POPOLARI PER L'ITALIA;2;;
ALTAVILLA IRPINA;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
ALTAVILLA IRPINA;CIARAMBINO VALERIA;;;;;185
ALTAVILLA IRPINA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;173;;
ALTAVILLA IRPINA;VOZZA SALVATORE;;;;;57
ALTAVILLA IRPINA;;;SINISTRA AL LAVORO;60;;
ALTAVILLA IRPINA;ESPOSITO MARCO;;;;;3
ALTAVILLA IRPINA;;
ANDRETTA;DE LUCA VINCENZO;;;;;655
ANDRETTA;;;PARTITO DEMOCRATICO;252;;
ANDRETTA;;;UNIONE DI CENTRO;152;;
ANDRETTA;;;DE LUCA PRESIDENTE;133;;
ANDRETTA;;;ITALIA DEI VALORI;34;;
ANDRETTA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;29;;
ANDRETTA;;;DAVVERO-VERDI;18;;
ANDRETTA;;;CAMPANIA IN RETE;14;;
ANDRETTA;;;CAMPANIA LIBERA;9;;
ANDRETTA;;;PARTITO SOCIALISTA ITALIANO;0;;
ANDRETTA;CALDORO STEFANO;;;;;289
ANDRETTA;;;FORZA ITALIA;101;;
ANDRETTA;;;NCD - CAMPANIA POPOLARE;69;;
ANDRETTA;;;CALDORO PRESIDENTE;61;;
ANDRETTA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;44;;
ANDRETTA;;;POPOLARI PER L'ITALIA;8;;
ANDRETTA;;;MAI PIU' LA TERRA DEI FUOCHI;3;;
ANDRETTA;;;NOI SUD;1;;
ANDRETTA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
ANDRETTA;CIARAMBINO VALERIA;;;;;118
