

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
AIROLA;CALDORO STEFANO;;;;;1402
AIROLA;;;FORZA ITALIA;1004;;
AIROLA;;;NCD - CAMPANIA POPOLARE;108;;
AIROLA;;;CALDORO PRESIDENTE;86;;
AIROLA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;38;;
AIROLA;;;MAI PIU' LA TERRA DEI FUOCHI;6;;
AIROLA;;;NOI SUD;5;;
AIROLA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;4;;
AIROLA;;;POPOLARI PER L'ITALIA;1;;
AIROLA;DE LUCA VINCENZO;;;;;1278
AIROLA;;;PARTITO DEMOCRATICO;1081;;
AIROLA;;;DE LUCA PRESIDENTE;72;;
AIROLA;;;CAMPANIA IN RETE;24;;
AIROLA;;;DAVVERO-VERDI;19;;
AIROLA;;;ITALIA DEI VALORI;18;;
AIROLA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;12;;
AIROLA;;;CAMPANIA LIBERA;7;;
AIROLA;;;PARTITO SOCIALISTA ITALIANO;3;;
AIROLA;CIARAMBINO VALERIA;;;;;895
AIROLA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;900;;
AIROLA;VOZZA SALVATORE;;;;;18
AIROLA;;;SINISTRA AL LAVORO;8;;
AIROLA;ESPOSITO MARCO;;;;;4
AIROLA;;
AMOROSI;DE LUCA VINCENZO;;;;;586
AMOROSI;;;CAMPANIA LIBERA;245;;
AMOROSI;;;PARTITO DEMOCRATICO;229;;
AMOROSI;;;DE LUCA PRESIDENTE;44;;
AMOROSI;;;ITALIA DEI VALORI;16;;
AMOROSI;;;CENTRO DEMOCRATICO-SCELTA CIVICA;10;;
AMOROSI;;;CAMPANIA IN RETE;9;;
AMOROSI;;;DAVVERO-VERDI;3;;
AMOROSI;;;PARTITO SOCIALISTA ITALIANO;1;;
AMOROSI;CALDORO STEFANO;;;;;246
AMOROSI;;;FORZA ITALIA;126;;
AMOROSI;;;NCD - CAMPANIA POPOLARE;53;;
AMOROSI;;;CALDORO PRESIDENTE;24;;
AMOROSI;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;10;;
AMOROSI;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;10;;
AMOROSI;;;MAI PIU' LA TERRA DEI FUOCHI;2;;
AMOROSI;;;POPOLARI PER L'ITALIA;0;;
AMOROSI;;;NOI SUD;0;;
AMOROSI;CIARAMBINO VALERIA;;;;;193
AMOROSI;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;185;;
AMOROSI;VOZZA SALVATORE;;;;;26
AMOROSI;;;SINISTRA AL LAVORO;26;;
AMOROSI;ESPOSITO MARCO;;;;;7
AMOROSI;;
APICE;CALDORO STEFANO;;;;;950
APICE;;;FORZA ITALIA;567;;
APICE;;;NCD - CAMPANIA POPOLARE;255;;
APICE;;;CALDORO PRESIDENTE;38;;
APICE;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;38;;
APICE;;;POPOLARI PER L'ITALIA;5;;
APICE;;;MAI PIU' LA TERRA DEI FUOCHI;5;;
APICE;;;NOI SUD;5;;
APICE;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;3;;
APICE;DE LUCA VINCENZO;;;;;633
APICE;;;PARTITO DEMOCRATICO;332;;
APICE;;;DE LUCA PRESIDENTE;115;;
APICE;;;ITALIA DEI VALORI;60;;
APICE;;;CENTRO DEMOCRATICO-SCELTA CIVICA;27;;
APICE;;;CAMPANIA IN RETE;13;;
APICE;;;PARTITO SOCIALISTA ITALIANO;6;;
APICE;;;CAMPANIA LIBERA;5;;
APICE;;;DAVVERO-VERDI;4;;
APICE;CIARAMBINO VALERIA;;;;;351
APICE;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;350;;
APICE;VOZZA SALVATORE;;;;;12
APICE;;;SINISTRA AL LAVORO;10;;
APICE;ESPOSITO MARCO;;;;;5
APICE;;
APOLLOSA;CALDORO STEFANO;;;;;454
APOLLOSA;;;FORZA ITALIA;158;;
APOLLOSA;;;NCD - CAMPANIA POPOLARE;79;;
APOLLOSA;;;CALDORO PRESIDENTE;72;;
APOLLOSA;;;MAI PIU' LA TERRA DEI FUOCHI;32;;
APOLLOSA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;24;;
APOLLOSA;;;NOI SUD;8;;
APOLLOSA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;3;;
APOLLOSA;;;POPOLARI PER L'ITALIA;2;;
APOLLOSA;DE LUCA VINCENZO;;;;;362
APOLLOSA;;;PARTITO DEMOCRATICO;241;;
APOLLOSA;;;DE LUCA PRESIDENTE;54;;
APOLLOSA;;;CAMPANIA IN RETE;47;;
APOLLOSA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;17;;
APOLLOSA;;;ITALIA DEI VALORI;9;;
APOLLOSA;;;CAMPANIA LIBERA;4;;
APOLLOSA;;;PARTITO SOCIALISTA ITALIANO;4;;
APOLLOSA;;;DAVVERO-VERDI;0;;
APOLLOSA;CIARAMBINO VALERIA;;;;;289
APOLLOSA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;267;;
APOLLOSA;VOZZA SALVATORE;;;;;15
APOLLOSA;;;SINISTRA AL LAVORO;13;;
APOLLOSA;ESPOSITO MARCO;;;;;3
APOLLOSA;;
ARPAIA;CALDORO STEFANO;;;;;310
ARPAIA;;;FORZA ITALIA;238;;
ARPAIA;;;NCD - CAMPANIA POPOLARE;25;;
ARPAIA;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;15;;
ARPAIA;;;CALDORO PRESIDENTE;12;;
ARPAIA;;;POPOLARI PER L'ITALIA;3;;
ARPAIA;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
ARPAIA;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
ARPAIA;;;NOI SUD;0;;
ARPAIA;DE LUCA VINCENZO;;;;;291
ARPAIA;;;PARTITO DEMOCRATICO;169;;
ARPAIA;;;DE LUCA PRESIDENTE;42;;
ARPAIA;;;CAMPANIA IN RETE;32;;
ARPAIA;;;DAVVERO-VERDI;21;;
ARPAIA;;;CENTRO DEMOCRATICO-SCELTA CIVICA;6;;
ARPAIA;;;PARTITO SOCIALISTA ITALIANO;5;;
ARPAIA;;;ITALIA DEI VALORI;3;;
ARPAIA;;;CAMPANIA LIBERA;1;;
ARPAIA;CIARAMBINO VALERIA;;;;;164
ARPAIA;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;163;;
ARPAIA;VOZZA SALVATORE;;;;;1
ARPAIA;;;SINISTRA AL LAVORO;0;;
ARPAIA;ESPOSITO MARCO;;;;;1
ARPAIA;;
ARPAISE;CALDORO STEFANO;;;;;162
ARPAISE;;;FORZA ITALIA;90;;
ARPAISE;;;NCD - CAMPANIA POPOLARE;61;;
ARPAISE;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;4;;
ARPAISE;;;CALDORO PRESIDENTE;4;;
ARPAISE;;;NOI SUD;1;;
ARPAISE;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
ARPAISE;;;POPOLARI PER L'ITALIA;0;;
ARPAISE;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
ARPAISE;DE LUCA VINCENZO;;;;;137
ARPAISE;;;PARTITO DEMOCRATICO;106;;
ARPAISE;;;DE LUCA PRESIDENTE;18;;
ARPAISE;;;ITALIA DEI VALORI;3;;
ARPAISE;;;CAMPANIA IN RETE;2;;
ARPAISE;;;CAMPANIA LIBERA;1;;
ARPAISE;;;CENTRO DEMOCRATICO-SCELTA CIVICA;1;;
ARPAISE;;;DAVVERO-VERDI;1;;
ARPAISE;;;PARTITO SOCIALISTA ITALIANO;0;;
ARPAISE;CIARAMBINO VALERIA;;;;;68
ARPAISE;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;67;;
ARPAISE;ESPOSITO MARCO;;;;;15
ARPAISE;;
ARPAISE;VOZZA SALVATORE;;;;;10
ARPAISE;;;SINISTRA AL LAVORO;10;;
BASELICE;DE LUCA VINCENZO;;;;;252
BASELICE;;;PARTITO DEMOCRATICO;149;;
BASELICE;;;ITALIA DEI VALORI;49;;
BASELICE;;;DE LUCA PRESIDENTE;23;;
BASELICE;;;CENTRO DEMOCRATICO-SCELTA CIVICA;4;;
BASELICE;;;CAMPANIA IN RETE;3;;
BASELICE;;;CAMPANIA LIBERA;3;;
BASELICE;;;DAVVERO-VERDI;3;;
BASELICE;;;PARTITO SOCIALISTA ITALIANO;2;;
BASELICE;CIARAMBINO VALERIA;;;;;220
BASELICE;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;219;;
BASELICE;CALDORO STEFANO;;;;;171
BASELICE;;;CALDORO PRESIDENTE;99;;
BASELICE;;;FORZA ITALIA;53;;
