

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
AILANO;CALDORO STEFANO;;;;;272
AILANO;;;POPOLARI PER L'ITALIA;119;;
AILANO;;;FORZA ITALIA;61;;
AILANO;;;CALDORO PRESIDENTE;57;;
AILANO;;;NCD - CAMPANIA POPOLARE;18;;
AILANO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;7;;
AILANO;;;NOI SUD;6;;
AILANO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;0;;
AILANO;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
AILANO;DE LUCA VINCENZO;;;;;150
AILANO;;;PARTITO DEMOCRATICO;80;;
AILANO;;;CAMPANIA LIBERA;33;;
AILANO;;;UNIONE DI CENTRO;19;;
AILANO;;;CAMPANIA IN RETE;11;;
AILANO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;9;;
AILANO;;;PARTITO SOCIALISTA ITALIANO;5;;
AILANO;;;DAVVERO-VERDI;4;;
AILANO;;;ITALIA DEI VALORI;1;;
AILANO;CIARAMBINO VALERIA;;;;;100
AILANO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;96;;
AILANO;VOZZA SALVATORE;;;;;11
AILANO;;;SINISTRA AL LAVORO;4;;
AILANO;ESPOSITO MARCO;;;;;0
AILANO;;;MO! LISTA CIVICA CAMPANIA;0;;
ALIFE;CALDORO STEFANO;;;;;1273
ALIFE;;;FORZA ITALIA;1002;;
ALIFE;;;CALDORO PRESIDENTE;77;;
ALIFE;;;NCD - CAMPANIA POPOLARE;69;;
ALIFE;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;68;;
ALIFE;;;NOI SUD;35;;
ALIFE;;;POPOLARI PER L'ITALIA;5;;
ALIFE;;;MAI PIU' LA TERRA DEI FUOCHI;5;;
ALIFE;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;2;;
ALIFE;DE LUCA VINCENZO;;;;;1237
ALIFE;;;PARTITO DEMOCRATICO;944;;
ALIFE;;;CAMPANIA LIBERA;106;;
ALIFE;;;ITALIA DEI VALORI;54;;
ALIFE;;;CAMPANIA IN RETE;41;;
ALIFE;;;CENTRO DEMOCRATICO-SCELTA CIVICA;33;;
ALIFE;;;UNIONE DI CENTRO;25;;
ALIFE;;;DAVVERO-VERDI;10;;
ALIFE;;;PARTITO SOCIALISTA ITALIANO;10;;
ALIFE;CIARAMBINO VALERIA;;;;;760
ALIFE;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;739;;
ALIFE;VOZZA SALVATORE;;;;;44
ALIFE;;;SINISTRA AL LAVORO;44;;
ALIFE;ESPOSITO MARCO;;;;;12
ALIFE;;;MO! LISTA CIVICA CAMPANIA;11;;
ALVIGNANO;DE LUCA VINCENZO;;;;;1097
ALVIGNANO;;;CAMPANIA LIBERA;555;;
ALVIGNANO;;;PARTITO DEMOCRATICO;431;;
ALVIGNANO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;52;;
ALVIGNANO;;;CAMPANIA IN RETE;40;;
ALVIGNANO;;;UNIONE DI CENTRO;17;;
ALVIGNANO;;;PARTITO SOCIALISTA ITALIANO;5;;
ALVIGNANO;;;DAVVERO-VERDI;2;;
ALVIGNANO;;;ITALIA DEI VALORI;2;;
ALVIGNANO;CALDORO STEFANO;;;;;672
ALVIGNANO;;;FORZA ITALIA;370;;
ALVIGNANO;;;CALDORO PRESIDENTE;111;;
ALVIGNANO;;;NCD - CAMPANIA POPOLARE;80;;
ALVIGNANO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;61;;
ALVIGNANO;;;POPOLARI PER L'ITALIA;3;;
ALVIGNANO;;;MAI PIU' LA TERRA DEI FUOCHI;3;;
ALVIGNANO;;;NOI SUD;2;;
ALVIGNANO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
ALVIGNANO;CIARAMBINO VALERIA;;;;;274
ALVIGNANO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;264;;
ALVIGNANO;VOZZA SALVATORE;;;;;23
ALVIGNANO;;;SINISTRA AL LAVORO;23;;
ALVIGNANO;ESPOSITO MARCO;;;;;3
ALVIGNANO;;;MO! LISTA CIVICA CAMPANIA;3;;
ARIENZO;DE LUCA VINCENZO;;;;;1280
ARIENZO;;;CAMPANIA IN RETE;702;;
ARIENZO;;;PARTITO DEMOCRATICO;269;;
ARIENZO;;;CAMPANIA LIBERA;106;;
ARIENZO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;85;;
ARIENZO;;;DAVVERO-VERDI;67;;
ARIENZO;;;ITALIA DEI VALORI;9;;
ARIENZO;;;PARTITO SOCIALISTA ITALIANO;9;;
ARIENZO;;;UNIONE DI CENTRO;8;;
ARIENZO;CALDORO STEFANO;;;;;890
ARIENZO;;;CALDORO PRESIDENTE;560;;
