

Ente;Candidato;;Liste/Gruppi;Voti lista;;Voti candidato
ACERNO;DE LUCA VINCENZO;;;;;780
ACERNO;;;DE LUCA PRESIDENTE;328;;
ACERNO;;;PARTITO DEMOCRATICO;210;;
ACERNO;;;DAVVERO-VERDI;72;;
ACERNO;;;CAMPANIA LIBERA;58;;
ACERNO;;;PARTITO SOCIALISTA ITALIANO;27;;
ACERNO;;;CENTRO DEMOCRATICO-SCELTA CIVICA;21;;
ACERNO;;;UNIONE DI CENTRO;16;;
ACERNO;;;CAMPANIA IN RETE;5;;
ACERNO;;;ITALIA DEI VALORI;1;;
ACERNO;CALDORO STEFANO;;;;;429
ACERNO;;;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;207;;
ACERNO;;;CALDORO PRESIDENTE;104;;
ACERNO;;;FORZA ITALIA;88;;
ACERNO;;;NOI SUD;17;;
ACERNO;;;NCD - CAMPANIA POPOLARE;12;;
ACERNO;;;POPOLARI PER L'ITALIA;4;;
ACERNO;;;VITTIME DELLA GIUSTIZIA E DEL FISCO;1;;
ACERNO;;;MAI PIU' LA TERRA DEI FUOCHI;0;;
ACERNO;CIARAMBINO VALERIA;;;;;179
ACERNO;;;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;180;;
ACERNO;VOZZA SALVATORE;;;;;36
ACERNO;;;SINISTRA AL LAVORO;38;;
ACERNO;ESPOSITO MARCO;;;;;2
ACERNO;;;MO! LISTA CIVICA CAMPANIA;0;;
AGROPOLI;DE LUCA VINCENZO;;;;;5701
AGROPOLI;;;PARTITO DEMOCRATICO;3112;;
AGROPOLI;;;DE LUCA PRESIDENTE;674;;
AGROPOLI;;;CAMPANIA LIBERA;497;;
AGROPOLI;;;PARTITO SOCIALISTA ITALIANO;270;;
AGROPOLI;;;UNIONE DI CENTRO;170;;
AGROPOLI;;;CENTRO DEMOCRATICO-SCELTA CIVICA;164;;
AGROPOLI;;;DAVVERO-VERDI;31;;
AGROPOLI;;;ITALIA DEI VALORI;24;;
AGROPOLI;;;CAMPANIA IN RETE;18;;
AGROPOLI;CIARAMBINO VALERIA;;;;;1477
