

Ente;Candidato;Liste/Gruppi;Voti lista;;
AIELLO DEL SABATO;GRASSI UGO;MOVIMENTO 5 STELLE;997;;
AIELLO DEL SABATO;FAMIGLIETTI LUIGI;PARTITO DEMOCRATICO;443;;
AIELLO DEL SABATO;;+EUROPA;28;;
AIELLO DEL SABATO;;ITALIA EUROPA INSIEME;7;;
AIELLO DEL SABATO;;CIVICA POPOLARE LORENZIN;5;;
AIELLO DEL SABATO;GALATI GIUSEPPE;FORZA ITALIA;243;;
AIELLO DEL SABATO;;LEGA;113;;
AIELLO DEL SABATO;;FRATELLI D'ITALIA CON GIORGIA MELONI;72;;
AIELLO DEL SABATO;;NOI CON L'ITALIA - UDC;68;;
AIELLO DEL SABATO;CUCCINIELLO ALFREDO;LIBERI E UGUALI;49;;
AIELLO DEL SABATO;TROISI SOFIA;POTERE AL POPOLO!;29;;
AIELLO DEL SABATO;GENZALE ANTONIO;CASAPOUND ITALIA;15;;
AIELLO DEL SABATO;MARENGO FIORENZO;PARTITO COMUNISTA;10;;
AIELLO DEL SABATO;MANGANIELLO LUIGI;PARTITO REPUBBLICANO ITALIANO - ALA;7;;
AIELLO DEL SABATO;GUERRIERO ROCCO;ITALIA AGLI ITALIANI;6;;
AIELLO DEL SABATO;PETRACCA BENIAMINO;PER UNA SINISTRA RIVOLUZIONARIA;4;;
AIELLO DEL SABATO;DONATIELLO MARIA;IL POPOLO DELLA FAMIGLIA;2;;
AIELLO DEL SABATO;CORMONS LUCIA;PARTITO VALORE UMANO;3;;
ALTAVILLA IRPINA;GRASSI UGO;MOVIMENTO 5 STELLE;864;;
ALTAVILLA IRPINA;GALATI GIUSEPPE;FORZA ITALIA;235;;
ALTAVILLA IRPINA;;LEGA;103;;
ALTAVILLA IRPINA;;FRATELLI D'ITALIA CON GIORGIA MELONI;60;;
ALTAVILLA IRPINA;;NOI CON L'ITALIA - UDC;33;;
ALTAVILLA IRPINA;FAMIGLIETTI LUIGI;PARTITO DEMOCRATICO;294;;
ALTAVILLA IRPINA;;CIVICA POPOLARE LORENZIN;73;;
ALTAVILLA IRPINA;;+EUROPA;26;;
ALTAVILLA IRPINA;;ITALIA EUROPA INSIEME;9;;
ALTAVILLA IRPINA;CUCCINIELLO ALFREDO;LIBERI E UGUALI;67;;
ALTAVILLA IRPINA;TROISI SOFIA;POTERE AL POPOLO!;20;;
ALTAVILLA IRPINA;GENZALE ANTONIO;CASAPOUND ITALIA;21;;
ALTAVILLA IRPINA;DONATIELLO MARIA;IL POPOLO DELLA FAMIGLIA;19;;
ALTAVILLA IRPINA;GUERRIERO ROCCO;ITALIA AGLI ITALIANI;10;;
ALTAVILLA IRPINA;MARENGO FIORENZO;PARTITO COMUNISTA;5;;
ALTAVILLA IRPINA;CORMONS LUCIA;PARTITO VALORE UMANO;3;;
ALTAVILLA IRPINA;PETRACCA BENIAMINO;PER UNA SINISTRA RIVOLUZIONARIA;3;;
ALTAVILLA IRPINA;MANGANIELLO LUIGI;PARTITO REPUBBLICANO ITALIANO - ALA;2;;
ANDRETTA;GRASSI UGO;MOVIMENTO 5 STELLE;316;;
ANDRETTA;FAMIGLIETTI LUIGI;PARTITO DEMOCRATICO;169;;
ANDRETTA;;CIVICA POPOLARE LORENZIN;69;;
ANDRETTA;;+EUROPA;10;;
ANDRETTA;;ITALIA EUROPA INSIEME;2;;
ANDRETTA;GALATI GIUSEPPE;FORZA ITALIA;160;;
ANDRETTA;;LEGA;59;;
ANDRETTA;;FRATELLI D'ITALIA CON GIORGIA MELONI;19;;
ANDRETTA;;NOI CON L'ITALIA - UDC;7;;
ANDRETTA;DONATIELLO MARIA;IL POPOLO DELLA FAMIGLIA;16;;
ANDRETTA;CUCCINIELLO ALFREDO;LIBERI E UGUALI;12;;
ANDRETTA;TROISI SOFIA;POTERE AL POPOLO!;7;;
ANDRETTA;GENZALE ANTONIO;CASAPOUND ITALIA;6;;
ANDRETTA;MARENGO FIORENZO;PARTITO COMUNISTA;6;;
ANDRETTA;GUERRIERO ROCCO;ITALIA AGLI ITALIANI;3;;
ANDRETTA;CORMONS LUCIA;PARTITO VALORE UMANO;0;;
ANDRETTA;PETRACCA BENIAMINO;PER UNA SINISTRA RIVOLUZIONARIA;0;;
ANDRETTA;MANGANIELLO LUIGI;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
APICE;GRASSI UGO;MOVIMENTO 5 STELLE;1130;;
APICE;GALATI GIUSEPPE;FORZA ITALIA;767;;
APICE;;LEGA;205;;
APICE;;FRATELLI D'ITALIA CON GIORGIA MELONI;60;;
APICE;;NOI CON L'ITALIA - UDC;38;;
APICE;FAMIGLIETTI LUIGI;PARTITO DEMOCRATICO;348;;
APICE;;+EUROPA;17;;
APICE;;CIVICA POPOLARE LORENZIN;7;;
APICE;;ITALIA EUROPA INSIEME;3;;
APICE;CUCCINIELLO ALFREDO;LIBERI E UGUALI;56;;
APICE;TROISI SOFIA;POTERE AL POPOLO!;26;;
APICE;CORMONS LUCIA;PARTITO VALORE UMANO;26;;
APICE;DONATIELLO MARIA;IL POPOLO DELLA FAMIGLIA;16;;
APICE;GENZALE ANTONIO;CASAPOUND ITALIA;15;;
APICE;GUERRIERO ROCCO;ITALIA AGLI ITALIANI;13;;
APICE;MARENGO FIORENZO;PARTITO COMUNISTA;9;;
APICE;MANGANIELLO LUIGI;PARTITO REPUBBLICANO ITALIANO - ALA;2;;
APICE;PETRACCA BENIAMINO;PER UNA SINISTRA RIVOLUZIONARIA;1;;
AQUILONIA;GRASSI UGO;MOVIMENTO 5 STELLE;336;;
AQUILONIA;FAMIGLIETTI LUIGI;PARTITO DEMOCRATICO;154;;
AQUILONIA;;CIVICA POPOLARE LORENZIN;39;;
AQUILONIA;;ITALIA EUROPA INSIEME;9;;
AQUILONIA;;+EUROPA;5;;
AQUILONIA;GALATI GIUSEPPE;FORZA ITALIA;59;;
AQUILONIA;;NOI CON L'ITALIA - UDC;28;;
AQUILONIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;20;;
AQUILONIA;;LEGA;20;;
AQUILONIA;CUCCINIELLO ALFREDO;LIBERI E UGUALI;42;;
AQUILONIA;DONATIELLO MARIA;IL POPOLO DELLA FAMIGLIA;37;;
AQUILONIA;TROISI SOFIA;POTERE AL POPOLO!;9;;
AQUILONIA;GUERRIERO ROCCO;ITALIA AGLI ITALIANI;4;;
AQUILONIA;CORMONS LUCIA;PARTITO VALORE UMANO;5;;
AQUILONIA;GENZALE ANTONIO;CASAPOUND ITALIA;4;;
AQUILONIA;MARENGO FIORENZO;PARTITO COMUNISTA;2;;
AQUILONIA;PETRACCA BENIAMINO;PER UNA SINISTRA RIVOLUZIONARIA;2;;
AQUILONIA;MANGANIELLO LUIGI;PARTITO REPUBBLICANO ITALIANO - ALA;0;;
ARIANO IRPINO;GRASSI UGO;MOVIMENTO 5 STELLE;5070;;
ARIANO IRPINO;GALATI GIUSEPPE;FORZA ITALIA;2356;;
ARIANO IRPINO;;LEGA;762;;
ARIANO IRPINO;;NOI CON L'ITALIA - UDC;450;;
ARIANO IRPINO;;FRATELLI D'ITALIA CON GIORGIA MELONI;250;;
ARIANO IRPINO;FAMIGLIETTI LUIGI;PARTITO DEMOCRATICO;1515;;
ARIANO IRPINO;;CIVICA POPOLARE LORENZIN;143;;
ARIANO IRPINO;;ITALIA EUROPA INSIEME;137;;
ARIANO IRPINO;;+EUROPA;76;;
ARIANO IRPINO;CUCCINIELLO ALFREDO;LIBERI E UGUALI;253;;
ARIANO IRPINO;TROISI SOFIA;POTERE AL POPOLO!;105;;
ARIANO IRPINO;DONATIELLO MARIA;IL POPOLO DELLA FAMIGLIA;82;;
ARIANO IRPINO;GENZALE ANTONIO;CASAPOUND ITALIA;64;;
ARIANO IRPINO;GUERRIERO ROCCO;ITALIA AGLI ITALIANI;56;;
ARIANO IRPINO;MARENGO FIORENZO;PARTITO COMUNISTA;35;;
ARIANO IRPINO;MANGANIELLO LUIGI;PARTITO REPUBBLICANO ITALIANO - ALA;14;;
ARIANO IRPINO;PETRACCA BENIAMINO;PER UNA SINISTRA RIVOLUZIONARIA;13;;
ARIANO IRPINO;CORMONS LUCIA;PARTITO VALORE UMANO;7;;
ATRIPALDA;GRASSI UGO;MOVIMENTO 5 STELLE;2016;;
ATRIPALDA;GALATI GIUSEPPE;FORZA ITALIA;851;;
ATRIPALDA;;LEGA;354;;
ATRIPALDA;;FRATELLI D'ITALIA CON GIORGIA MELONI;174;;
ATRIPALDA;;NOI CON L'ITALIA - UDC;42;;
ATRIPALDA;FAMIGLIETTI LUIGI;PARTITO DEMOCRATICO;931;;
ATRIPALDA;;CIVICA POPOLARE LORENZIN;83;;
ATRIPALDA;;+EUROPA;63;;
ATRIPALDA;;ITALIA EUROPA INSIEME;25;;
ATRIPALDA;CUCCINIELLO ALFREDO;LIBERI E UGUALI;234;;
ATRIPALDA;TROISI SOFIA;POTERE AL POPOLO!;54;;
ATRIPALDA;GENZALE ANTONIO;CASAPOUND ITALIA;24;;
ATRIPALDA;GUERRIERO ROCCO;ITALIA AGLI ITALIANI;20;;
ATRIPALDA;MARENGO FIORENZO;PARTITO COMUNISTA;19;;
ATRIPALDA;CORMONS LUCIA;PARTITO VALORE UMANO;8;;
ATRIPALDA;DONATIELLO MARIA;IL POPOLO DELLA FAMIGLIA;10;;
ATRIPALDA;MANGANIELLO LUIGI;PARTITO REPUBBLICANO ITALIANO - ALA;7;;
ATRIPALDA;PETRACCA BENIAMINO;PER UNA SINISTRA RIVOLUZIONARIA;2;;
AVELLA;GRASSI UGO;MOVIMENTO 5 STELLE;1785;;
AVELLA;GALATI GIUSEPPE;FORZA ITALIA;1118;;
AVELLA;;LEGA;150;;
AVELLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;99;;
AVELLA;;NOI CON L'ITALIA - UDC;36;;
AVELLA;FAMIGLIETTI LUIGI;PARTITO DEMOCRATICO;332;;
AVELLA;;CIVICA POPOLARE LORENZIN;19;;
AVELLA;;+EUROPA;18;;
AVELLA;;ITALIA EUROPA INSIEME;8;;
AVELLA;CORMONS LUCIA;PARTITO VALORE UMANO;115;;
AVELLA;CUCCINIELLO ALFREDO;LIBERI E UGUALI;41;;
AVELLA;GUERRIERO ROCCO;ITALIA AGLI ITALIANI;26;;
AVELLA;TROISI SOFIA;POTERE AL POPOLO!;23;;
AVELLA;GENZALE ANTONIO;CASAPOUND ITALIA;24;;
AVELLA;PETRACCA BENIAMINO;PER UNA SINISTRA RIVOLUZIONARIA;7;;
AVELLA;MARENGO FIORENZO;PARTITO COMUNISTA;4;;
AVELLA;DONATIELLO MARIA;IL POPOLO DELLA FAMIGLIA;3;;
AVELLA;MANGANIELLO LUIGI;PARTITO REPUBBLICANO ITALIANO - ALA;2;;
AVELLINO;GRASSI UGO;MOVIMENTO 5 STELLE;10950;;
AVELLINO;FAMIGLIETTI LUIGI;PARTITO DEMOCRATICO;5446;;
AVELLINO;;+EUROPA;655;;
AVELLINO;;CIVICA POPOLARE LORENZIN;345;;
AVELLINO;;ITALIA EUROPA INSIEME;245;;
AVELLINO;GALATI GIUSEPPE;FORZA ITALIA;3816;;
AVELLINO;;LEGA;1555;;
AVELLINO;;FRATELLI D'ITALIA CON GIORGIA MELONI;1071;;
AVELLINO;;NOI CON L'ITALIA - UDC;282;;
AVELLINO;CUCCINIELLO ALFREDO;LIBERI E UGUALI;1295;;
AVELLINO;TROISI SOFIA;POTERE AL POPOLO!;538;;
AVELLINO;GENZALE ANTONIO;CASAPOUND ITALIA;247;;
