

Ente;Candidato;Liste/Gruppi;Voti lista;;
ACERRA;MAUTONE RAFFAELE;MOVIMENTO 5 STELLE;14338;;
ACERRA;ROMANO GIUSEPPE;FORZA ITALIA;4149;;
ACERRA;;LEGA;684;;
ACERRA;;FRATELLI D'ITALIA CON GIORGIA MELONI;434;;
ACERRA;;NOI CON L'ITALIA - UDC;54;;
ACERRA;RUSSO FRANCESCO;PARTITO DEMOCRATICO;2175;;
ACERRA;;+EUROPA;101;;
ACERRA;;CIVICA POPOLARE LORENZIN;35;;
ACERRA;;ITALIA EUROPA INSIEME;22;;
ACERRA;DONESI MARIA;LIBERI E UGUALI;412;;
ACERRA;MARTIRE DANIELA;POTERE AL POPOLO!;283;;
ACERRA;FERRARA BERNARDINA;CASAPOUND ITALIA;105;;
ACERRA;DI DONATO ADRIANA;IL POPOLO DELLA FAMIGLIA;81;;
ACERRA;PAPARO ANTONIO;ITALIA AGLI ITALIANI;60;;
ACERRA;MIRABELLI ARNALDO;PER UNA SINISTRA RIVOLUZIONARIA;48;;
ACERRA;SARNATARO GENNARO;PARTITO REPUBBLICANO ITALIANO - ALA;4;;
AFRAGOLA;MAUTONE RAFFAELE;MOVIMENTO 5 STELLE;12989;;
AFRAGOLA;ROMANO GIUSEPPE;FORZA ITALIA;5088;;
AFRAGOLA;;LEGA;1814;;
AFRAGOLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;658;;
AFRAGOLA;;NOI CON L'ITALIA - UDC;345;;
AFRAGOLA;RUSSO FRANCESCO;PARTITO DEMOCRATICO;2078;;
AFRAGOLA;;+EUROPA;145;;
AFRAGOLA;;CIVICA POPOLARE LORENZIN;45;;
AFRAGOLA;;ITALIA EUROPA INSIEME;38;;
AFRAGOLA;DONESI MARIA;LIBERI E UGUALI;293;;
AFRAGOLA;MARTIRE DANIELA;POTERE AL POPOLO!;195;;
AFRAGOLA;FERRARA BERNARDINA;CASAPOUND ITALIA;130;;
AFRAGOLA;DI DONATO ADRIANA;IL POPOLO DELLA FAMIGLIA;106;;
AFRAGOLA;PAPARO ANTONIO;ITALIA AGLI ITALIANI;58;;
AFRAGOLA;MIRABELLI ARNALDO;PER UNA SINISTRA RIVOLUZIONARIA;24;;
AFRAGOLA;SARNATARO GENNARO;PARTITO REPUBBLICANO ITALIANO - ALA;14;;
ARZANO;MAUTONE RAFFAELE;MOVIMENTO 5 STELLE;9497;;
ARZANO;ROMANO GIUSEPPE;FORZA ITALIA;2475;;
ARZANO;;LEGA;392;;
ARZANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;223;;
ARZANO;;NOI CON L'ITALIA - UDC;208;;
ARZANO;RUSSO FRANCESCO;PARTITO DEMOCRATICO;1395;;
ARZANO;;ITALIA EUROPA INSIEME;171;;
ARZANO;;+EUROPA;78;;
ARZANO;;CIVICA POPOLARE LORENZIN;47;;
ARZANO;MARTIRE DANIELA;POTERE AL POPOLO!;316;;
ARZANO;DONESI MARIA;LIBERI E UGUALI;280;;
ARZANO;DI DONATO ADRIANA;IL POPOLO DELLA FAMIGLIA;60;;
ARZANO;PAPARO ANTONIO;ITALIA AGLI ITALIANI;38;;
ARZANO;FERRARA BERNARDINA;CASAPOUND ITALIA;32;;
ARZANO;MIRABELLI ARNALDO;PER UNA SINISTRA RIVOLUZIONARIA;13;;
ARZANO;SARNATARO GENNARO;PARTITO REPUBBLICANO ITALIANO - ALA;11;;
BRUSCIANO;MAUTONE RAFFAELE;MOVIMENTO 5 STELLE;4573;;
BRUSCIANO;ROMANO GIUSEPPE;FORZA ITALIA;1896;;
BRUSCIANO;;LEGA;146;;
BRUSCIANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;90;;
BRUSCIANO;;NOI CON L'ITALIA - UDC;33;;
BRUSCIANO;RUSSO FRANCESCO;PARTITO DEMOCRATICO;685;;
BRUSCIANO;;+EUROPA;25;;
BRUSCIANO;;ITALIA EUROPA INSIEME;13;;
BRUSCIANO;;CIVICA POPOLARE LORENZIN;10;;
BRUSCIANO;DONESI MARIA;LIBERI E UGUALI;103;;
BRUSCIANO;MARTIRE DANIELA;POTERE AL POPOLO!;72;;
BRUSCIANO;FERRARA BERNARDINA;CASAPOUND ITALIA;36;;
BRUSCIANO;PAPARO ANTONIO;ITALIA AGLI ITALIANI;30;;
BRUSCIANO;DI DONATO ADRIANA;IL POPOLO DELLA FAMIGLIA;21;;
BRUSCIANO;MIRABELLI ARNALDO;PER UNA SINISTRA RIVOLUZIONARIA;8;;
BRUSCIANO;SARNATARO GENNARO;PARTITO REPUBBLICANO ITALIANO - ALA;3;;
CAIVANO;MAUTONE RAFFAELE;MOVIMENTO 5 STELLE;8695;;
CAIVANO;ROMANO GIUSEPPE;FORZA ITALIA;3421;;
CAIVANO;;LEGA;650;;
CAIVANO;;NOI CON L'ITALIA - UDC;321;;
CAIVANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;174;;
CAIVANO;RUSSO FRANCESCO;PARTITO DEMOCRATICO;1438;;
CAIVANO;;+EUROPA;85;;
CAIVANO;;ITALIA EUROPA INSIEME;35;;
CAIVANO;;CIVICA POPOLARE LORENZIN;25;;
CAIVANO;DONESI MARIA;LIBERI E UGUALI;302;;
CAIVANO;MARTIRE DANIELA;POTERE AL POPOLO!;92;;
CAIVANO;DI DONATO ADRIANA;IL POPOLO DELLA FAMIGLIA;48;;
CAIVANO;PAPARO ANTONIO;ITALIA AGLI ITALIANI;41;;
CAIVANO;FERRARA BERNARDINA;CASAPOUND ITALIA;29;;
CAIVANO;MIRABELLI ARNALDO;PER UNA SINISTRA RIVOLUZIONARIA;17;;
CAIVANO;SARNATARO GENNARO;PARTITO REPUBBLICANO ITALIANO - ALA;10;;
CARDITO;MAUTONE RAFFAELE;MOVIMENTO 5 STELLE;5433;;
CARDITO;ROMANO GIUSEPPE;FORZA ITALIA;1878;;
CARDITO;;LEGA;431;;
CARDITO;;FRATELLI D'ITALIA CON GIORGIA MELONI;191;;
CARDITO;;NOI CON L'ITALIA - UDC;107;;
CARDITO;RUSSO FRANCESCO;PARTITO DEMOCRATICO;1224;;
CARDITO;;ITALIA EUROPA INSIEME;156;;
CARDITO;;+EUROPA;38;;
CARDITO;;CIVICA POPOLARE LORENZIN;27;;
CARDITO;DONESI MARIA;LIBERI E UGUALI;211;;
CARDITO;MARTIRE DANIELA;POTERE AL POPOLO!;96;;
CARDITO;FERRARA BERNARDINA;CASAPOUND ITALIA;33;;
CARDITO;PAPARO ANTONIO;ITALIA AGLI ITALIANI;29;;
CARDITO;DI DONATO ADRIANA;IL POPOLO DELLA FAMIGLIA;26;;
CARDITO;MIRABELLI ARNALDO;PER UNA SINISTRA RIVOLUZIONARIA;11;;
CARDITO;SARNATARO GENNARO;PARTITO REPUBBLICANO ITALIANO - ALA;2;;
CASALNUOVO DI NAPOLI;MAUTONE RAFFAELE;MOVIMENTO 5 STELLE;13852;;
CASALNUOVO DI NAPOLI;ROMANO GIUSEPPE;FORZA ITALIA;3222;;
CASALNUOVO DI NAPOLI;;LEGA;578;;
CASALNUOVO DI NAPOLI;;FRATELLI D'ITALIA CON GIORGIA MELONI;501;;
CASALNUOVO DI NAPOLI;;NOI CON L'ITALIA - UDC;158;;
CASALNUOVO DI NAPOLI;RUSSO FRANCESCO;PARTITO DEMOCRATICO;1967;;
CASALNUOVO DI NAPOLI;;+EUROPA;108;;
CASALNUOVO DI NAPOLI;;CIVICA POPOLARE LORENZIN;42;;
CASALNUOVO DI NAPOLI;;ITALIA EUROPA INSIEME;35;;
CASALNUOVO DI NAPOLI;DONESI MARIA;LIBERI E UGUALI;326;;
CASALNUOVO DI NAPOLI;MARTIRE DANIELA;POTERE AL POPOLO!;279;;
CASALNUOVO DI NAPOLI;DI DONATO ADRIANA;IL POPOLO DELLA FAMIGLIA;100;;
CASALNUOVO DI NAPOLI;FERRARA BERNARDINA;CASAPOUND ITALIA;66;;
CASALNUOVO DI NAPOLI;PAPARO ANTONIO;ITALIA AGLI ITALIANI;51;;
CASALNUOVO DI NAPOLI;MIRABELLI ARNALDO;PER UNA SINISTRA RIVOLUZIONARIA;19;;
CASALNUOVO DI NAPOLI;SARNATARO GENNARO;PARTITO REPUBBLICANO ITALIANO - ALA;5;;
CASAVATORE;MAUTONE RAFFAELE;MOVIMENTO 5 STELLE;5062;;
CASAVATORE;ROMANO GIUSEPPE;FORZA ITALIA;1572;;
CASAVATORE;;LEGA;220;;
CASAVATORE;;FRATELLI D'ITALIA CON GIORGIA MELONI;156;;
CASAVATORE;;NOI CON L'ITALIA - UDC;116;;
CASAVATORE;RUSSO FRANCESCO;PARTITO DEMOCRATICO;787;;
CASAVATORE;;+EUROPA;54;;
CASAVATORE;;CIVICA POPOLARE LORENZIN;18;;
CASAVATORE;;ITALIA EUROPA INSIEME;16;;
CASAVATORE;DONESI MARIA;LIBERI E UGUALI;239;;
CASAVATORE;MARTIRE DANIELA;POTERE AL POPOLO!;109;;
CASAVATORE;DI DONATO ADRIANA;IL POPOLO DELLA FAMIGLIA;80;;
CASAVATORE;FERRARA BERNARDINA;CASAPOUND ITALIA;38;;
CASAVATORE;PAPARO ANTONIO;ITALIA AGLI ITALIANI;23;;
CASAVATORE;SARNATARO GENNARO;PARTITO REPUBBLICANO ITALIANO - ALA;17;;
CASAVATORE;MIRABELLI ARNALDO;PER UNA SINISTRA RIVOLUZIONARIA;4;;
CASORIA;MAUTONE RAFFAELE;MOVIMENTO 5 STELLE;21016;;
CASORIA;ROMANO GIUSEPPE;FORZA ITALIA;5481;;
CASORIA;;LEGA;1201;;
CASORIA;;FRATELLI D'ITALIA CON GIORGIA MELONI;776;;
CASORIA;;NOI CON L'ITALIA - UDC;186;;
CASORIA;RUSSO FRANCESCO;PARTITO DEMOCRATICO;3254;;
