

Ente;Candidato;Liste/Gruppi;Voti lista;;
CAMPOSANO;URRARO FRANCESCO;MOVIMENTO 5 STELLE;1312;;
CAMPOSANO;TESTA NUNZIO FRANCESCO;FORZA ITALIA;511;;
CAMPOSANO;;FRATELLI D'ITALIA CON GIORGIA MELONI;246;;
CAMPOSANO;;LEGA;100;;
CAMPOSANO;;NOI CON L'ITALIA - UDC;52;;
CAMPOSANO;D'ANGELO LIBERA;PARTITO DEMOCRATICO;300;;
CAMPOSANO;;+EUROPA;15;;
CAMPOSANO;;ITALIA EUROPA INSIEME;13;;
CAMPOSANO;;CIVICA POPOLARE LORENZIN;3;;
CAMPOSANO;TRIPALDI MARIA FRANCESCA;LIBERI E UGUALI;68;;
CAMPOSANO;DI BERNARDINI NATALE;POTERE AL POPOLO!;21;;
CAMPOSANO;IANNUZZI GIUSEPPINA;ITALIA AGLI ITALIANI;16;;
CAMPOSANO;NAPPA MARIA GIUSEPPA ROSARIA;CASAPOUND ITALIA;13;;
CAMPOSANO;MARTINI ANTONIETTA;PARTITO COMUNISTA;7;;
CAMPOSANO;CHIANESE DOMENICO;IL POPOLO DELLA FAMIGLIA;6;;
CAMPOSANO;SPERANZA MARIA ROSARIA;PARTITO REPUBBLICANO ITALIANO - ALA;4;;
CAMPOSANO;ALBANESE SAVERIA;PER UNA SINISTRA RIVOLUZIONARIA;2;;
CAMPOSANO;LIBERTI MAURIZIO;PARTITO VALORE UMANO;1;;
CARBONARA DI NOLA;URRARO FRANCESCO;MOVIMENTO 5 STELLE;505;;
CARBONARA DI NOLA;TESTA NUNZIO FRANCESCO;FORZA ITALIA;393;;
CARBONARA DI NOLA;;LEGA;37;;
CARBONARA DI NOLA;;FRATELLI D'ITALIA CON GIORGIA MELONI;37;;
CARBONARA DI NOLA;;NOI CON L'ITALIA - UDC;11;;
CARBONARA DI NOLA;D'ANGELO LIBERA;PARTITO DEMOCRATICO;110;;
CARBONARA DI NOLA;;+EUROPA;6;;
CARBONARA DI NOLA;;ITALIA EUROPA INSIEME;4;;
CARBONARA DI NOLA;;CIVICA POPOLARE LORENZIN;1;;
CARBONARA DI NOLA;TRIPALDI MARIA FRANCESCA;LIBERI E UGUALI;29;;
CARBONARA DI NOLA;DI BERNARDINI NATALE;POTERE AL POPOLO!;6;;
CARBONARA DI NOLA;IANNUZZI GIUSEPPINA;ITALIA AGLI ITALIANI;3;;
CARBONARA DI NOLA;MARTINI ANTONIETTA;PARTITO COMUNISTA;3;;
CARBONARA DI NOLA;NAPPA MARIA GIUSEPPA ROSARIA;CASAPOUND ITALIA;1;;
